item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,What is the name of the campus TV station?,"That’s CTV. It stands for Columbia Television, and it's run by students at Columbia University. They create all sorts of video content you can find online.",WYBC Yale Radio,True,True,True,1.0,1.0,,,26,3,155,8.666666666666666,2,35,10.4,64.63,6.4,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Columbia Television', 'Columbia University'], 'atom_count': 2}",,,True,,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,What did the Bureau used to ensure the safe travels of aircraft?,"That was airway beacons. These radio transmitters helped pilots navigate, especially before modern radar systems were common. They formed a network across the country for safer flight paths.","maps, blackboards, and mental calculations",True,True,True,1.0,1.0,,,28,3,190,9.333333333333334,4,37,11.2,52.33,8.28,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7142.0,10986.0,1204.0,172.0,646.0,2357.0,2185.0,7466.0,2186.0,4691.0,143.0,550.0,3.0,33.0,316.0,27.4,1.0,1862.0,10507.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,What did Beyonce's mother own when Beyonce was a child?,"Tina Knowles owned Headliners Music and Salon, a hair salon. It was located in Houston, Texas, and played an important role in developing early talent. I don’t have details about exactly when she first opened it, though.",salon,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,37,3,220,12.333333333333334,10,49,14.8,57.13,8.36,0.2,0.0377,10.0,2.0,2.0,0.0,0.0,False,0.75,mild,0.0,0.0,0.0,0.0,0.0556,1.0,0.0,1.0,1.0,0.067,"{'years': [], 'quantities': [], 'name_spans': ['Headliners Music', 'Tina Knowles'], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,6840.0,11410.0,1707.0,436.0,649.0,2794.0,2358.0,7161.0,2488.0,5494.0,206.0,667.0,3.0,48.0,316.0,28.1,1.0,2168.0,12759.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,What was one subject that Avicenna never developed?,"He did not study logic much. While Avicenna wrote extensively on philosophy and medicine, his formal training in logic was limited compared to other areas of scholarship. He mainly focused on applying existing logical principles rather than creating new ones.",theology,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,40,3,259,13.333333333333334,6,53,16.0,34.68,11.73,0.0,0.0,8.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.2097,0.037,0.2097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7430.0,11894.0,1704.0,221.0,647.0,2474.0,2253.0,7758.0,717.0,3363.0,167.0,802.0,4.0,47.0,314.0,27.6,1.0,390.0,14349.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,In what years was the great famine?,"The Great Famine lasted from eighteen forty five to eighteen forty nine. It primarily affected Ireland, causing widespread starvation and disease. Would you like to know more about its causes or impact?",1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,32,3,202,10.666666666666666,12,43,12.8,61.18,7.38,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7479,0.1111,0.7479,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The Great Famine'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,7212.0,11299.0,1413.0,493.0,656.0,2776.0,2283.0,7481.0,4185.0,7136.0,171.0,559.0,3.0,38.0,311.0,26.9,1.0,3916.0,10646.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,What property does Combining Copper with Brass or Bronze create?,"It creates a unique alloy. This process often enhances corrosion resistance and alters colour, depending on the proportions used. The resulting material can also have improved strength and machinability.",hardness,False,True,True,1.0,1.0,,,29,3,203,9.666666666666666,5,39,11.6,33.66,10.97,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7119.0,10953.0,1199.0,185.0,622.0,2311.0,2126.0,7394.0,2946.0,5379.0,117.0,623.0,3.0,35.0,314.0,29.2,1.0,2671.0,11482.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,Do different countries refer to plants by different names?,"Yes, that is quite common. Different cultures often have unique local names for plants, even ones found worldwide. Sometimes these names reflect how the plant is used or its appearance in that region.",single world-wide name,False,True,True,1.0,1.0,,,33,3,200,11.0,5,44,13.2,70.05,6.22,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.5792,0.25,0.5792,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6620.0,10548.0,1371.0,236.0,639.0,2308.0,2072.0,6900.0,-1387.0,1040.0,116.0,567.0,3.0,39.0,313.0,28.4,1.0,-1668.0,11041.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,How many tornadoes does Houston usually get per year?,"Houston sees about ten tornadoes yearly. Most are weak and cause minimal damage, but stronger ones are possible during hurricane season. I can find more details if you like.",49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,29,3,173,9.666666666666666,6,39,11.6,65.75,6.49,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.5657,0.1765,0.5657,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6422.0,10337.0,1224.0,224.0,649.0,2551.0,2327.0,6711.0,1879.0,4586.0,152.0,528.0,3.0,34.0,313.0,27.8,1.0,1590.0,9566.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,What is she seeing at the 2009 presidential inauguration?,"That's an interesting question. The singer Aretha Franklin performed “My Country, ‘Tis of Thee” at the 2009 presidential inauguration of Barack Obama, and wore a grey coat with a matching hat featuring a large bow. It became quite iconic, and is what many people remember from that event.",America the Beautiful,False,True,True,1.0,1.0,,,48,3,288,16.0,4,64,19.2,53.12,9.82,0.2222,0.0727,9.0,2.0,2.0,0.0,0.0,False,0.75,mild,0.7328,0.1071,0.7328,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': [], 'name_spans': ['Aretha Franklin', 'Barack Obama', 'My Country'], 'atom_count': 4}",,,True,,9209.0,14356.0,2370.0,235.0,644.0,2546.0,2311.0,9522.0,3441.0,6102.0,110.0,773.0,4.0,65.0,317.0,27.4,1.0,3129.0,15928.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,What concept took shape during Walpole's tenure as prime minister?,"The idea of cabinet government developed then. Robert Walpole, while prime minister from seventeen twenty-one to seventeen forty-two, increasingly relied on regular meetings with leading ministers. This group eventually became known as the Cabinet and formed the basis for modern British governance.",doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,44,3,299,14.666666666666666,7,59,17.6,30.44,12.66,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.392,0.129,0.392,0.0,0.0889,0.0,0.0,4.0,0.5,0.1044,"{'years': [], 'quantities': [], 'name_spans': ['Robert Walpole'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6910.0,11391.0,1820.0,257.0,624.0,2424.0,2167.0,7205.0,1924.0,4505.0,152.0,769.0,4.0,52.0,316.0,28.6,1.0,1630.0,16265.0
