item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,What is the name of the campus TV station?,It's called CampusTV.,WYBC Yale Radio,True,True,True,1.0,1.0,,,3,1,21,3.0,3,4,1.2,90.99,1.31,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,What did the Bureau used to ensure the safe travels of aircraft?,Air traffic control was used to ensure the safe travels of aircraft.,"maps, blackboards, and mental calculations",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,12,1,68,12.0,12,16,4.8,74.81,5.81,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.82,0.625,0.82,0.0,0.0,0.0,0.0,5.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7142.0,8543.0,167.0,160.0,27.0,807.0,647.0,7478.0,2198.0,3253.0,242.0,242.0,1.0,14.0,327.0,83.8,1.0,1862.0,3924.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,What did Beyonce's mother own when Beyonce was a child?,Beyoncé's mother owned a home when she was young.,salon,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,9,1,49,9.0,9,12,3.6,94.3,2.34,0.2,0.0377,10.0,2.0,2.0,0.0,0.0,False,0.75,mild,0.2561,0.2,0.4634,0.2073,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6840.0,8211.0,164.0,153.0,25.0,884.0,731.0,7138.0,2465.0,3530.0,177.0,177.0,1.0,14.0,328.0,85.3,1.0,2168.0,2461.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,What was one subject that Avicenna never developed?,Avicenna did not develop logic.,theology,True,True,True,1.0,1.0,,,5,1,31,5.0,5,7,2.0,15.64,12.32,0.0,0.0,8.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.4001,0.6667,0.4001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7430.0,8699.0,107.0,99.0,25.0,787.0,688.0,7754.0,713.0,1641.0,137.0,137.0,1.0,9.0,325.0,83.5,1.0,390.0,2147.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,In what years was the great famine?,"The Great Famine occurred during the 19th century, specifically from 1845 to 1852.",1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,14,1,82,14.0,14,19,5.6,71.77,6.73,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7395,0.2,0.7395,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['1845', '1852'], 'quantities': [], 'name_spans': ['The Great Famine'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,7212.0,8871.0,284.0,292.0,38.0,1037.0,745.0,7464.0,4168.0,5561.0,352.0,352.0,1.0,28.0,322.0,98.4,1.0,3916.0,7592.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,What property does Combining Copper with Brass or Bronze create?,It creates bronze.,hardness,False,True,True,1.0,1.0,,,3,1,18,3.0,3,4,1.2,119.19,-2.62,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.1675,0.5,0.1675,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7119.0,8299.0,68.0,56.0,27.0,769.0,713.0,7421.0,2972.0,3843.0,97.0,97.0,1.0,5.0,326.0,72.8,1.0,2671.0,1369.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,Do different countries refer to plants by different names?,"Yes, many countries have unique plant nomenclature.",single world-wide name,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,7,1,51,7.0,7,9,2.8,30.53,10.74,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.3799,0.5,0.3799,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6620.0,7941.0,122.0,110.0,28.0,845.0,735.0,6905.0,-1382.0,-357.0,175.0,175.0,1.0,12.0,324.0,98.1,1.0,-1668.0,3123.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,How many tornadoes does Houston usually get per year?,Houston typically experiences around 1 to 2 tornadoes annually.,49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,9,1,63,9.0,9,12,3.6,28.5,11.52,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.4115,0.3333,0.4115,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': ['1', '2'], 'name_spans': [], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,6422.0,7880.0,168.0,162.0,25.0,874.0,712.0,6728.0,1895.0,3032.0,258.0,258.0,1.0,14.0,325.0,82.8,1.0,1590.0,4318.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,What is she seeing at the 2009 presidential inauguration?,She was likely observing the inaugural parade and festivities.,America the Beautiful,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,9,1,62,9.0,9,12,3.6,9.7,14.14,0.2222,0.0727,9.0,2.0,2.0,0.0,0.0,False,0.75,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,9209.0,10548.0,137.0,129.0,27.0,838.0,709.0,9476.0,3396.0,4449.0,209.0,209.0,1.0,11.0,328.0,80.3,1.0,3129.0,3448.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,What concept took shape during Walpole's tenure as prime minister?,The Whig Party concept took shape during Walpole's tenure as prime minister.,doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,12,1,76,12.0,12,16,4.8,53.66,8.76,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,1.0,0.8,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The Whig Party'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6910.0,8312.0,182.0,174.0,31.0,846.0,672.0,7209.0,1928.0,3014.0,235.0,235.0,1.0,17.0,327.0,93.1,1.0,1630.0,4179.0
