baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.1,0.15,0.05,-0.0167,0.1167,12,6,102,,n/a,0.238,1.0,False,,,"McNemar, exact binomial",18,no detected change
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.1,0.15,0.05,-0.0167,0.1167,12,6,102,,n/a,0.238,1.0,False,,,"McNemar, exact binomial",18,no detected change
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9033,0.9083,0.005,-0.0033,0.0133,14,9,97,0.0467,negligible,0.246,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",23,equivalent
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9033,0.9083,0.005,-0.0033,0.0133,14,9,97,0.0467,negligible,0.246,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",23,equivalent
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.502,0.4864,-0.0156,-0.0644,0.0278,57,57,6,-0.0264,negligible,0.863,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",114,no detected change
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.3931,0.3913,-0.0018,-0.047,0.0395,45,46,29,-0.0058,negligible,0.78,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",91,no detected change
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.2007,0.1677,-0.033,-0.0582,-0.0091,63,52,5,-0.1463,negligible,0.04,0.4,False,False,0.02,"Wilcoxon signed-rank, normal approximation",115,no detected change
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,answer_presence,reference answer present,response,higher,120,0.0583,0.0583,0.0,-0.0417,0.0417,3,3,114,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",6,no detected change
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0263,0.0268,0.0005,-0.0066,0.0077,22,24,74,-0.0056,negligible,0.943,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",46,equivalent
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1344,0.149,0.0145,-0.0322,0.0623,18,13,89,0.01,negligible,0.45,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",31,no detected change
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0276,0.0284,0.0008,-0.0063,0.0081,21,25,74,-0.0059,negligible,0.956,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",46,equivalent
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,flesch_reading_ease,reading ease,response,higher,120,53.8362,52.0187,-1.8175,-5.0249,1.52,56,61,3,-0.0507,negligible,0.199,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",117,no detected change
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,flesch_kincaid_grade,grade level,response,lower,120,9.475,9.9096,0.4346,-0.1678,1.016,52,66,2,0.0671,negligible,0.0986,0.888,False,False,0.5,"Wilcoxon signed-rank, normal approximation",118,no detected change
07 llama3.1:8b-q8_0 t0,08 llama3.1:8b-q8_0 t0.7/s42,word_count,words,response,descriptive,120,31.725,35.2,3.475,1.0665,5.9417,0,0,120,0.1702,small,0.011,,False,,,"Wilcoxon signed-rank, normal approximation",113,descriptive
