item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,It's unclear which campus TV station you're asking about. Could you please specify the university or college?,WYBC Yale Radio,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,17,2,109,8.5,9,23,6.8,53.89,7.85,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.6315,0.3333,0.7787,0.1472,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,It ensured aviation safety. The Bureau worked to prevent accidents and improve travel security for aircraft.,"maps, blackboards, and mental calculations",True,True,True,1.0,1.0,,,16,2,108,8.0,4,21,6.4,29.52,11.13,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.5081,0.2727,0.5081,0.0,0.1,0.0,0.0,5.0,0.2,0.1099,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7142.0,8122.0,707.0,202.0,105.0,987.0,785.0,7200.0,1144.0,2251.0,116.0,340.0,2.0,19.0,327.0,26.8,1.0,1862.0,6246.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,I didn't understand that. Could you please repeat the sentence?,salon,False,True,True,1.0,1.0,,,10,2,63,5.0,4,13,4.0,83.32,2.88,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6840.0,7132.0,500.0,238.0,105.0,1040.0,802.0,6925.0,1086.0,2251.0,121.0,208.0,2.0,14.0,328.0,28.0,1.0,2168.0,3181.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,"China excelled in many fields. However, some argue navigation lagged behind Europe's during certain periods.",theology,True,False,False,0.9,0.9,answers_in_english,answers_in_english,15,2,108,7.5,5,20,6.0,35.66,10.15,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.1799,0.0833,0.0,-0.1799,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: answers_in_english,7430.0,8207.0,797.0,279.0,92.0,1040.0,761.0,7514.0,-619.0,588.0,161.0,402.0,2.0,22.0,324.0,27.6,1.0,390.0,6257.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,It occurred from 1958 to 1962.,1315–1317,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,30,6.0,6,8,2.4,130.25,-3.42,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['1958', '1962'], 'quantities': [], 'name_spans': [], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,7212.0,7294.0,580.0,588.0,89.0,1430.0,842.0,7268.0,1021.0,2629.0,174.0,174.0,1.0,16.0,322.0,27.6,1.0,3916.0,3726.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,Combining metals can alter properties. Tampering might change brass or bronze traits.,hardness,False,True,True,1.0,1.0,,,12,2,85,6.0,5,16,4.8,59.75,6.42,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.6582,0.4444,0.5081,-0.1501,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7119.0,7220.0,634.0,294.0,112.0,1140.0,846.0,7184.0,786.0,2089.0,159.0,284.0,2.0,17.0,326.0,26.8,1.0,2671.0,4864.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,That's correct. Different cultures and languages often have unique names for the same plants based on their own histories and uses.,single world-wide name,False,True,True,1.0,1.0,,,21,2,131,10.5,2,28,8.4,71.29,5.92,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.5763,0.2308,0.5881,0.0119,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6620.0,7557.0,904.0,126.0,105.0,984.0,858.0,6707.0,-2770.0,-1696.0,85.0,372.0,2.0,25.0,324.0,27.7,1.0,-1668.0,6931.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,"Houston gets few tornadoes annually. On average, Houston sees less than one tornado per year. This can vary due to weather conditions.",49.,True,True,True,1.0,1.0,,,22,3,134,7.333333333333333,5,29,8.8,60.96,6.58,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7849,0.3529,0.7849,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6422.0,7583.0,1019.0,280.0,106.0,1030.0,750.0,6494.0,886.0,2061.0,141.0,451.0,3.0,28.0,326.0,27.5,1.0,1590.0,8057.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,"She spoke at the inauguration. Inauguration was on May 29, 2009. Her speech focused on unity and progress.",America the Beautiful,False,True,True,1.0,1.0,,,18,3,106,6.0,5,24,7.2,69.15,5.11,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.1433,0.2,0.4787,0.3354,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': ['29'], 'name_spans': [], 'atom_count': 2}",,,True,,9209.0,9298.0,1121.0,241.0,105.0,1041.0,800.0,9276.0,1153.0,2308.0,110.0,412.0,3.0,31.0,326.0,27.6,1.0,3129.0,7186.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,It's unclear what you're asking about. Could you specify which prime minister and concept you mean?,doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,16,2,99,8.0,6,21,6.4,71.82,5.23,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.3136,0.375,0.3572,0.0435,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6910.0,7986.0,762.0,356.0,105.0,1175.0,819.0,6978.0,942.0,2247.0,126.0,313.0,2.0,21.0,326.0,27.5,1.0,1630.0,5154.0
