filename,transcription,question,context,answers,is_impossible,id,plausible_answers,duration_ms,speech_start_ms,speech_end_ms,leading_silence_ms,trailing_silence_ms,speech_total_ms,n_segments,max_internal_pause_ms,trailing_zero_pad_ms,segments_ms
57096c95200fba1400367fbe.wav,what is the universal band that digital receivers will receive free to air channels on,What is the universal band that digital recievers will receive free to air channels on?,"Provided is a universal Ku band LNB (9.75/10.600 GHz) which is fitted at the end of the dish and pointed at the correct satellite constellation; most digital receivers will receive the free to air channels. Some broadcasts are free-to-air and unencrypted, some are encrypted but do not require a monthly subscription (known as free-to-view), some are encrypted and require a monthly subscription, and some are pay-per-view services. To view the encrypted content a VideoGuard UK equipped receiver (all of which are dedicated to the Sky service, and cannot be used to decrypt other services) needs to be used. Unofficial CAMs are now available to view the service, although use of them breaks the user's contract with Sky and invalidates the user's rights to use the card.","[{""answer_start"": 24, ""text"": ""Ku band""}, {""answer_start"": 37, ""text"": ""9.75/10.600 GHz""}, {""answer_start"": 14, ""text"": ""universal Ku band""}]",False,57096c95200fba1400367fbe,[],11276,2336,8608,2336,2668,6176,3,64,1502,2336-4288 4320-4768 4832-8608
57096c95200fba1400367fbf.wav,what service is a visual guard you kate equipped receiver dedicated to secret,What service is a VideoGuard UK equipped receiver dedicated to decrypt?,"Provided is a universal Ku band LNB (9.75/10.600 GHz) which is fitted at the end of the dish and pointed at the correct satellite constellation; most digital receivers will receive the free to air channels. Some broadcasts are free-to-air and unencrypted, some are encrypted but do not require a monthly subscription (known as free-to-view), some are encrypted and require a monthly subscription, and some are pay-per-view services. To view the encrypted content a VideoGuard UK equipped receiver (all of which are dedicated to the Sky service, and cannot be used to decrypt other services) needs to be used. Unofficial CAMs are now available to view the service, although use of them breaks the user's contract with Sky and invalidates the user's rights to use the card.","[{""answer_start"": 532, ""text"": ""Sky""}, {""answer_start"": 532, ""text"": ""Sky""}, {""answer_start"": 532, ""text"": ""Sky service""}]",False,57096c95200fba1400367fbf,[],11043,2368,8576,2368,2467,6016,2,192,1501,2368-6752 6944-8576
57115b2850c2381900b54a83.wav,who wrote of the savoury water pump in the seventeen fifty ones philosophical transactions,Who wrote of the Savery water pump in 1751's Philosophical Transactions?,"The first commercial steam-powered device was a water pump, developed in 1698 by Thomas Savery. It used condensing steam to create a vacuum which was used to raise water from below, then it used steam pressure to raise it higher. Small engines were effective though larger models were problematic. They proved only to have a limited lift height and were prone to boiler explosions. It received some use in mines, pumping stations and for supplying water wheels used to power textile machinery. An attractive feature of the Savery engine was its low cost. Bento de Moura Portugal introduced an ingenious improvement of Savery's construction ""to render it capable of working itself"", as described by John Smeaton in the Philosophical Transactions published in 1751. It continued to be manufactured until the late 18th century. One engine was still known to be operating in 1820.","[{""answer_start"": 698, ""text"": ""John Smeaton""}, {""answer_start"": 698, ""text"": ""John Smeaton""}, {""answer_start"": 698, ""text"": ""John Smeaton""}, {""answer_start"": 698, ""text"": ""John Smeaton""}]",False,57115b2850c2381900b54a83,[],10625,1888,7584,1888,3041,5152,4,480,1505,1888-3776 3808-4128 4160-5440 5920-7584
571a4ead10f8ca1400304fe0.wav,follow of basantium blank surmise that air converted to fire,Philo of Byzantium ____ surmised that air converted to fire,"One of the first known experiments on the relationship between combustion and air was conducted by the 2nd century BCE Greek writer on mechanics, Philo of Byzantium. In his work Pneumatica, Philo observed that inverting a vessel over a burning candle and surrounding the vessel's neck with water resulted in some water rising into the neck. Philo incorrectly surmised that parts of the air in the vessel were converted into the classical element fire and thus were able to escape through pores in the glass. Many centuries later Leonardo da Vinci built on Philo's work by observing that a portion of air is consumed during combustion and respiration.","[{""answer_start"": 347, ""text"": ""incorrectly""}, {""answer_start"": 347, ""text"": ""incorrectly""}, {""answer_start"": 347, ""text"": ""incorrectly""}, {""answer_start"": 347, ""text"": ""incorrectly""}, {""answer_start"": 347, ""text"": ""incorrectly""}]",False,571a4ead10f8ca1400304fe0,[],7235,1152,5440,1152,1795,4032,3,160,1505,1152-2496 2656-3136 3232-5440
571a50df4faf5e1900b8a961.wav,combustion is caused by an occident and a fuel what rolled is oxygen playing question,Combustion is caused by an oxidant and a fuel. What role does oxygen play in combustion?,"Highly concentrated sources of oxygen promote rapid combustion. Fire and explosion hazards exist when concentrated oxidants and fuels are brought into close proximity; an ignition event, such as heat or a spark, is needed to trigger combustion. Oxygen is the oxidant, not the fuel, but nevertheless the source of most of the chemical energy released in combustion. Combustion hazards also apply to compounds of oxygen with a high oxidative potential, such as peroxides, chlorates, nitrates, perchlorates, and dichromates because they can donate oxygen to a fire.","[{""answer_start"": 245, ""text"": ""Oxygen is the oxidant""}, {""answer_start"": 255, ""text"": ""the oxidant""}, {""answer_start"": 259, ""text"": ""oxidant""}, {""answer_start"": 259, ""text"": ""oxidant""}, {""answer_start"": 259, ""text"": ""oxidant""}]",False,571a50df4faf5e1900b8a961,[],8768,1280,6816,1280,1952,4960,2,576,1518,1280-4128 4704-6816
571a50df4faf5e1900b8a962.wav,rocksides nitrates and dikeromades are examples of what type of compounds,"Peroxides, nitrates and dichromates are examples of what type of compounds?","Highly concentrated sources of oxygen promote rapid combustion. Fire and explosion hazards exist when concentrated oxidants and fuels are brought into close proximity; an ignition event, such as heat or a spark, is needed to trigger combustion. Oxygen is the oxidant, not the fuel, but nevertheless the source of most of the chemical energy released in combustion. Combustion hazards also apply to compounds of oxygen with a high oxidative potential, such as peroxides, chlorates, nitrates, perchlorates, and dichromates because they can donate oxygen to a fire.","[{""answer_start"": 398, ""text"": ""compounds of oxygen with a high oxidative""}, {""answer_start"": 398, ""text"": ""compounds of oxygen with a high oxidative potential""}, {""answer_start"": 398, ""text"": ""compounds of oxygen with a high oxidative potential""}, {""answer_start"": 398, ""text"": ""compounds of oxygen with a high oxidative potential""}, {""answer_start"": 398, ""text"": ""compounds of oxygen with a high oxidative potential""}]",False,571a50df4faf5e1900b8a962,[],7955,1344,5760,1344,2195,4384,2,32,1515,1344-3744 3776-5760
571a50df4faf5e1900b8a963.wav,although not a fuel blank is the chemical compound that generates the most occurrences of explosions,Although not a fuel  ___ is the chemical compound the generates the most occurrence of explosions.,"Highly concentrated sources of oxygen promote rapid combustion. Fire and explosion hazards exist when concentrated oxidants and fuels are brought into close proximity; an ignition event, such as heat or a spark, is needed to trigger combustion. Oxygen is the oxidant, not the fuel, but nevertheless the source of most of the chemical energy released in combustion. Combustion hazards also apply to compounds of oxygen with a high oxidative potential, such as peroxides, chlorates, nitrates, perchlorates, and dichromates because they can donate oxygen to a fire.","[{""answer_start"": 245, ""text"": ""Oxygen""}, {""answer_start"": 245, ""text"": ""Oxygen""}, {""answer_start"": 245, ""text"": ""Oxygen""}, {""answer_start"": 245, ""text"": ""Oxygen""}, {""answer_start"": 245, ""text"": ""Oxygen""}]",False,571a50df4faf5e1900b8a963,[],9163,1312,7616,1312,1547,5856,2,448,1502,1312-2400 2848-7616
571c4132dd7acb1400e4c0b1.wav,what did priestly name the gases experiment produced,What did Priestley name the gas his experiment produced?,"In the meantime, on August 1, 1774, an experiment conducted by the British clergyman Joseph Priestley focused sunlight on mercuric oxide (HgO) inside a glass tube, which liberated a gas he named ""dephlogisticated air"". He noted that candles burned brighter in the gas and that a mouse was more active and lived longer while breathing it. After breathing the gas himself, he wrote: ""The feeling of it to my lungs was not sensibly different from that of common air, but I fancied that my breast felt peculiarly light and easy for some time afterwards."" Priestley published his findings in 1775 in a paper titled ""An Account of Further Discoveries in Air"" which was included in the second volume of his book titled Experiments and Observations on Different Kinds of Air. Because he published his findings first, Priestley is usually given priority in the discovery.","[{""answer_start"": 196, ""text"": ""dephlogisticated air""}, {""answer_start"": 196, ""text"": ""dephlogisticated air""}, {""answer_start"": 196, ""text"": ""dephlogisticated air""}, {""answer_start"": 196, ""text"": ""dephlogisticated air""}, {""answer_start"": 195, ""text"": ""\""dephlogisticated air""}]",False,571c4132dd7acb1400e4c0b1,[],6005,1024,3904,1024,2101,2880,1,0,1504,1024-3904
571c4132dd7acb1400e4c0b2.wav,in what year did priestly publish the findings of his experiments,In what year did Priestley publish the findings of his experiments?,"In the meantime, on August 1, 1774, an experiment conducted by the British clergyman Joseph Priestley focused sunlight on mercuric oxide (HgO) inside a glass tube, which liberated a gas he named ""dephlogisticated air"". He noted that candles burned brighter in the gas and that a mouse was more active and lived longer while breathing it. After breathing the gas himself, he wrote: ""The feeling of it to my lungs was not sensibly different from that of common air, but I fancied that my breast felt peculiarly light and easy for some time afterwards."" Priestley published his findings in 1775 in a paper titled ""An Account of Further Discoveries in Air"" which was included in the second volume of his book titled Experiments and Observations on Different Kinds of Air. Because he published his findings first, Priestley is usually given priority in the discovery.","[{""answer_start"": 587, ""text"": ""1775""}, {""answer_start"": 587, ""text"": ""1775""}, {""answer_start"": 587, ""text"": ""1775""}, {""answer_start"": 587, ""text"": ""1775""}, {""answer_start"": 587, ""text"": ""1775""}]",False,571c4132dd7acb1400e4c0b2,[],6492,1056,4480,1056,2012,3424,1,0,1508,1056-4480
571c4132dd7acb1400e4c0b3.wav,wise priestly usually given credit for being first to discover oxygen,Why is Priestley usually given credit for being first to discover oxygen?,"In the meantime, on August 1, 1774, an experiment conducted by the British clergyman Joseph Priestley focused sunlight on mercuric oxide (HgO) inside a glass tube, which liberated a gas he named ""dephlogisticated air"". He noted that candles burned brighter in the gas and that a mouse was more active and lived longer while breathing it. After breathing the gas himself, he wrote: ""The feeling of it to my lungs was not sensibly different from that of common air, but I fancied that my breast felt peculiarly light and easy for some time afterwards."" Priestley published his findings in 1775 in a paper titled ""An Account of Further Discoveries in Air"" which was included in the second volume of his book titled Experiments and Observations on Different Kinds of Air. Because he published his findings first, Priestley is usually given priority in the discovery.","[{""answer_start"": 779, ""text"": ""published his findings first""}, {""answer_start"": 776, ""text"": ""he published his findings first""}, {""answer_start"": 776, ""text"": ""he published his findings first""}, {""answer_start"": 776, ""text"": ""he published his findings first""}, {""answer_start"": 768, ""text"": ""Because he published his findings first""}]",False,571c4132dd7acb1400e4c0b3,[],7491,1056,5312,1056,2179,4256,1,0,1521,1056-5312
