====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:58:01
Run label              : 25 llama3.2:1b-q4_K_M t0
Transcripts            : ..\results\text-only\25-llama3_2_1b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_170908\transcripts.yaml
Run directory          : ..\results\text-only\25-llama3_2_1b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_170908
System prompt          : ..\results\text-only\25-llama3_2_1b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_170908\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : llama3.2:1b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : whisper
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.205 (245/1198 words); strata: clean 65, mild 39, severe 16
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_170908.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.00	  FAIL	    89	     6	   88.0	  0.77	   0.77	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.00	  FAIL	    90	    14	   -0.8	  0.33	   0.33	    8872	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.20	  PASS	   100	     5	   66.4	  0.26	   0.48	    8174	     -	     -	     -	     -	    yes
00030     	unspecified               	  0.00	  FAIL	    78	     1	  -48.0	  0.00	   0.00	    8715	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  PASS	   100	     2	  204.8	  0.00	   0.00	    8576	     -	     -	     -	     -	    yes
00035     	unspecified               	  0.00	  FAIL	    89	     6	   31.6	  0.00	   0.00	    8548	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.00	  PASS	   100	     7	   58.2	  0.78	   0.78	    7932	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  FAIL	    89	     6	   45.6	  0.41	   0.41	    7796	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.22	  FAIL	    90	    10	   69.8	  0.00	   0.00	   10680	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.00	  FAIL	    78	     4	   12.4	  0.37	   0.37	    8233	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    14	   23.4	  0.25	   0.00	   11636	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    16	   37.3	  0.47	   0.00	   10401	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    89	     7	   78.9	  0.73	   0.73	    7572	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	     8	   50.7	  0.20	   0.20	    7673	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.00	  FAIL	    90	     8	    8.4	  1.00	   1.00	    7544	     -	     -	     -	     -	     NO
