====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:57
Run label              : 21 gemma3:27b-q4_K_M t0
Transcripts            : ..\results\text-only\21-gemma3_27b_it_q4_K_M-t0_0-vosk_cpu\20260815_154046\transcripts.yaml
Run directory          : ..\results\text-only\21-gemma3_27b_it_q4_K_M-t0_0-vosk_cpu\20260815_154046
System prompt          : ..\results\text-only\21-gemma3_27b_it_q4_K_M-t0_0-vosk_cpu\20260815_154046\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : gemma3:27b-it-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_154046.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  PASS	   100	    35	   54.8	  0.41	   0.51	       -	     -	     -	     -	     -	    yes
00005     	unspecified               	  0.08	  PASS	   100	    55	   29.8	  0.34	   0.34	   11229	     -	     -	     -	     -	    yes
00012     	unspecified               	  0.50	  PASS	   100	    54	   42.9	  0.44	   0.50	   10890	     -	     -	     -	     -	    yes
00030     	unspecified               	  0.25	  PASS	   100	    35	   23.4	  0.18	   0.00	   10434	     -	     -	     -	     -	    yes
00032     	unspecified               	  0.00	  FAIL	    90	    40	   64.3	  0.74	   0.74	    8329	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  PASS	   100	    35	   64.5	  0.68	   0.53	    9248	     -	     -	     -	     -	    yes
00045     	unspecified               	  0.22	  PASS	   100	    31	   51.7	  0.59	   0.57	    9354	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  FAIL	    90	    29	   65.8	  0.57	   0.57	    9278	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  PASS	   100	    44	   43.9	  0.64	   0.74	   11581	     -	     -	     -	     -	    yes
00054     	unspecified               	  0.30	  PASS	   100	    51	   32.0	  0.57	   0.60	   10899	     -	     -	     -	     -	    yes
00057     	unspecified               	  1.44	  PASS	   100	    36	   32.5	  0.77	   0.00	   12647	     -	     -	     -	     -	    yes
00059     	unspecified               	  1.00	  FAIL	    90	    22	   72.6	  0.13	   0.00	   11623	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    90	    34	   61.0	  0.73	   0.73	    8793	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  PASS	   100	    34	   43.5	  0.21	   0.21	    9298	     -	     -	     -	     -	    yes
00088     	unspecified               	  0.11	  FAIL	    90	    38	   49.3	  0.72	   1.00	    9066	     -	     -	     -	     -	     NO
