item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,I'm not aware of that information. Can you please tell me which university's campus TV station you are referring to?,WYBC Yale Radio,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,20,2,116,10.0,6,27,8.0,61.33,7.19,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.6315,0.375,0.7787,0.1472,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,"Air traffic control was responsible for that. It's a service provided by air traffic controllers who guide planes through takeoff, landing, and flight routes to prevent collisions and ensure safe travel. That role is now typically handled by air traffic control towers or centers at airports and in regional airspace.","maps, blackboards, and mental calculations",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,50,3,317,16.666666666666668,7,66,20.0,56.25,9.55,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.5065,0.0909,0.5065,0.0,0.037,0.0,0.0,5.0,0.2,0.0434,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7142.0,8614.0,1026.0,154.0,40.0,1053.0,899.0,7207.0,1144.0,2366.0,164.0,828.0,4.0,59.0,308.0,57.5,1.0,1862.0,17716.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,"I'm not sure what you're asking, but can you clarify who ""on"" is?",salon,False,False,False,0.8,0.8,opener_at_most_five_words;opener_ends_with_full_stop,opener_at_most_five_words;opener_ends_with_full_stop,13,1,65,13.0,13,17,5.2,89.52,4.0,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_at_most_five_words, opener_ends_with_full_stop",6840.0,7116.0,354.0,330.0,43.0,1161.0,831.0,6925.0,1086.0,2437.0,185.0,185.0,1.0,20.0,309.0,56.5,1.0,2168.0,3517.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,"Agriculture with metal tools. China's early agriculture used stone and bone tools, but it wasn't until they adopted metal tools from neighboring regions that their farming practices significantly improved. This development occurred around 3000 BC.",theology,True,True,True,1.0,1.0,,,35,3,247,11.666666666666666,4,47,14.0,47.55,9.53,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.1818,0.0385,0.0,-0.1818,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': ['3000'], 'name_spans': [], 'atom_count': 1}",,,True,,7430.0,8416.0,790.0,143.0,39.0,1016.0,873.0,7502.0,-618.0,526.0,126.0,677.0,4.0,46.0,305.0,58.2,1.0,390.0,15081.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,"The Great Famine occurred in Ireland from 1845 to 1852. It's also known as the Irish Potato Famine, caused by potato blight and other factors.",1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,25,2,142,12.5,10,33,10.0,72.32,6.28,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7416,0.2,0.7416,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['1845', '1852'], 'quantities': [], 'name_spans': ['Irish Potato Famine', 'The Great Famine'], 'atom_count': 4}",,,False,constraint violation: opener_at_most_five_words,7212.0,7279.0,675.0,301.0,39.0,1113.0,812.0,7262.0,1022.0,2418.0,279.0,452.0,2.0,37.0,303.0,54.8,1.0,3916.0,10657.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"Combining brass and bronze creates an alloy called gunmetal. Gunmetal is a strong, corrosion-resistant metal often used in marine hardware and other applications where durability is important. It's also known for its attractive appearance.",hardness,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,35,3,239,11.666666666666666,9,47,14.0,37.88,10.87,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.4815,0.1304,0.5081,0.0266,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7119.0,7194.0,782.0,232.0,43.0,1074.0,842.0,7182.0,783.0,2117.0,255.0,708.0,3.0,44.0,307.0,56.2,1.0,2671.0,13699.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,"Yes, that's true. Different cultures have their own unique names for various plant species. This can sometimes lead to confusion when communicating about specific plants across international borders.",single world-wide name,False,True,True,1.0,1.0,,,28,3,199,9.333333333333334,3,37,11.2,37.23,10.39,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.6291,0.2222,0.5927,-0.0364,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6620.0,7390.0,628.0,117.0,44.0,1094.0,977.0,6711.0,-2769.0,-1558.0,112.0,583.0,3.0,34.0,305.0,54.1,1.0,-1668.0,11528.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,"Houston typically gets about one to two tornadoes annually. Tornado frequency can vary greatly from year to year, but on average, Houston experiences relatively few tornadoes compared to other parts of the United States.",49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,34,2,220,17.0,9,45,13.6,32.82,12.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.5593,0.2917,0.5593,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['United States'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6422.0,7653.0,763.0,184.0,39.0,1029.0,845.0,6503.0,885.0,2157.0,239.0,645.0,3.0,43.0,307.0,56.3,1.0,1590.0,12701.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,"Barack Obama's inauguration was in 2009. He took office on January twentieth, nineteen hundred and nine is incorrect, it was actually twenty ninth of January two thousand and nine.",America the Beautiful,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,29,2,180,14.5,6,39,11.6,49.17,10.0,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.5221,0.2632,0.4873,-0.0349,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': [], 'name_spans': ['Barack Obama'], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,9209.0,9293.0,667.0,205.0,41.0,1097.0,892.0,9276.0,1153.0,2448.0,194.0,552.0,2.0,38.0,307.0,56.9,1.0,3129.0,11215.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,"India's partition plan formed during that time period, also known as the Cabinet Mission Plan, was finalized in 1946, just before India gained independence from British rule. This plan proposed a federal structure for India with autonomy for provinces and a weak central government. It was later superseded by the Mountbatten Plan.",doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,52,3,331,17.333333333333332,27,69,20.8,49.33,10.69,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.0,0.0,0.0967,0.0967,0.0385,0.0,0.0,4.0,0.25,0.0454,"{'years': ['1946'], 'quantities': [], 'name_spans': ['Cabinet Mission Plan', 'Mountbatten Plan'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,6910.0,8454.0,1110.0,513.0,43.0,1358.0,845.0,6968.0,944.0,2749.0,443.0,852.0,4.0,65.0,307.0,58.5,1.0,1630.0,20398.0
