item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,What is the name of the campus TV station?,Could you please specify which university's campus TV station you are asking about?,WYBC Yale Radio,True,False,False,0.8,0.8,opener_at_most_five_words;opener_ends_with_full_stop,opener_at_most_five_words;opener_ends_with_full_stop,13,1,83,13.0,13,17,5.2,43.96,10.36,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7696,0.5,0.7696,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_at_most_five_words, opener_ends_with_full_stop",,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,What did the Bureau used to ensure the safe travels of aircraft?,The Bureau used various methods including weather forecasting and air traffic control.,"maps, blackboards, and mental calculations",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,12,1,86,12.0,12,16,4.8,18.41,13.67,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.3049,0.2,0.3049,0.0,0.125,0.0,0.0,5.0,0.2,0.1341,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7142.0,8577.0,209.0,194.0,38.0,905.0,711.0,7437.0,2157.0,3287.0,222.0,222.0,1.0,14.0,327.0,66.7,1.0,1862.0,4771.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,What did Beyonce's mother own when Beyonce was a child?,"Beyoncé's mother owned a record company. She worked at Columbia Records, which was an important part of her early career.",salon,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,20,2,121,10.0,6,27,8.0,61.33,7.19,0.2,0.0377,10.0,2.0,2.0,0.0,0.0,False,0.75,mild,0.2527,0.0769,0.461,0.2083,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Columbia Records'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6840.0,8414.0,401.0,151.0,38.0,880.0,729.0,7102.0,2430.0,3453.0,138.0,320.0,2.0,27.0,328.0,67.3,1.0,2168.0,6606.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,What was one subject that Avicenna never developed?,Avicenna did not develop modern chemistry as we know it today.,theology,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,11,1,62,11.0,11,15,4.4,41.85,10.15,0.0,0.0,8.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.3951,0.4,0.3951,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7430.0,8886.0,222.0,211.0,38.0,944.0,733.0,7746.0,706.0,1833.0,177.0,177.0,1.0,15.0,325.0,67.5,1.0,390.0,3355.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,In what years was the great famine?,I'm not sure which great famine you mean. Could you please specify?,1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,12,2,67,6.0,8,16,4.8,95.0,1.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7362,0.3333,0.7362,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7212.0,8536.0,226.0,143.0,37.0,870.0,727.0,7432.0,4136.0,5159.0,148.0,217.0,2.0,16.0,322.0,70.7,1.0,3916.0,3750.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,What property does Combining Copper with Brass or Bronze create?,Alloy is created.,hardness,False,True,True,1.0,1.0,,,3,1,17,3.0,3,4,1.2,90.99,1.31,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7119.0,8330.0,103.0,82.0,39.0,796.0,714.0,7401.0,2952.0,3865.0,111.0,111.0,1.0,6.0,326.0,58.1,1.0,2671.0,1265.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,Do different countries refer to plants by different names?,"Yes, they do. Different languages often have unique terms for plants.",single world-wide name,False,True,True,1.0,1.0,,,11,2,69,5.5,3,15,4.4,70.51,4.79,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.3805,0.3333,0.3805,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6620.0,7992.0,205.0,80.0,38.0,867.0,787.0,6857.0,-1430.0,-469.0,89.0,229.0,2.0,15.0,324.0,72.9,1.0,-1668.0,3924.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,How many tornadoes does Houston usually get per year?,Houston typically experiences about five to ten tornadoes annually.,49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,9,1,67,9.0,9,12,3.6,9.7,14.14,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.4019,0.2857,0.4019,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6422.0,7848.0,187.0,169.0,39.0,910.0,741.0,6729.0,1896.0,3001.0,190.0,190.0,1.0,12.0,325.0,63.9,1.0,1590.0,3877.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,What is she seeing at the 2009 presidential inauguration?,She was likely witnessing Barack Obama's inauguration.,America the Beautiful,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,7,1,54,7.0,7,9,2.8,-17.81,17.48,0.2222,0.0727,9.0,2.0,2.0,0.0,0.0,False,0.75,mild,0.2417,0.2,0.2417,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Barack Obama'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,9209.0,10546.0,141.0,127.0,34.0,879.0,752.0,9468.0,3388.0,4452.0,180.0,180.0,1.0,10.0,328.0,70.9,1.0,3129.0,2879.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,What concept took shape during Walpole's tenure as prime minister?,The concept of the British two-party system began to take shape.,doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,12,1,64,12.0,12,16,4.8,74.81,5.81,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.2484,0.25,0.2484,0.0,0.1429,0.0,0.0,4.0,0.25,0.1548,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6910.0,8215.0,173.0,160.0,29.0,839.0,679.0,7173.0,1892.0,2918.0,182.0,182.0,1.0,14.0,327.0,80.9,1.0,1630.0,3169.0
