====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:50
Run label              : 11 qwen2.5:1.5b-q4_K_M t0
Transcripts            : ..\results\text-only\11-qwen2_5_1_5b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_140009\transcripts.yaml
Run directory          : ..\results\text-only\11-qwen2_5_1_5b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_140009
System prompt          : ..\results\text-only\11-qwen2_5_1_5b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_140009\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:1.5b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_140009.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  PASS	   100	     3	   91.0	  0.00	   0.00	       -	     -	     -	     -	     -	    yes
00005     	unspecified               	  0.08	  FAIL	    89	     6	   45.6	  0.16	   0.16	    7389	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    89	     7	   78.9	  0.00	   0.00	    6936	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  FAIL	    78	     1	 -301.8	  0.00	   0.00	    7513	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    90	    14	   71.8	  0.73	   0.73	    7280	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  FAIL	    90	    12	   75.9	  0.83	   0.68	    7208	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  FAIL	    80	    10	   36.0	  0.39	   0.39	    6721	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  FAIL	    80	     8	   18.9	  0.41	   0.41	    6906	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    90	    19	   68.1	  0.67	   0.73	    9302	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    78	     4	   33.6	  0.43	   0.49	    7263	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    16	   42.5	  0.86	   0.00	   10071	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    13	   83.0	  0.27	   0.00	    9093	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    89	     7	   54.7	  1.00	   1.00	    6279	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	    10	   44.4	  0.38	   0.38	    6646	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.11	  FAIL	    89	     7	   42.6	  0.75	   1.00	    6217	     -	     -	     -	     -	     NO
00089     	unspecified               	  0.10	  FAIL	    90	     9	   56.7	  0.63	   0.49	    6953	     -	     -	     -	     -	     NO
00093     	unspecified               	  0.80	  PASS	   100	    11	   78.2	  0.00	   0.00	    4956	     -	     -	     -	     -	    yes
00100     	unspecified               	  0.43	  FAIL	    90	    10	  103.6	  1.00	   1.00	    6304	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.08	  FAIL	    90	    20	   51.2	  0.49	   0.49	    7412	     -	     -	     -	     -	     NO
00118     	unspecified               	  0.27	  FAIL	    90	    12	   67.8	  0.84	   0.55	    7634	     -	     -	     -	     -	     NO
00124     	unspecified               	  0.11	  FAIL	    90	    10	   10.6	  0.42	   0.44	    6372	     -	     -	     -	     -	     NO
00130     	unspecified               	  3.60	  FAIL	    90	    22	   80.7	  1.00	   0.00	    9306	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.35	  FAIL	    90	    10	   69.8	  0.36	   0.26	    7448	     -	     -	     -	     -	     NO
00170     	unspecified               	  0.33	  FAIL	    90	    15	   16.8	  0.49	   1.00	    6946	     -	     -	     -	     -	     NO
00178     	unspecified               	  0.11	  FAIL	    70	    11	   72.6	  0.14	   0.14	    7885	     -	     -	     -	     -	     NO
00181     	unspecified               	  0.07	  FAIL	    90	    11	   88.0	  0.35	   0.60	   10338	     -	     -	     -	     -	     NO
00197     	unspecified               	  0.17	  FAIL	    90	    49	   17.9	  0.28	   0.28	   10628	     -	     -	     -	     -	     NO
00201     	unspecified               	  0.42	  FAIL	    90	    13	   24.4	  0.15	   0.00	    7623	     -	     -	     -	     -	     NO
00206     	unspecified               	  0.20	  FAIL	    90	     9	   66.1	  0.31	   0.31	    5392	     -	     -	     -	     -	     NO
00208     	unspecified               	  0.33	  FAIL	    89	     7	   91.0	  0.57	   0.49	    6520	     -	     -	     -	     -	     NO
