baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
05 llama3.1:8b-q4_K_M t0,06 llama3.1:8b-q4_K_M t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.1667,0.2167,0.05,-0.0333,0.1333,16,10,94,,n/a,0.327,1.0,False,,,"McNemar, chi-square with continuity correction",26,no detected change
05 llama3.1:8b-q4_K_M t0,06 llama3.1:8b-q4_K_M t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.1667,0.2167,0.05,-0.0333,0.1333,16,10,94,,n/a,0.327,1.0,False,,,"McNemar, chi-square with continuity correction",26,no detected change
05 llama3.1:8b-q4_K_M t0,06 llama3.1:8b-q4_K_M t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9133,0.9208,0.0075,-0.0025,0.0175,18,10,92,0.0562,negligible,0.172,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",28,equivalent
05 llama3.1:8b-q4_K_M t0,06 llama3.1:8b-q4_K_M t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9133,0.9208,0.0075,-0.0025,0.0175,18,10,92,0.0562,negligible,0.172,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",28,equivalent
05 llama3.1:8b-q4_K_M t0,06 llama3.1:8b-q4_K_M t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.479,0.4708,-0.0082,-0.0482,0.03,61,54,5,-0.0266,negligible,0.994,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",115,no detected change
05 llama3.1:8b-q4_K_M t0,06 llama3.1:8b-q4_K_M t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.3895,0.3931,0.0036,-0.0325,0.0398,46,45,29,0.0221,negligible,0.948,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",91,no detected change
05 llama3.1:8b-q4_K_M t0,06 llama3.1:8b-q4_K_M t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.1858,0.168,-0.0178,-0.0379,0.0026,62,54,4,-0.0817,negligible,0.183,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",116,no detected change
05 llama3.1:8b-q4_K_M t0,06 llama3.1:8b-q4_K_M t0.7/s42,answer_presence,reference answer present,response,higher,120,0.0583,0.05,-0.0083,-0.0417,0.0167,1,2,117,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",3,no detected change
05 llama3.1:8b-q4_K_M t0,06 llama3.1:8b-q4_K_M t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
05 llama3.1:8b-q4_K_M t0,06 llama3.1:8b-q4_K_M t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0317,0.0289,-0.0028,-0.0095,0.0038,22,23,75,0.0035,negligible,0.505,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",45,equivalent
