====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:49
Run label              : 10 llama3.1:8b-fp16 t0.7/s42
Transcripts            : ..\results\text-only\10-llama3_1_8b_instruct_fp16-t0.7_s42-vosk_cpu\20260815_134312\transcripts.yaml
Run directory          : ..\results\text-only\10-llama3_1_8b_instruct_fp16-t0.7_s42-vosk_cpu\20260815_134312
System prompt          : ..\results\text-only\10-llama3_1_8b_instruct_fp16-t0.7_s42-vosk_cpu\20260815_134312\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : llama3.1:8b-instruct-fp16
  llm_temperature     : 0.7
  llm_seed            : 42
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_134312.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  PASS	   100	    32	   45.2	  0.00	   0.00	       -	     -	     -	     -	     -	    yes
00005     	unspecified               	  0.08	  FAIL	    90	    50	   36.0	  0.83	   0.83	    8785	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    90	    16	   87.7	  0.00	   0.00	    7163	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  FAIL	    90	    37	   27.4	  0.47	   0.34	    8572	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    90	    41	   62.2	  0.74	   0.74	    7280	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  FAIL	    90	    49	   64.2	  0.66	   0.64	    7533	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  FAIL	    70	    39	   34.2	  0.63	   0.59	    7735	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  FAIL	    90	     8	   29.5	  0.41	   0.41	    7003	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    90	    27	   58.4	  0.29	   0.48	    9301	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    90	    48	   49.6	  0.44	   0.60	    8715	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  PASS	   100	    34	   27.8	  0.59	   0.00	   10772	     -	     -	     -	     -	    yes
00059     	unspecified               	  1.00	  FAIL	    90	    25	   72.3	  0.59	   0.00	    9778	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    90	    27	   55.3	  1.00	   1.00	    7092	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	    35	   47.5	  0.37	   0.37	    7596	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.11	  FAIL	    90	    30	   36.5	  0.72	   1.00	    6973	     -	     -	     -	     -	     NO
00089     	unspecified               	  0.10	  PASS	   100	    23	   51.7	  0.16	   0.00	    7517	     -	     -	     -	     -	    yes
00093     	unspecified               	  0.80	  FAIL	    90	    17	   58.9	  0.37	   0.63	    5410	     -	     -	     -	     -	     NO
00100     	unspecified               	  0.43	  FAIL	    90	    34	   65.2	  0.47	   0.73	    7014	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.08	  FAIL	    90	    36	   81.9	  0.49	   0.49	    8119	     -	     -	     -	     -	     NO
00118     	unspecified               	  0.27	  FAIL	    90	    60	   56.8	  0.83	   0.53	    9099	     -	     -	     -	     -	     NO
00124     	unspecified               	  0.11	  FAIL	    90	    33	   41.9	  0.59	   0.62	    6848	     -	     -	     -	     -	     NO
00130     	unspecified               	  3.60	  FAIL	    90	    53	   53.2	  0.61	   0.00	   10570	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.35	  FAIL	    90	    31	   51.7	  0.36	   0.42	    8160	     -	     -	     -	     -	     NO
00170     	unspecified               	  0.33	  FAIL	    90	    31	   13.7	  0.76	   1.00	    7619	     -	     -	     -	     -	     NO
00178     	unspecified               	  0.11	  PASS	   100	    41	   51.9	  0.54	   0.70	    9069	     -	     -	     -	     -	    yes
00181     	unspecified               	  0.07	  FAIL	    90	    50	   41.0	  0.55	   0.85	   11618	     -	     -	     -	     -	     NO
00197     	unspecified               	  0.17	  FAIL	    90	    40	    0.8	  0.29	   0.40	   11066	     -	     -	     -	     -	     NO
00201     	unspecified               	  0.42	  FAIL	    90	    37	   32.0	  0.28	   0.14	    8424	     -	     -	     -	     -	     NO
00206     	unspecified               	  0.20	  FAIL	    90	    27	   61.5	  0.31	   0.32	    6079	     -	     -	     -	     -	     NO
00208     	unspecified               	  0.33	  FAIL	    90	    30	   56.2	  0.81	   0.50	    7573	     -	     -	     -	     -	     NO
00211     	unspecified               	  0.08	  FAIL	    90	    35	   50.0	  0.19	   0.19	   10979	     -	     -	     -	     -	     NO
00233     	unspecified               	  0.12	  FAIL	    90	    42	   57.7	  0.70	   0.70	    6893	     -	     -	     -	     -	     NO
00236     	unspecified               	  0.14	  FAIL	    90	    30	   72.6	  0.32	   0.32	    8547	     -	     -	     -	     -	     NO
00244     	unspecified               	  0.00	  PASS	   100	    59	   49.3	  0.71	   0.71	    9311	     -	     -	     -	     -	    yes
00245     	unspecified               	  0.22	  FAIL	    80	    25	   56.2	  0.37	   0.15	    7534	     -	     -	     -	     -	     NO
00259     	unspecified               	  0.00	  FAIL	    90	    39	   67.8	  0.83	   0.83	    7648	     -	     -	     -	     -	     NO
00261     	unspecified               	  0.15	  FAIL	    90	    28	  100.7	  0.82	   0.82	    7687	     -	     -	     -	     -	     NO
00266     	unspecified               	  0.29	  FAIL	    80	    26	   66.7	  0.00	   0.00	   11281	     -	     -	     -	     -	     NO
00267     	unspecified               	  0.29	  FAIL	    90	    38	   73.8	  1.00	   0.45	    7432	     -	     -	     -	     -	     NO
00271     	unspecified               	  0.33	  FAIL	    90	    65	   35.2	  0.79	   0.64	    9352	     -	     -	     -	     -	     NO
00290     	unspecified               	  0.33	  FAIL	    90	    34	   58.5	  0.63	   0.59	    6247	     -	     -	     -	     -	     NO
00298     	unspecified               	  0.00	  FAIL	    90	    41	   48.5	  1.00	   1.00	    6564	     -	     -	     -	     -	     NO
00305     	unspecified               	  0.92	  FAIL	    90	    41	   42.3	  0.76	   0.00	    8504	     -	     -	     -	     -	     NO
00311     	unspecified               	  0.69	  FAIL	    90	    32	   63.8	  0.42	   0.29	   10391	     -	     -	     -	     -	     NO
00325     	unspecified               	  0.10	  PASS	   100	    21	   51.1	  0.73	   0.46	    8511	     -	     -	     -	     -	    yes
00326     	unspecified               	  0.42	  FAIL	    80	    19	   62.9	  0.00	   0.00	    9255	     -	     -	     -	     -	     NO
00327     	unspecified               	  0.25	  FAIL	    90	    23	   81.1	  0.31	   0.33	    7284	     -	     -	     -	     -	     NO
00335     	unspecified               	  1.17	  FAIL	    90	    36	   14.7	  0.51	   0.00	    7609	     -	     -	     -	     -	     NO
00352     	unspecified               	  1.00	  FAIL	    90	    21	   79.3	  0.52	   0.00	    9782	     -	     -	     -	     -	     NO
00357     	unspecified               	  0.43	  FAIL	    90	    35	   66.9	  0.51	   0.47	    7050	     -	     -	     -	     -	     NO
00366     	unspecified               	  0.55	  FAIL	    90	    32	   61.2	  0.26	   0.45	   10718	     -	     -	     -	     -	     NO
00369     	unspecified               	  0.42	  FAIL	    90	    23	   66.4	  0.16	   0.33	    7785	     -	     -	     -	     -	     NO
00382     	unspecified               	  0.38	  FAIL	    90	    21	   70.8	  0.53	   0.31	    6952	     -	     -	     -	     -	     NO
00389     	unspecified               	  1.20	  FAIL	    90	    22	   64.9	  0.18	   0.00	    8193	     -	     -	     -	     -	     NO
00394     	unspecified               	  0.20	  PASS	   100	    24	   74.8	  0.72	   0.52	    6861	     -	     -	     -	     -	    yes
00406     	unspecified               	  0.08	  FAIL	    90	    26	   34.0	  0.59	   0.49	    8367	     -	     -	     -	     -	     NO
00417     	unspecified               	  0.20	  FAIL	    70	    47	   65.3	  0.23	   0.38	   10869	     -	     -	     -	     -	     NO
00422     	unspecified               	  0.05	  FAIL	    90	    38	   25.0	  0.40	   0.40	   11453	     -	     -	     -	     -	     NO
00425     	unspecified               	  0.00	  FAIL	    90	    21	   78.9	  0.00	   0.00	    7557	     -	     -	     -	     -	     NO
00432     	unspecified               	  0.17	  FAIL	    90	    37	   48.0	  0.86	   0.81	    9838	     -	     -	     -	     -	     NO
00433     	unspecified               	  0.90	  FAIL	    90	    39	   67.8	  0.75	   0.00	    6990	     -	     -	     -	     -	     NO
00441     	unspecified               	  0.17	  FAIL	    90	    26	   67.9	  0.63	   0.63	    6303	     -	     -	     -	     -	     NO
00443     	unspecified               	  0.57	  FAIL	    90	    20	   65.6	  0.20	   0.20	    6735	     -	     -	     -	     -	     NO
00444     	unspecified               	  0.00	  PASS	   100	    17	   53.9	  0.49	   0.49	    5693	     -	     -	     -	     -	    yes
00452     	unspecified               	  0.69	  FAIL	    90	    18	   89.6	  0.25	   0.00	   11004	     -	     -	     -	     -	     NO
00455     	unspecified               	  1.22	  FAIL	    90	    19	   50.3	  0.00	   0.00	    8893	     -	     -	     -	     -	     NO
00457     	unspecified               	  0.83	  FAIL	    90	    22	   49.5	  0.25	   0.00	    7322	     -	     -	     -	     -	     NO
00460     	unspecified               	  0.30	  FAIL	    90	    26	   73.2	  0.40	   0.49	    6478	     -	     -	     -	     -	     NO
00474     	unspecified               	  0.50	  FAIL	    80	    23	   47.4	  0.78	   0.75	    7263	     -	     -	     -	     -	     NO
00475     	unspecified               	  0.44	  FAIL	    90	    46	   23.9	  0.65	   1.00	    8715	     -	     -	     -	     -	     NO
