item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,The campus TV station is called KUTV.,WYBC Yale Radio,True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,7,1,37,7.0,7,9,2.8,90.96,2.31,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.6218,0.6,0.7696,0.1478,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,The Federal Aviation Administration was established.,"maps, blackboards, and mental calculations",True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,52,6.0,6,9,2.4,-24.85,18.22,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The Federal Aviation Administration'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,7142.0,7522.0,99.0,90.0,21.0,926.0,836.0,7205.0,1145.0,2231.0,156.0,156.0,1.0,8.0,323.0,80.0,1.0,1862.0,2832.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,I couldn't quite understand that. Did you mean what happened to his mother when he was a child?,salon,False,True,True,1.0,1.0,,,18,2,95,9.0,5,24,7.2,94.3,2.34,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.5936,0.375,0.5094,-0.0842,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6840.0,7080.0,271.0,91.0,29.0,996.0,905.0,6921.0,1086.0,2215.0,128.0,274.0,2.0,22.0,324.0,81.0,1.0,2168.0,5003.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,One subject China struggled to develop is nuclear power.,theology,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,9,1,56,9.0,9,12,3.6,56.7,7.59,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.649,0.5714,0.5573,-0.0917,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7430.0,7635.0,140.0,131.0,29.0,1001.0,870.0,7501.0,-614.0,582.0,192.0,192.0,1.0,11.0,320.0,78.3,1.0,390.0,3517.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,The Great Famine occurred from eighteen eighty-seven to eighteen ninety-one.,1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,12,1,76,12.0,12,16,4.8,53.66,8.76,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.744,0.2222,0.744,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The Great Famine'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,7212.0,7278.0,179.0,167.0,26.0,1054.0,887.0,7262.0,1022.0,2282.0,202.0,202.0,1.0,15.0,318.0,83.7,1.0,3916.0,3332.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"Combining tampering with brass can cause corrosion, but it's unlikely to damage bronze, which is generally more resistant to corrosion than brass.",hardness,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,22,1,146,22.0,22,29,8.8,34.53,13.91,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.6582,0.4167,0.5067,-0.1515,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7119.0,7215.0,294.0,265.0,25.0,1163.0,898.0,7201.0,785.0,2277.0,325.0,363.0,2.0,29.0,322.0,98.5,1.0,2671.0,8103.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,Different countries refer to plants differently.,single world-wide name,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,48,6.0,6,8,2.4,17.45,12.32,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.6223,0.8,0.806,0.1837,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6620.0,6727.0,101.0,92.0,28.0,854.0,762.0,6712.0,-2770.0,-1747.0,166.0,166.0,1.0,8.0,320.0,78.6,1.0,-1668.0,2356.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,Houston typically experiences around one tornado per year.,49.,True,False,False,0.8,0.8,opener_at_most_five_words;answers_in_english,opener_at_most_five_words;answers_in_english,8,1,58,8.0,8,11,3.2,18.94,12.61,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7861,0.5,0.7861,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_at_most_five_words, answers_in_english",6422.0,6958.0,127.0,116.0,32.0,1025.0,909.0,6489.0,886.0,2114.0,197.0,197.0,1.0,10.0,322.0,78.4,1.0,1590.0,3750.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,She's referring to Barack Obama's inauguration.,America the Beautiful,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,47,6.0,6,8,2.4,-10.75,16.25,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.1417,0.25,0.2364,0.0947,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Barack Obama'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,9209.0,9298.0,127.0,120.0,28.0,985.0,865.0,9277.0,1151.0,2328.0,188.0,188.0,1.0,10.0,322.0,78.5,1.0,3129.0,2612.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,I couldn't find any information on a specific concept that took shape during a person's term as Prime Minister after they left office.,doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,23,1,134,23.0,23,31,9.2,54.75,11.34,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.6507,0.4,0.7225,0.0718,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Prime Minister'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6910.0,7727.0,287.0,279.0,29.0,1131.0,852.0,6972.0,953.0,2430.0,342.0,342.0,1.0,27.0,322.0,94.0,1.0,1630.0,7511.0
