baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.1667,0.3667,0.2,0.1,0.3,33,9,78,,n/a,0.000387,0.0058,True,,,"McNemar, chi-square with continuity correction",42,improved
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.1667,0.3667,0.2,0.1,0.3,33,9,78,,n/a,0.000387,0.0058,True,,,"McNemar, chi-square with continuity correction",42,improved
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9133,0.9367,0.0233,0.0125,0.035,34,9,77,0.2106,small,0.000118,0.00201,True,False,0.02,"Wilcoxon signed-rank, normal approximation",43,improved
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9133,0.9367,0.0233,0.0125,0.035,34,9,77,0.2106,small,0.000118,0.00201,True,False,0.02,"Wilcoxon signed-rank, normal approximation",43,improved
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.479,0.5035,0.0245,-0.028,0.0812,61,53,6,0.0452,negligible,0.455,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",114,no detected change
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.3895,0.4176,0.0281,-0.0225,0.0814,50,43,27,0.0463,negligible,0.455,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",93,no detected change
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.1858,0.1806,-0.0053,-0.0305,0.022,66,48,6,-0.0441,negligible,0.118,0.828,False,False,0.02,"Wilcoxon signed-rank, normal approximation",114,no detected change
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.0583,0.0833,0.025,-0.0167,0.0667,5,2,113,,n/a,0.453,1.0,False,,,"McNemar, exact binomial",7,no detected change
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0317,0.043,0.0113,0.0022,0.0211,31,14,75,0.0784,negligible,0.0178,0.16,False,True,0.02,"Wilcoxon signed-rank, normal approximation",45,equivalent
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1492,0.206,0.0568,0.0067,0.1099,20,9,91,0.0798,negligible,0.0306,0.245,False,False,0.02,"Wilcoxon signed-rank, normal approximation",29,no detected change
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0331,0.0473,0.0142,0.0043,0.0253,33,12,75,0.0822,negligible,0.00747,0.0747,False,False,0.02,"Wilcoxon signed-rank, normal approximation",45,no detected change
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,flesch_reading_ease,reading ease,response,higher,120,53.6103,51.552,-2.0583,-5.9588,1.9064,53,65,2,-0.0498,negligible,0.158,0.947,False,False,2.0,"Wilcoxon signed-rank, normal approximation",118,no detected change
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,flesch_kincaid_grade,grade level,response,lower,120,9.5123,9.3924,-0.1199,-0.8476,0.5893,60,58,2,-0.0033,negligible,0.954,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",118,no detected change
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,word_count,words,response,descriptive,120,30.3833,29.7333,-0.65,-2.5333,1.1504,0,0,120,-0.0144,negligible,0.907,,False,,,"Wilcoxon signed-rank, normal approximation",114,descriptive
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,sentence_count,sentences,response,descriptive,120,2.1583,2.3333,0.175,0.0417,0.3,0,0,120,0.1499,small,0.0104,,False,,,"Wilcoxon signed-rank, normal approximation",49,descriptive
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,opening_words,opening sentence length,response,descriptive,120,11.8917,9.0,-2.8917,-4.5833,-1.0917,0,0,120,-0.2698,small,0.000346,,False,,,"Wilcoxon signed-rank, normal approximation",94,descriptive
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,mean_words_per_sentence,words per sentence,response,descriptive,120,15.0174,13.3764,-1.641,-2.7917,-0.5181,0,0,120,-0.1655,small,0.0116,,False,,,"Wilcoxon signed-rank, normal approximation",116,descriptive
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,estimated_tokens,estimated tokens,response,descriptive,120,40.525,39.6667,-0.8583,-3.3335,1.5337,0,0,120,-0.0126,negligible,0.869,,False,,,"Wilcoxon signed-rank, normal approximation",114,descriptive
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,12.1533,11.8933,-0.26,-1.0133,0.4602,0,0,120,-0.0144,negligible,0.913,,False,,,"Wilcoxon signed-rank, normal approximation",114,descriptive
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,37.958,38.3697,0.4118,-0.2355,1.0336,48,51,20,0.0309,negligible,0.328,0.983,False,True,5.0,"Wilcoxon signed-rank, normal approximation",99,equivalent
05 llama3.1:8b-q4_K_M t0,27 llama3.1:8b-q4_K_M t0,lat_llm_ttft,time to first token (ms),runtime,lower,119,866.7311,830.8992,-35.8319,-47.9334,-22.7973,79,39,1,-0.3804,medium,1.48e-06,8.88e-06,True,True,50.0,"Wilcoxon signed-rank, normal approximation",118,improved
