item_id,rater_id,dimension,score
item001,rater_a,relevance,5
item001,rater_b,relevance,5
item002,rater_a,relevance,2
item002,rater_b,relevance,2
item003,rater_a,relevance,5
item003,rater_b,relevance,4
item004,rater_a,relevance,4
item004,rater_b,relevance,4
item001,rater_a,factual_accuracy,3
item001,rater_b,factual_accuracy,3
item002,rater_a,factual_accuracy,1
item002,rater_b,factual_accuracy,2
item003,rater_a,factual_accuracy,5
item003,rater_b,factual_accuracy,5
item004,rater_a,factual_accuracy,3
item004,rater_b,factual_accuracy,2
item001,rater_a,spoken_comprehensibility,4
item001,rater_b,spoken_comprehensibility,4
item002,rater_a,spoken_comprehensibility,1
item002,rater_b,spoken_comprehensibility,2
item003,rater_a,spoken_comprehensibility,2
item003,rater_b,spoken_comprehensibility,3
item004,rater_a,spoken_comprehensibility,3
item004,rater_b,spoken_comprehensibility,3
item001,rater_a,internal_consistency,5
item001,rater_b,internal_consistency,5
item002,rater_a,internal_consistency,1
item002,rater_b,internal_consistency,1
item003,rater_a,internal_consistency,5
item003,rater_b,internal_consistency,5
item004,rater_a,internal_consistency,2
item004,rater_b,internal_consistency,2
