baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
24 qwen2.5:32b-q4_K_M t0.7/s42,16 qwen2.5:7b-q4_K_M t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.6167,0.0917,-0.525,-0.6167,-0.425,3,66,51,,n/a,8.4e-14,1.34e-12,True,,,"McNemar, chi-square with continuity correction",69,degraded
24 qwen2.5:32b-q4_K_M t0.7/s42,16 qwen2.5:7b-q4_K_M t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.6167,0.0917,-0.525,-0.6167,-0.425,3,66,51,,n/a,8.4e-14,1.34e-12,True,,,"McNemar, chi-square with continuity correction",69,degraded
24 qwen2.5:32b-q4_K_M t0.7/s42,16 qwen2.5:7b-q4_K_M t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9553,0.8819,-0.0733,-0.0879,-0.0586,11,79,30,-0.5784,large,1.43e-12,2e-11,True,False,0.02,"Wilcoxon signed-rank, normal approximation",90,degraded
24 qwen2.5:32b-q4_K_M t0.7/s42,16 qwen2.5:7b-q4_K_M t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9553,0.8819,-0.0733,-0.0879,-0.0586,11,79,30,-0.5784,large,1.43e-12,2e-11,True,False,0.02,"Wilcoxon signed-rank, normal approximation",90,degraded
24 qwen2.5:32b-q4_K_M t0.7/s42,16 qwen2.5:7b-q4_K_M t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.4449,0.4408,-0.0041,-0.0677,0.06,52,57,11,-0.0269,negligible,0.666,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",109,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,16 qwen2.5:7b-q4_K_M t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.3622,0.3444,-0.0178,-0.0732,0.0357,40,48,32,-0.0516,negligible,0.522,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",88,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,16 qwen2.5:7b-q4_K_M t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.2613,0.3086,0.0473,0.0025,0.0945,53,60,7,0.1041,negligible,0.173,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",113,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,16 qwen2.5:7b-q4_K_M t0.7/s42,answer_presence,reference answer present,response,higher,120,0.05,0.0333,-0.0167,-0.0583,0.025,2,4,114,,n/a,0.688,1.0,False,,,"McNemar, exact binomial",6,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,16 qwen2.5:7b-q4_K_M t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,16 qwen2.5:7b-q4_K_M t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0398,0.0389,-0.0009,-0.0114,0.0096,18,20,82,-0.0469,negligible,0.862,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",38,equivalent
