baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
24 qwen2.5:32b-q4_K_M t0.7/s42,22 gemma3:27b-q4_K_M t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.6167,0.7333,0.1167,0.0083,0.2167,28,14,78,,n/a,0.0449,0.673,False,,,"McNemar, chi-square with continuity correction",42,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,22 gemma3:27b-q4_K_M t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.6167,0.7333,0.1167,0.0083,0.2167,28,14,78,,n/a,0.0449,0.673,False,,,"McNemar, chi-square with continuity correction",42,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,22 gemma3:27b-q4_K_M t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9553,0.9708,0.0156,0.0021,0.0299,30,16,74,0.1297,negligible,0.0277,0.47,False,False,0.02,"Wilcoxon signed-rank, normal approximation",46,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,22 gemma3:27b-q4_K_M t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9553,0.9708,0.0156,0.0021,0.0299,30,16,74,0.1297,negligible,0.0277,0.47,False,False,0.02,"Wilcoxon signed-rank, normal approximation",46,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,22 gemma3:27b-q4_K_M t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.4449,0.5174,0.0725,0.0179,0.1244,69,40,11,0.1563,small,0.0119,0.0951,False,False,0.02,"Wilcoxon signed-rank, normal approximation",109,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,22 gemma3:27b-q4_K_M t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.3622,0.3975,0.0354,-0.0076,0.0795,56,42,22,0.0725,negligible,0.136,0.925,False,False,0.02,"Wilcoxon signed-rank, normal approximation",98,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,22 gemma3:27b-q4_K_M t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.2613,0.1472,-0.1141,-0.144,-0.0844,89,26,5,-0.4251,medium,5.24e-11,5.24e-10,True,False,0.02,"Wilcoxon signed-rank, normal approximation",115,improved
24 qwen2.5:32b-q4_K_M t0.7/s42,22 gemma3:27b-q4_K_M t0.7/s42,answer_presence,reference answer present,response,higher,120,0.05,0.0667,0.0167,-0.0333,0.0667,6,4,110,,n/a,0.754,1.0,False,,,"McNemar, exact binomial",10,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,22 gemma3:27b-q4_K_M t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
24 qwen2.5:32b-q4_K_M t0.7/s42,22 gemma3:27b-q4_K_M t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0398,0.0279,-0.0119,-0.0235,-0.0001,24,29,67,0.0385,negligible,0.23,0.996,False,False,0.02,"Wilcoxon signed-rank, normal approximation",53,no detected change
