====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:51
Run label              : 12 qwen2.5:1.5b-q4_K_M t0.7/s42
Transcripts            : ..\results\text-only\12-qwen2_5_1_5b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_141554\transcripts.yaml
Run directory          : ..\results\text-only\12-qwen2_5_1_5b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_141554
System prompt          : ..\results\text-only\12-qwen2_5_1_5b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_141554\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:1.5b-instruct-q4_K_M
  llm_temperature     : 0.7
  llm_seed            : 42
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_141554.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    90	     9	   94.3	  0.80	   1.00	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  FAIL	    90	     8	   18.9	  0.17	   0.17	    7535	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    90	    13	   70.0	  0.77	   0.50	    6971	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  FAIL	    78	     1	  121.2	  0.00	   0.00	    7514	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    90	    10	  103.6	  0.00	   0.00	    7277	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  FAIL	    90	    40	   51.6	  0.83	   0.68	    7210	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  FAIL	    89	     6	   45.6	  0.78	   0.80	    6702	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  FAIL	    90	     9	   28.5	  0.41	   0.41	    6830	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    89	     5	   -1.3	  0.29	   0.73	    9299	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    67	     6	    3.3	  0.00	   0.00	    7260	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    16	   42.5	  0.87	   0.00	   10094	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    29	   63.6	  1.00	   0.00	    9455	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    89	     7	   54.7	  1.00	   1.00	    6276	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	    22	   38.4	  0.59	   0.59	    7074	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.11	  FAIL	    90	     8	   50.7	  0.74	   1.00	    6200	     -	     -	     -	     -	     NO
00089     	unspecified               	  0.10	  FAIL	    89	     6	   31.6	  0.15	   0.00	    6966	     -	     -	     -	     -	     NO
