====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:58:06
Run label              : 32 qwen2.5:7b-q4_K_M t0
Transcripts            : ..\results\text-only\32-qwen2_5_7b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_184140\transcripts.yaml
Run directory          : ..\results\text-only\32-qwen2_5_7b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_184140
System prompt          : ..\results\text-only\32-qwen2_5_7b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_184140\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:7b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : whisper
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.205 (245/1198 words); strata: clean 65, mild 39, severe 16
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_184140.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.00	  FAIL	    80	    13	   44.0	  0.77	   0.77	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.00	  FAIL	    90	    12	   18.4	  0.30	   0.30	    8577	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.20	  FAIL	    90	    20	   61.3	  0.25	   0.46	    8414	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.00	  FAIL	    90	    11	   41.9	  0.40	   0.40	    8886	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    90	    12	   95.0	  0.74	   0.74	    8536	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.00	  PASS	   100	     3	   91.0	  0.00	   0.00	    8330	     -	     -	     -	     -	    yes
00045     	unspecified               	  0.00	  PASS	   100	    11	   70.5	  0.38	   0.38	    7992	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  FAIL	    90	     9	    9.7	  0.40	   0.40	    7848	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.22	  FAIL	    89	     7	  -17.8	  0.24	   0.24	   10546	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.00	  FAIL	    90	    12	   74.8	  0.25	   0.25	    8215	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    89	     7	   30.5	  0.23	   0.00	   11344	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    16	   77.1	  0.64	   0.00	   10372	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    90	    10	   36.0	  1.00	   1.00	    7500	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  PASS	   100	    18	   19.1	  0.60	   0.60	    7989	     -	     -	     -	     -	    yes
00088     	unspecified               	  0.00	  FAIL	    90	     9	   28.5	  1.00	   1.00	    7398	     -	     -	     -	     -	     NO
