item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,Certainly. The campus TV station is called BUTV eleven. It broadcasts student produced content and offers opportunities to get involved with media production. Would you like to know how to find their schedule or contact them?,WYBC Yale Radio,True,False,False,0.8,0.8,at_most_two_detail_sentences;total_sentences_at_most_three,at_most_two_detail_sentences;total_sentences_at_most_three,36,4,225,9.0,1,48,14.4,61.4,6.93,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.6341,0.1579,0.7803,0.1461,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: at_most_two_detail_sentences, total_sentences_at_most_three",,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,"That’s an interesting question. The Bureau of Air Commerce, active from nineteen thirty-four to nineteen thirty-eight, worked to regulate air travel and improve safety after a series of accidents led to public concern and demand for federal oversight. It was later succeeded by the Civil Aeronautics Authority and then the Federal Aviation Administration as aviation grew more complex.","maps, blackboards, and mental calculations",True,True,True,1.0,1.0,,,60,3,385,20.0,4,80,24.0,30.03,14.04,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.3373,0.0526,0.3373,0.0,0.0333,0.0,0.0,5.0,0.2,0.0392,"{'years': [], 'quantities': [], 'name_spans': ['Air Commerce', 'Civil Aeronautics Authority', 'Federal Aviation Administration'], 'atom_count': 3}",,,True,,7142.0,11478.0,2529.0,224.0,651.0,2481.0,2257.0,7207.0,1150.0,3742.0,106.0,939.0,4.0,70.0,316.0,27.7,1.0,1862.0,20863.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,"Yes, that’s an interesting question. It seems you are asking what property Onoto Watanna owned when she was a child – I believe you mean the land her mother inherited in California. She received this land as a gift from her mother around eighteen ninety three, and it became quite valuable due to oil discoveries there later on.",salon,False,True,True,1.0,1.0,,,57,3,328,19.0,5,76,22.8,56.94,10.04,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.4434,0.0938,0.5043,0.0609,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Onoto Watanna'], 'atom_count': 1}",,,True,,6840.0,10627.0,2371.0,288.0,652.0,2561.0,2273.0,6924.0,1086.0,3773.0,123.0,824.0,5.0,68.0,317.0,28.7,1.0,2168.0,18494.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,"That would be political pluralism. For much of its history, China has generally favored centralized imperial rule over diverse political systems. I am not an expert on Chinese history if you'd like more detail though.",theology,True,True,True,1.0,1.0,,,35,3,217,11.666666666666666,5,47,14.0,42.71,10.2,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.1769,0.0526,0.0,-0.1769,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7430.0,10341.0,1560.0,227.0,645.0,2409.0,2182.0,7500.0,-618.0,1960.0,166.0,667.0,3.0,43.0,313.0,27.6,1.0,390.0,12167.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,"The Great Famine lasted from eighteen forty five to eighteen forty nine. It mainly affected Ireland, causing widespread starvation and disease. Would you like to know more about its causes or effects?",1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,32,3,200,10.666666666666666,12,43,12.8,66.46,6.64,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7506,0.1111,0.7506,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The Great Famine'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,7212.0,8132.0,1402.0,465.0,650.0,2761.0,2296.0,7246.0,1024.0,4020.0,230.0,613.0,3.0,38.0,311.0,27.1,1.0,3916.0,10553.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"That’s an interesting question. Combining tampering with brass or bronze can create dezincification, where zinc is selectively leached from the alloy. This leaves a weaker and more porous structure behind.",hardness,False,True,True,1.0,1.0,,,30,3,205,10.0,4,40,12.0,50.05,8.76,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.8382,0.2941,0.6919,-0.1463,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7119.0,8912.0,1396.0,227.0,674.0,2389.0,2162.0,7190.0,783.0,3303.0,126.0,580.0,3.0,40.0,314.0,28.7,1.0,2671.0,10855.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,"Yes, that is true. Different cultures often have unique common names for the same plant species, sometimes reflecting local uses or beliefs. It can make identifying plants across regions quite challenging.",single world-wide name,False,True,True,1.0,1.0,,,31,3,205,10.333333333333334,4,41,12.4,54.44,8.23,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.5932,0.1905,0.585,-0.0082,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6620.0,9294.0,1357.0,186.0,652.0,2442.0,2256.0,6727.0,-2769.0,-242.0,81.0,582.0,3.0,37.0,313.0,27.3,1.0,-1668.0,11424.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,"Houston sees about ten tornadoes yearly. This is actually higher than many other cities, but they are often relatively weak and cause minimal damage. I can find more details if you'd like.",49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,32,3,188,10.666666666666666,6,43,12.8,58.53,7.75,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.5641,0.1667,0.5641,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6422.0,9493.0,1396.0,221.0,651.0,2510.0,2289.0,6496.0,885.0,3554.0,154.0,517.0,3.0,39.0,314.0,27.9,1.0,1590.0,9972.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,"Here's some information about that. She is referring to Lady Gaga singing at Barack Obama’s first presidential inauguration in January of two thousand and nine, where she performed the Star-Spangled Banner. It was a highly discussed moment because of her unique style and performance.",America the Beautiful,False,True,True,1.0,1.0,,,45,3,284,15.0,5,60,18.0,44.97,10.71,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.6438,0.1923,0.7436,0.0998,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Barack Obama', 'Lady Gaga', 'Spangled Banner'], 'atom_count': 3}",,,True,,9209.0,11598.0,1974.0,263.0,667.0,2470.0,2207.0,9279.0,1161.0,3767.0,131.0,764.0,4.0,56.0,315.0,28.4,1.0,3129.0,15650.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,"That is an interesting question. You are asking about a concept that developed during Margaret Thatcher’s time after she left office as Prime Minister, and that was known as “Thatcherism”. It describes her political and economic policies – privatisation, reduced trade union power, and free market economics – which continued to be discussed and debated for many years afterward.",doctrine of cabinet solidarity,False,True,True,1.0,1.0,,,57,3,379,19.0,5,76,22.8,34.68,13.14,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.3278,0.0882,0.4681,0.1402,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Margaret Thatcher', 'Prime Minister'], 'atom_count': 2}",,,True,,6910.0,11132.0,2465.0,190.0,659.0,2507.0,2317.0,6975.0,944.0,3568.0,114.0,881.0,5.0,71.0,315.0,28.8,1.0,1630.0,21176.0
