baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.0667,0.0917,0.025,-0.025,0.0833,7,4,109,,n/a,0.549,1.0,False,,,"McNemar, exact binomial",11,no detected change
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.0667,0.0917,0.025,-0.025,0.0833,7,4,109,,n/a,0.549,1.0,False,,,"McNemar, exact binomial",11,no detected change
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.8914,0.8992,0.0078,-0.0024,0.0183,20,14,86,0.0547,negligible,0.267,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",34,equivalent
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.8914,0.8992,0.0078,-0.0024,0.0183,20,14,86,0.0547,negligible,0.267,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",34,equivalent
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.4965,0.558,0.0615,-0.0023,0.1212,61,45,14,0.1176,negligible,0.0316,0.19,False,False,0.02,"Wilcoxon signed-rank, normal approximation",106,no detected change
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.3936,0.4719,0.0784,0.0229,0.1293,56,32,32,0.1341,negligible,0.00215,0.0215,True,False,0.02,"Wilcoxon signed-rank, normal approximation",88,improved
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.3948,0.4045,0.0097,-0.0425,0.063,42,55,23,0.0476,negligible,0.531,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",97,no detected change
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.0333,0.05,0.0167,-0.0167,0.0502,3,1,116,,n/a,0.625,1.0,False,,,"McNemar, exact binomial",4,no detected change
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0083,0.0083,0.0,0.025,1,0,119,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0454,0.0749,0.0296,0.0098,0.0514,29,10,81,0.1017,negligible,0.00354,0.0283,True,False,0.02,"Wilcoxon signed-rank, normal approximation",39,improved
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1116,0.1585,0.0469,0.0074,0.0893,19,6,95,0.0927,negligible,0.0272,0.19,False,False,0.02,"Wilcoxon signed-rank, normal approximation",25,no detected change
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0459,0.0789,0.033,0.0123,0.0565,29,10,81,0.103,negligible,0.0024,0.0216,True,False,0.02,"Wilcoxon signed-rank, normal approximation",39,improved
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,flesch_reading_ease,reading ease,response,higher,120,54.0216,52.2034,-1.8182,-9.4203,6.8886,45,59,16,-0.1141,negligible,0.0706,0.353,False,False,2.0,"Wilcoxon signed-rank, normal approximation",104,no detected change
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,flesch_kincaid_grade,grade level,response,lower,120,8.4334,8.6932,0.2597,-1.0206,1.3804,46,58,16,0.1126,negligible,0.0972,0.389,False,False,0.5,"Wilcoxon signed-rank, normal approximation",104,no detected change
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,word_count,words,response,descriptive,120,12.6667,11.3667,-1.3,-3.0585,0.2083,0,0,120,-0.0676,negligible,0.349,,False,,,"Wilcoxon signed-rank, normal approximation",99,descriptive
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,sentence_count,sentences,response,descriptive,120,1.1333,1.0333,-0.1,-0.1833,-0.025,0,0,120,-0.0911,negligible,0.0225,,False,,,"Wilcoxon signed-rank, normal approximation",17,descriptive
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,opening_words,opening sentence length,response,descriptive,120,11.15,10.9167,-0.2333,-1.1917,0.75,0,0,120,-0.0403,negligible,0.753,,False,,,"Wilcoxon signed-rank, normal approximation",98,descriptive
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,mean_words_per_sentence,words per sentence,response,descriptive,120,10.9028,10.9278,0.025,-0.8599,0.9459,0,0,120,-0.0112,negligible,0.793,,False,,,"Wilcoxon signed-rank, normal approximation",99,descriptive
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,estimated_tokens,estimated tokens,response,descriptive,120,16.8917,15.2417,-1.65,-3.9667,0.3421,0,0,120,-0.063,negligible,0.415,,False,,,"Wilcoxon signed-rank, normal approximation",100,descriptive
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,5.0667,4.5467,-0.52,-1.2234,0.0833,0,0,120,-0.0676,negligible,0.389,,False,,,"Wilcoxon signed-rank, normal approximation",99,descriptive
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,26.2017,25.6555,-0.5462,-1.2605,0.1429,52,39,28,-0.1076,negligible,0.13,0.521,False,True,5.0,"Wilcoxon signed-rank, normal approximation",91,equivalent
11 qwen2.5:1.5b-q4_K_M t0,30 qwen2.5:1.5b-q4_K_M t0,lat_llm_ttft,time to first token (ms),runtime,lower,119,765.6387,695.084,-70.5546,-80.1975,-60.9819,109,10,0,-0.8224,large,2.48e-19,1.73e-18,True,False,50.0,"Wilcoxon signed-rank, normal approximation",119,improved
