baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.7,0.6417,-0.0583,-0.15,0.0335,15,22,83,,n/a,0.324,1.0,False,,,"McNemar, chi-square with continuity correction",37,no detected change
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.7,0.6417,-0.0583,-0.15,0.0335,15,22,83,,n/a,0.324,1.0,False,,,"McNemar, chi-square with continuity correction",37,no detected change
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9681,0.9625,-0.0056,-0.0164,0.0053,19,23,78,-0.0462,negligible,0.311,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",42,equivalent
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9681,0.9625,-0.0056,-0.0164,0.0053,19,23,78,-0.0462,negligible,0.311,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",42,equivalent
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.4608,0.4639,0.0031,-0.057,0.0693,51,61,8,0.0049,negligible,0.808,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",112,no detected change
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.3976,0.3664,-0.0312,-0.0925,0.0342,41,55,24,-0.0526,negligible,0.244,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",96,no detected change
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.254,0.1321,-0.122,-0.1545,-0.0922,90,25,5,-0.4367,medium,4.15e-11,4.15e-10,True,False,0.02,"Wilcoxon signed-rank, normal approximation",115,improved
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.1083,0.0917,-0.0167,-0.075,0.0417,6,8,106,,n/a,0.791,1.0,False,,,"McNemar, exact binomial",14,no detected change
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0083,0.0,-0.0083,-0.025,0.0,0,1,119,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0778,0.0364,-0.0414,-0.0664,-0.0201,22,43,55,-0.0767,negligible,0.000944,0.00755,True,False,0.02,"Wilcoxon signed-rank, normal approximation",65,degraded
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.2215,0.2174,-0.0041,-0.0701,0.0619,25,21,74,0.0183,negligible,0.948,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",46,no detected change
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0823,0.039,-0.0433,-0.0696,-0.0208,20,45,55,-0.0764,negligible,0.00116,0.00814,True,False,0.02,"Wilcoxon signed-rank, normal approximation",65,degraded
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,flesch_reading_ease,reading ease,response,higher,120,56.5312,51.7503,-4.7809,-9.3331,-0.4331,51,69,0,-0.1187,negligible,0.0257,0.154,False,False,2.0,"Wilcoxon signed-rank, normal approximation",120,no detected change
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,flesch_kincaid_grade,grade level,response,lower,120,7.4524,9.1068,1.6544,1.0465,2.2936,39,80,1,0.2794,small,2.96e-06,2.66e-05,True,False,0.5,"Wilcoxon signed-rank, normal approximation",119,degraded
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,word_count,words,response,descriptive,120,17.6667,36.8667,19.2,17.6165,20.9,0,0,120,0.9607,large,2.82e-21,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,sentence_count,sentences,response,descriptive,120,2.125,2.9917,0.8667,0.7583,0.9833,0,0,120,0.7538,large,5.8e-19,,False,,,"Wilcoxon signed-rank, normal approximation",92,descriptive
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,opening_words,opening sentence length,response,descriptive,120,5.0083,5.6833,0.675,0.1417,1.2083,0,0,120,0.2105,small,0.00219,,False,,,"Wilcoxon signed-rank, normal approximation",89,descriptive
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,mean_words_per_sentence,words per sentence,response,descriptive,120,8.3639,12.3403,3.9764,3.3777,4.5611,0,0,120,0.7574,large,3.55e-18,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,estimated_tokens,estimated tokens,response,descriptive,120,23.6167,49.15,25.5333,23.4167,27.8085,0,0,120,0.9607,large,2.85e-21,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
36 qwen2.5:32b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,7.0667,14.7467,7.68,7.0466,8.36,0,0,120,0.9607,large,2.88e-21,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
