item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,It's unclear which campus TV station you're asking about. Could you please specify the university or college?,WYBC Yale Radio,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,17,2,109,8.5,9,23,6.8,53.89,7.85,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.6303,0.3333,0.7826,0.1523,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,It ensured flight safety. The Bureau helped prevent accidents and improve aviation standards.,"maps, blackboards, and mental calculations",True,True,True,1.0,1.0,,,13,2,93,6.5,4,17,5.2,37.55,9.64,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.1683,0.1,0.1683,0.0,0.1176,0.0,0.0,5.0,0.2,0.1271,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7142.0,7983.0,587.0,202.0,107.0,1002.0,800.0,7204.0,1145.0,2269.0,118.0,316.0,2.0,16.0,327.0,27.2,1.0,1862.0,5375.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,Clarify your question please.,salon,False,True,True,1.0,1.0,,,4,1,29,4.0,4,5,1.6,54.73,6.62,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6840.0,6938.0,240.0,203.0,105.0,921.0,718.0,6921.0,1090.0,2138.0,123.0,123.0,1.0,7.0,328.0,29.1,1.0,2168.0,1834.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,"China developed many subjects. However, some argue that political pluralism was less developed.",theology,True,True,True,1.0,1.0,,,13,2,95,6.5,4,17,5.2,18.02,12.36,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.513,0.4444,0.3915,-0.1215,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7430.0,8047.0,652.0,201.0,88.0,1017.0,816.0,7522.0,-621.0,527.0,129.0,317.0,2.0,18.0,324.0,27.6,1.0,390.0,5630.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,"It occurred from 1932 to 1933. The Great Famine, also known as the Holodomor, primarily affected Ukraine under Stalin's rule.",1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,20,2,125,10.0,6,27,8.0,61.33,7.19,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7322,0.1538,0.7322,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['1932', '1933'], 'quantities': [], 'name_spans': ['The Great Famine'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,7212.0,7284.0,1357.0,581.0,85.0,1318.0,737.0,7267.0,1019.0,2546.0,204.0,462.0,2.0,37.0,322.0,27.3,1.0,3916.0,9183.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"No, it doesn't tamper. Combining metals like brass or bronze doesn't alter their fundamental properties.",hardness,False,True,True,1.0,1.0,,,15,2,104,7.5,4,20,6.0,58.22,7.0,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.6638,0.4,0.5126,-0.1512,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7119.0,7219.0,831.0,316.0,102.0,1136.0,820.0,7202.0,784.0,2047.0,122.0,368.0,2.0,23.0,326.0,27.6,1.0,2671.0,6397.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,That's correct. Different cultures and languages often have unique names for the same plant based on their own histories and uses of those plants.,single world-wide name,False,True,True,1.0,1.0,,,24,2,146,12.0,2,32,9.6,74.81,5.81,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.5549,0.2857,0.5841,0.0292,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6620.0,7642.0,1046.0,124.0,104.0,927.0,803.0,6717.0,-2770.0,-1742.0,97.0,398.0,2.0,28.0,324.0,26.7,1.0,-1668.0,7720.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,"Houston sees few tornadoes. On average, Houston experiences less than one tornado per year. This can vary due to weather conditions.",49.,True,True,True,1.0,1.0,,,21,3,132,7.0,4,28,8.4,58.73,6.81,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7981,0.375,0.7981,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6422.0,7628.0,1010.0,246.0,104.0,1071.0,825.0,6493.0,885.0,2076.0,116.0,417.0,3.0,27.0,326.0,26.7,1.0,1590.0,7755.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,"She spoke at the inauguration. Inauguration was on May 29, 2009. She discussed new beginnings and unity.",America the Beautiful,False,True,True,1.0,1.0,,,17,3,104,5.666666666666667,5,23,6.8,61.74,6.06,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.1412,0.2222,0.4787,0.3374,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': ['29'], 'name_spans': [], 'atom_count': 2}",,,True,,9209.0,9292.0,1089.0,241.0,105.0,1112.0,871.0,9276.0,1151.0,2378.0,111.0,350.0,3.0,30.0,326.0,27.5,1.0,3129.0,6780.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,Concept formed after tenure. Some politicians develop new ideas or theories after leaving office. Did you have a specific person in mind?,doctrine of cabinet solidarity,False,True,True,1.0,1.0,,,22,3,137,7.333333333333333,4,29,8.8,53.26,7.65,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.2169,0.1333,0.2474,0.0305,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6910.0,8077.0,958.0,201.0,108.0,1027.0,826.0,6988.0,943.0,2115.0,140.0,464.0,3.0,26.0,326.0,27.1,1.0,1630.0,8057.0
