item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,"That's on my university's website. You can find it by visiting our institution's homepage and clicking on the student life section, then looking for the tab about media outlets or student activities.",WYBC Yale Radio,True,True,True,1.0,1.0,,,32,2,199,16.0,5,43,12.8,45.19,10.93,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,"The Bureau used to be responsible for air traffic control and safety regulations were issued by the Federal Aviation Administration, which is now an independent agency. Their main goal was to prevent collisions between aircraft.","maps, blackboards, and mental calculations",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,35,2,228,17.5,26,47,14.0,29.54,13.49,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.4706,0.1429,0.4706,0.0,0.0541,0.0,0.0,5.0,0.2,0.0622,"{'years': [], 'quantities': [], 'name_spans': ['Federal Aviation Administration'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,7142.0,8278.0,692.0,403.0,43.0,1252.0,849.0,7203.0,1147.0,2771.0,367.0,585.0,3.0,39.0,308.0,56.3,1.0,1862.0,12840.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,"It's unclear what you're asking, could you clarify who you're referring to?",salon,False,False,False,0.8,0.8,opener_at_most_five_words;opener_ends_with_full_stop,opener_at_most_five_words;opener_ends_with_full_stop,12,1,75,12.0,12,16,4.8,67.76,6.79,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_at_most_five_words, opener_ends_with_full_stop",6840.0,7075.0,317.0,301.0,41.0,1123.0,822.0,6937.0,1089.0,2394.0,177.0,177.0,1.0,18.0,309.0,56.7,1.0,2168.0,3900.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,"One subject was paper money. Paper money originated in China, but it wasn't widely used until much later with the introduction of the yuan in 1948.",theology,True,True,True,1.0,1.0,,,26,2,147,13.0,5,35,10.4,60.23,8.09,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.4759,0.1875,0.349,-0.1269,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': ['1948'], 'quantities': [], 'name_spans': [], 'atom_count': 1}",,,True,,7430.0,8173.0,596.0,127.0,42.0,943.0,816.0,7499.0,-619.0,492.0,164.0,493.0,2.0,33.0,305.0,55.4,1.0,390.0,8939.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,"The Great Famine occurred primarily between 1315 and 1322, although some historians argue that it may have lasted until 1327 in certain areas, particularly Ireland. It affected Europe, with severe crop failures due to weather conditions.",1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,36,2,237,18.0,25,48,14.4,49.92,10.77,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.74,0.08,0.74,0.0,0.0541,0.0,0.0,2.0,0.5,0.0644,"{'years': ['1315', '1322', '1327'], 'quantities': [], 'name_spans': ['The Great Famine'], 'atom_count': 4}",,,False,constraint violation: opener_at_most_five_words,7212.0,7276.0,844.0,542.0,39.0,1390.0,848.0,7263.0,1021.0,2954.0,538.0,766.0,3.0,49.0,303.0,58.0,1.0,3916.0,17925.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"Tampering with brass or bronze can weaken it. When combined, they often form brittle alloys that are prone to cracking and breaking under stress. However, this depends on the specific combination used.",hardness,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,32,3,201,10.666666666666666,8,43,12.8,63.82,7.01,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.6559,0.2105,0.5047,-0.1513,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7119.0,7179.0,698.0,194.0,44.0,1084.0,890.0,7164.0,783.0,2015.0,142.0,448.0,3.0,39.0,307.0,55.9,1.0,2671.0,11041.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,"Plants have many different names worldwide. This is because languages and cultures vary across different regions, resulting in multiple common names for the same plant species.",single world-wide name,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,26,2,176,13.0,6,35,10.4,50.47,9.45,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.6341,0.3333,0.5962,-0.0379,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6620.0,7263.0,572.0,161.0,43.0,987.0,826.0,6702.0,-2769.0,-1635.0,142.0,488.0,2.0,31.0,305.0,54.1,1.0,-1668.0,9740.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,"Houston typically gets one to two tornadoes annually. Tornado frequency varies greatly across Texas, and Houston's location in Southeast Texas makes it more susceptible to tropical storms than long-lived tornado outbreaks. According to records from the National Oceanic and Atmospheric Administration, on average, a single tornado touches down each year within the city limits of Houston itself.",49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,58,3,395,19.333333333333332,8,77,23.2,25.3,14.53,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.5618,0.186,0.5618,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Atmospheric Administration', 'National Oceanic', 'Southeast Texas'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,6422.0,8118.0,1225.0,171.0,44.0,1026.0,855.0,6496.0,885.0,2120.0,204.0,1060.0,5.0,71.0,307.0,57.9,1.0,1590.0,22627.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,"Barack Obama's inauguration occurred in 2009. He was sworn in as the 44th President of the United States on January twentieth, 2009, at the West Front of the United States Capitol.",America the Beautiful,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,32,2,180,16.0,6,43,12.8,68.98,7.61,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.1453,0.0526,0.4847,0.3394,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': [], 'name_spans': ['Barack Obama', 'United States', 'United States Capitol', 'West Front'], 'atom_count': 5}",,,False,constraint violation: opener_at_most_five_words,9209.0,9299.0,778.0,218.0,43.0,1081.0,863.0,9280.0,1151.0,2440.0,203.0,567.0,2.0,44.0,307.0,56.5,1.0,3129.0,11180.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,"You're referring to Nelson Mandela's presidency. He established the Truth and Reconciliation Commission, which helped take shape during his time in office after leaving his position as Prime Minister of South Africa before becoming President.",doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,35,2,242,17.5,6,47,14.0,29.54,13.49,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.3315,0.1111,0.4687,0.1372,0.0526,0.0,0.0,4.0,0.25,0.0614,"{'years': [], 'quantities': [], 'name_spans': ['Nelson Mandela', 'Prime Minister', 'Reconciliation Commission', 'South Africa'], 'atom_count': 4}",,,False,constraint violation: opener_at_most_five_words,6910.0,8202.0,722.0,150.0,39.0,1038.0,888.0,6979.0,945.0,2153.0,165.0,671.0,3.0,42.0,307.0,58.1,1.0,1630.0,13188.0
00057,unspecified,False,00057.wav,Which political party was James Callaghan a member of?,what body has stated that physicians can also dispense drugs under specific conditions,"Pharmaceutical bodies have stated this. In some countries, pharmacies and physician practices are allowed to dispense certain medications directly to patients after a consultation.",Labour,False,True,True,1.0,1.0,,,24,2,180,12.0,5,32,9.6,25.46,12.69,1.4444,1.2453,9.0,13.0,9.0,0.0,4.0,False,0.0,severe,0.3789,0.2,0.0,-0.3789,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,9998.0,10419.0,551.0,158.0,44.0,1037.0,879.0,10092.0,912.0,2091.0,137.0,519.0,3.0,31.0,310.0,56.2,1.0,2286.0,10007.0
00059,unspecified,False,00059.wav,What two architectural movements have come under criticism for their focus on individuality? ,since when was the rhine part of the aerial of hall shot culture,"I'm not sure what you mean by ""aerial of hall shot culture"". Could you please clarify which cultural event or location you are referring to?",Modernism and Postmodernism,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,25,2,140,12.5,12,33,10.0,72.32,6.28,1.0,0.7582,13.0,13.0,13.0,0.0,0.0,False,0.0,severe,0.5926,0.3333,0.0,-0.5926,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,8930.0,9616.0,563.0,280.0,43.0,1146.0,866.0,9012.0,1063.0,2389.0,177.0,421.0,2.0,31.0,310.0,55.0,1.0,2050.0,7732.0
00063,unspecified,False,00063.wav,When was Yale Divinity School established?,when was yale divinity school established,"Yale Divinity School was established in 1822. It is one of the oldest schools of theology in the United States, affiliated with Yale University since its founding. It offers graduate-level programs in various fields of theological study.",1822,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,38,3,237,12.666666666666666,7,51,15.2,49.27,9.53,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,1.0,clean,1.0,0.25,1.0,0.0,0.0541,1.0,0.0,1.0,1.0,0.0652,"{'years': ['1822'], 'quantities': [], 'name_spans': ['United States', 'Yale Divinity School', 'Yale University'], 'atom_count': 4}",,,False,constraint violation: opener_at_most_five_words,6193.0,7069.0,847.0,253.0,39.0,1155.0,902.0,6279.0,1304.0,2693.0,230.0,750.0,3.0,48.0,304.0,56.7,1.0,2481.0,15162.0
00072,unspecified,False,00072.wav,Did the insurgency lead to any economic changes in Burma ?,did the insurgency lead to any economic changes in burma,"Yes, some economic changes occurred. The insurgency led to a decline in tourism and investment, but also spurred growth in certain industries related to conflict resolution and humanitarian aid during that period.",an increase in economic sanctions against the Burmese Government.,False,True,True,1.0,1.0,,,32,2,213,16.0,5,43,12.8,37.26,12.04,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.586,0.1579,0.586,0.0,0.1081,0.0,0.0,7.0,0.2857,0.0609,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6283.0,7329.0,647.0,142.0,43.0,933.0,791.0,6367.0,1010.0,2079.0,133.0,607.0,3.0,37.0,307.0,57.1,1.0,1771.0,12329.0
00088,unspecified,False,00088.wav, How many students does the University of Texas have?,how many students doesn't the university of texas have,"I'm not sure about that request. Can you clarify what specific university you are referring to, as there may be multiple universities in Texas? However, I can tell you that The University of Texas at Austin has around one hundred thousand students.","40,000",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,42,3,248,14.0,6,56,16.8,47.6,10.1,0.1111,0.0392,9.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.7227,0.2632,1.0,0.2773,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6144.0,6850.0,884.0,146.0,43.0,1034.0,888.0,6197.0,665.0,1853.0,149.0,702.0,3.0,50.0,306.0,56.5,1.0,1984.0,13606.0
00089,unspecified,False,00089.wav,What company stated that Dell was preventing itself from innovating?,what company stated that del was preventing itself from innovating,"That's likely Wozniak. Steve Wozniak, co-founder of Apple, has mentioned in interviews that Dell was avoiding innovation by sticking to its traditional business model. He made this comment during a discussion about the tech industry and company strategies.",CNET,False,True,True,1.0,1.0,,,39,3,256,13.0,3,52,15.6,39.62,10.96,0.1,0.0149,10.0,1.0,1.0,0.0,0.0,False,0.8333,mild,0.1554,0.0417,0.3045,0.1491,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Steve Wozniak'], 'atom_count': 1}",,,True,,6863.0,7670.0,912.0,148.0,44.0,987.0,839.0,6968.0,977.0,2084.0,115.0,778.0,4.0,52.0,307.0,57.0,1.0,2319.0,13827.0
00093,unspecified,False,00093.wav,What decoy city was hit ,white de quoi city with hit,You're looking for information about a city. Could you please clarify which white city you're referring to?,"The Chew Magna decoy town was hit by half-a-dozen bombs on 2 December 1940, and over a thousand incendiaries on 3 January 1941",False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,17,2,107,8.5,7,23,6.8,58.87,7.16,0.8,0.3913,5.0,4.0,3.0,0.0,1.0,False,0.6667,severe,0.3592,0.3333,0.2953,-0.0639,0.0,0.0,0.0,22.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,4518.0,5330.0,413.0,170.0,42.0,1120.0,950.0,4606.0,1198.0,2455.0,131.0,275.0,2.0,23.0,302.0,55.6,1.0,1894.0,5108.0
00100,unspecified,False,00100.wav,What was Xbox Live Free renamed as?,what was x box live free renamed does,Xbox Live Free is now called Xbox Live Gold Free Trial. It's a trial period allowing users to experience some features of Xbox Live Gold membership without paying a subscription fee during the promotional period.,Xbox Live Silver,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,35,2,212,17.5,11,47,14.0,60.96,9.1,0.4286,0.1176,7.0,3.0,2.0,0.0,1.0,False,0.75,severe,0.471,0.1852,0.7292,0.2582,0.1143,0.0,0.0,3.0,0.6667,0.1344,"{'years': [], 'quantities': [], 'name_spans': ['Xbox Live Free', 'Xbox Live Gold', 'Xbox Live Gold Free Trial'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,6190.0,6751.0,672.0,219.0,34.0,1080.0,861.0,6267.0,1047.0,2355.0,223.0,643.0,3.0,40.0,304.0,59.5,1.0,2414.0,12805.0
00113,unspecified,False,00113.wav,Which king of Prussia saw himself as the leader of the Enlightenment?,which king of prussia saw himself as a leader of the enlightenment,"Frederick the Great was known for his Enlightenment views, and he ruled Prussia from 1740 to 1786.",Frederick the Great,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,17,1,98,17.0,17,23,6.8,85.07,5.62,0.0833,0.0441,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.3248,0.2,0.3248,0.0,0.2222,1.0,0.0,2.0,1.0,0.2585,"{'years': ['1740', '1786'], 'quantities': [], 'name_spans': [], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,7212.0,7914.0,476.0,482.0,41.0,1446.0,964.0,7279.0,1028.0,2900.0,421.0,421.0,1.0,27.0,309.0,56.6,1.0,2220.0,7952.0
