baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
36 qwen2.5:32b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.7,0.1417,-0.5583,-0.65,-0.4667,3,70,47,,n/a,1.12e-14,1.79e-13,True,,,"McNemar, chi-square with continuity correction",73,degraded
36 qwen2.5:32b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.7,0.1417,-0.5583,-0.65,-0.4667,3,70,47,,n/a,1.12e-14,1.79e-13,True,,,"McNemar, chi-square with continuity correction",73,degraded
36 qwen2.5:32b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9681,0.9018,-0.0663,-0.0782,-0.054,8,77,35,-0.5979,large,9.82e-14,1.37e-12,True,False,0.02,"Wilcoxon signed-rank, normal approximation",85,degraded
36 qwen2.5:32b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9681,0.9018,-0.0663,-0.0782,-0.054,8,77,35,-0.5979,large,9.82e-14,1.37e-12,True,False,0.02,"Wilcoxon signed-rank, normal approximation",85,degraded
36 qwen2.5:32b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.4608,0.4383,-0.0225,-0.094,0.0471,47,58,15,-0.0564,negligible,0.525,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",105,no detected change
36 qwen2.5:32b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.3976,0.3656,-0.032,-0.0984,0.0313,38,51,31,-0.0683,negligible,0.278,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",89,no detected change
36 qwen2.5:32b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.254,0.329,0.075,0.0276,0.1214,38,74,8,0.1841,small,0.00308,0.0308,True,False,0.02,"Wilcoxon signed-rank, normal approximation",112,degraded
36 qwen2.5:32b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.1083,0.0667,-0.0417,-0.1,0.0083,3,8,109,,n/a,0.227,1.0,False,,,"McNemar, exact binomial",11,no detected change
36 qwen2.5:32b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0083,0.0,-0.0083,-0.025,0.0,0,1,119,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
36 qwen2.5:32b-q4_K_M t0,32 qwen2.5:7b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0778,0.0666,-0.0112,-0.0356,0.0123,24,29,67,-0.1059,negligible,0.415,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",53,no detected change
