baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
10 llama3.1:8b-fp16 t0.7/s42,08 llama3.1:8b-q8_0 t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.1417,0.15,0.0083,-0.0417,0.0667,6,5,109,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",11,no detected change
10 llama3.1:8b-fp16 t0.7/s42,08 llama3.1:8b-q8_0 t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.1417,0.15,0.0083,-0.0417,0.0667,6,5,109,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",11,no detected change
10 llama3.1:8b-fp16 t0.7/s42,08 llama3.1:8b-q8_0 t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9033,0.9083,0.005,-0.0033,0.0133,10,7,103,0.0236,negligible,0.233,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",17,equivalent
10 llama3.1:8b-fp16 t0.7/s42,08 llama3.1:8b-q8_0 t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.905,0.9083,0.0033,-0.0042,0.0108,9,7,104,0.016,negligible,0.4,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",16,equivalent
10 llama3.1:8b-fp16 t0.7/s42,08 llama3.1:8b-q8_0 t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.4854,0.4864,0.001,-0.0273,0.0292,51,44,25,-0.006,negligible,0.62,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",95,no detected change
10 llama3.1:8b-fp16 t0.7/s42,08 llama3.1:8b-q8_0 t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.3928,0.3913,-0.0015,-0.024,0.022,43,30,47,-0.0015,negligible,0.475,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",73,no detected change
10 llama3.1:8b-fp16 t0.7/s42,08 llama3.1:8b-q8_0 t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.1769,0.1677,-0.0092,-0.0241,0.0067,54,44,22,-0.0512,negligible,0.273,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",98,no detected change
10 llama3.1:8b-fp16 t0.7/s42,08 llama3.1:8b-q8_0 t0.7/s42,answer_presence,reference answer present,response,higher,120,0.0917,0.0583,-0.0333,-0.0833,0.0083,2,6,112,,n/a,0.289,1.0,False,,,"McNemar, exact binomial",8,no detected change
10 llama3.1:8b-fp16 t0.7/s42,08 llama3.1:8b-q8_0 t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
10 llama3.1:8b-fp16 t0.7/s42,08 llama3.1:8b-q8_0 t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0317,0.0268,-0.0049,-0.0109,0.0007,15,26,79,-0.0328,negligible,0.12,0.959,False,True,0.02,"Wilcoxon signed-rank, normal approximation",41,equivalent
