item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,I'm not aware of that information. Can you please tell me which university's campus TV station you are referring to?,WYBC Yale Radio,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,20,2,116,10.0,6,27,8.0,61.33,7.19,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.634,0.375,0.7826,0.1486,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,"Air traffic control was responsible for that. It's a service provided by air traffic controllers who guide planes through takeoff, landing, and flight routes to prevent collisions and ensure safe travel. That role is now typically handled by air traffic control towers or centers at airports and in regional airspace.","maps, blackboards, and mental calculations",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,50,3,317,16.666666666666668,7,66,20.0,56.25,9.55,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.5054,0.0909,0.5054,0.0,0.037,0.0,0.0,5.0,0.2,0.0434,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7142.0,8982.0,1393.0,204.0,44.0,1162.0,958.0,7206.0,1145.0,2457.0,145.0,740.0,4.0,59.0,308.0,42.3,1.0,1862.0,17229.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,"I'm not sure what you're asking, but it sounds like a story. Can you clarify who ""on"" is?",salon,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,18,2,89,9.0,12,24,7.2,94.3,2.34,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6840.0,7299.0,633.0,395.0,47.0,1233.0,838.0,6923.0,1086.0,2495.0,171.0,254.0,2.0,26.0,309.0,41.1,1.0,2168.0,4829.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,"Agriculture with metal tools. China is known to have used bronze tools as early as 2000 BC, and later iron tools from around 600 BC.",theology,True,True,True,1.0,1.0,,,25,2,132,12.5,4,33,10.0,85.86,4.39,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.1839,0.0588,0.0,-0.1839,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': ['2000'], 'quantities': ['600'], 'name_spans': [], 'atom_count': 2}",,,True,,7430.0,8503.0,824.0,184.0,104.0,1093.0,909.0,7500.0,-619.0,616.0,138.0,500.0,2.0,34.0,305.0,41.2,1.0,390.0,9055.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,"The Great Famine occurred in Ireland from 1845 to 1852. It's also known as the Irish Potato Famine, caused by potato blight and other factors.",1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,25,2,142,12.5,10,33,10.0,72.32,6.28,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7353,0.2,0.7353,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['1845', '1852'], 'quantities': [], 'name_spans': ['Irish Potato Famine', 'The Great Famine'], 'atom_count': 4}",,,False,constraint violation: opener_at_most_five_words,7212.0,7281.0,914.0,411.0,106.0,1329.0,918.0,7264.0,1021.0,2680.0,326.0,537.0,2.0,37.0,303.0,40.5,1.0,3916.0,10762.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"Combining brass and bronze creates an alloy called gunmetal. Gunmetal is a strong, corrosion-resistant material often used in marine hardware and other applications where durability is important. It's also known for its attractive appearance.",hardness,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,35,3,242,11.666666666666666,9,47,14.0,35.46,11.21,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.4781,0.1304,0.5047,0.0265,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7119.0,7335.0,1040.0,303.0,45.0,1152.0,849.0,7168.0,783.0,2135.0,195.0,620.0,3.0,44.0,307.0,42.3,1.0,2671.0,13641.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,"Yes, that's true. Different cultures have their own unique names for various plant species. This can sometimes lead to confusion when communicating about plants across languages and regions.",single world-wide name,False,True,True,1.0,1.0,,,28,3,190,9.333333333333334,3,37,11.2,52.33,8.28,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.6246,0.2353,0.5891,-0.0355,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6620.0,7405.0,820.0,145.0,47.0,985.0,840.0,6715.0,-2770.0,-1681.0,99.0,595.0,3.0,34.0,305.0,41.4,1.0,-1668.0,11145.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,"Houston typically gets about one to two tornadoes annually. Tornado frequency can vary greatly from year to year, but on average, Houston experiences relatively few tornadoes compared to other parts of the United States.",49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,34,2,220,17.0,9,45,13.6,32.82,12.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.5542,0.2917,0.5542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['United States'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6422.0,8029.0,1026.0,255.0,47.0,1203.0,948.0,6501.0,890.0,2328.0,231.0,669.0,3.0,43.0,307.0,41.9,1.0,1590.0,12678.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,"Barack Obama's inauguration was in 2009. He took office on January twentieth, nineteen hundred and nine is incorrect, it was actually twenty ninth of January two thousand and nine.",America the Beautiful,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,29,2,180,14.5,6,39,11.6,49.17,10.0,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.5235,0.2632,0.4873,-0.0362,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': [], 'name_spans': ['Barack Obama'], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,9209.0,9394.0,901.0,289.0,46.0,1225.0,936.0,9280.0,1150.0,2567.0,187.0,524.0,2.0,38.0,307.0,42.1,1.0,3129.0,10808.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,"India's partition plan formed during that time period, also known as the Cabinet Mission Plan, was finalized in 1946, just before India gained independence from British rule. This plan proposed a federal structure for India with autonomy for provinces and a weak central government. It was later superseded by the Mountbatten Plan.",doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,52,3,331,17.333333333333332,27,69,20.8,49.33,10.69,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.0,0.0,0.0941,0.0941,0.0385,0.0,0.0,4.0,0.25,0.0454,"{'years': ['1946'], 'quantities': [], 'name_spans': ['Cabinet Mission Plan', 'Mountbatten Plan'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,6910.0,8724.0,1549.0,703.0,46.0,1537.0,834.0,6972.0,943.0,2950.0,465.0,890.0,4.0,65.0,307.0,42.0,1.0,1630.0,20781.0
