====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:55
Run label              : 16 qwen2.5:7b-q4_K_M t0.7/s42
Transcripts            : ..\results\text-only\16-qwen2_5_7b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_151945\transcripts.yaml
Run directory          : ..\results\text-only\16-qwen2_5_7b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_151945
System prompt          : ..\results\text-only\16-qwen2_5_7b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_151945\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:7b-instruct-q4_K_M
  llm_temperature     : 0.7
  llm_seed            : 42
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_151945.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    80	    14	   65.7	  0.63	   0.78	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  FAIL	    90	    10	   19.0	  0.67	   0.67	    7676	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    90	    15	   75.1	  0.00	   0.00	    7038	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  PASS	   100	    22	   30.2	  0.48	   0.36	    7831	     -	     -	     -	     -	    yes
00032     	unspecified               	  0.00	  FAIL	    90	    12	   95.0	  0.74	   0.74	    7284	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  FAIL	    90	     8	   61.2	  0.48	   0.51	    7206	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  FAIL	    90	     8	   50.7	  0.84	   0.77	    6719	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  FAIL	    90	    10	   52.9	  0.79	   0.79	    6877	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    80	    10	   69.8	  0.00	   0.00	    9295	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    90	    17	   91.6	  0.10	   0.10	    7453	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    20	   40.2	  0.62	   0.00	   10067	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    80	    14	   77.8	  0.57	   0.00	    9245	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    90	    10	   36.0	  1.00	   1.00	    6269	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  PASS	   100	    18	   19.1	  0.60	   0.60	    6910	     -	     -	     -	     -	    yes
00088     	unspecified               	  0.11	  FAIL	    90	    16	   53.1	  0.75	   1.00	    6203	     -	     -	     -	     -	     NO
00089     	unspecified               	  0.10	  FAIL	    90	    10	   44.4	  0.83	   0.68	    6964	     -	     -	     -	     -	     NO
00093     	unspecified               	  0.80	  FAIL	    80	    10	   61.3	  0.18	   0.31	    5038	     -	     -	     -	     -	     NO
00100     	unspecified               	  0.43	  FAIL	    90	     8	   82.4	  0.24	   0.49	    6296	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.08	  FAIL	    90	    10	   52.9	  0.66	   0.66	    7289	     -	     -	     -	     -	     NO
00118     	unspecified               	  0.27	  FAIL	    90	    20	   61.3	  0.84	   0.54	    7721	     -	     -	     -	     -	     NO
00124     	unspecified               	  0.11	  FAIL	    90	    13	   37.5	  0.00	   0.00	    6358	     -	     -	     -	     -	     NO
00130     	unspecified               	  3.60	  FAIL	    90	    35	   95.9	  1.00	   0.00	    9445	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.35	  FAIL	    90	    28	   59.7	  0.36	   0.42	    7463	     -	     -	     -	     -	     NO
00170     	unspecified               	  0.33	  FAIL	    80	    10	   69.8	  0.00	   0.00	    6947	     -	     -	     -	     -	     NO
00178     	unspecified               	  0.11	  FAIL	    90	     9	   66.1	  0.13	   0.13	    7907	     -	     -	     -	     -	     NO
00181     	unspecified               	  0.07	  FAIL	    90	    18	   66.1	  0.20	   0.40	   10426	     -	     -	     -	     -	     NO
00197     	unspecified               	  0.17	  FAIL	    90	    27	   51.0	  0.31	   0.20	   10244	     -	     -	     -	     -	     NO
00201     	unspecified               	  0.42	  FAIL	    90	    25	   52.9	  0.15	   0.00	    7707	     -	     -	     -	     -	     NO
00206     	unspecified               	  0.20	  FAIL	    90	    21	   67.3	  0.00	   0.00	    5452	     -	     -	     -	     -	     NO
00208     	unspecified               	  0.33	  FAIL	    90	    14	   59.7	  0.58	   0.50	    6737	     -	     -	     -	     -	     NO
00211     	unspecified               	  0.08	  FAIL	    90	    34	   46.0	  0.38	   0.38	   10371	     -	     -	     -	     -	     NO
00233     	unspecified               	  0.12	  FAIL	    80	    14	   59.7	  1.00	   1.00	    5862	     -	     -	     -	     -	     NO
00236     	unspecified               	  0.14	  FAIL	    90	    14	   72.8	  0.00	   0.00	    8276	     -	     -	     -	     -	     NO
00244     	unspecified               	  0.00	  FAIL	    90	     9	   56.7	  0.27	   0.27	    7740	     -	     -	     -	     -	     NO
00245     	unspecified               	  0.22	  FAIL	    80	    10	   69.8	  0.15	   0.15	    6559	     -	     -	     -	     -	     NO
00259     	unspecified               	  0.00	  FAIL	    80	    14	   47.6	  1.00	   1.00	    6722	     -	     -	     -	     -	     NO
00261     	unspecified               	  0.15	  FAIL	    80	    13	   89.5	  1.00	   0.83	    7011	     -	     -	     -	     -	     NO
00266     	unspecified               	  0.29	  FAIL	    90	    19	   54.7	  0.00	   0.00	   11233	     -	     -	     -	     -	     NO
00267     	unspecified               	  0.29	  FAIL	    80	    11	   64.9	  0.35	   0.00	    6138	     -	     -	     -	     -	     NO
00271     	unspecified               	  0.33	  FAIL	    90	    20	   69.8	  0.41	   0.33	    8345	     -	     -	     -	     -	     NO
00290     	unspecified               	  0.33	  PASS	   100	    12	   80.9	  0.29	   0.30	    5422	     -	     -	     -	     -	    yes
00298     	unspecified               	  0.00	  FAIL	    89	     7	   54.7	  1.00	   1.00	    5822	     -	     -	     -	     -	     NO
00305     	unspecified               	  0.92	  FAIL	    90	    10	   69.8	  0.76	   0.00	    7334	     -	     -	     -	     -	     NO
00311     	unspecified               	  0.69	  FAIL	    90	    28	   74.8	  0.68	   0.47	    9683	     -	     -	     -	     -	     NO
00325     	unspecified               	  0.10	  FAIL	    80	     9	   75.5	  0.00	   0.00	    8210	     -	     -	     -	     -	     NO
00326     	unspecified               	  0.42	  FAIL	    80	    11	   57.2	  0.00	   0.00	    9259	     -	     -	     -	     -	     NO
00327     	unspecified               	  0.25	  FAIL	    80	    16	   69.0	  1.00	   0.65	    6790	     -	     -	     -	     -	     NO
00335     	unspecified               	  1.17	  FAIL	    90	    24	   60.7	  0.76	   0.00	    7605	     -	     -	     -	     -	     NO
00352     	unspecified               	  1.00	  FAIL	    90	    14	   84.9	  0.33	   0.00	    9142	     -	     -	     -	     -	     NO
00357     	unspecified               	  0.43	  FAIL	    90	    12	   66.8	  0.74	   0.71	    6338	     -	     -	     -	     -	     NO
