baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.65,0.0833,-0.5667,-0.6583,-0.4667,3,71,46,,n/a,6.78e-15,9.49e-14,True,,,"McNemar, chi-square with continuity correction",74,degraded
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.65,0.0833,-0.5667,-0.6583,-0.4667,3,71,46,,n/a,6.78e-15,9.49e-14,True,,,"McNemar, chi-square with continuity correction",74,degraded
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9612,0.8778,-0.0834,-0.0975,-0.0689,9,86,25,-0.6417,large,3.51e-15,5.61e-14,True,False,0.02,"Wilcoxon signed-rank, normal approximation",95,degraded
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9612,0.8778,-0.0834,-0.0975,-0.0689,9,86,25,-0.6417,large,3.51e-15,5.61e-14,True,False,0.02,"Wilcoxon signed-rank, normal approximation",95,degraded
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.4505,0.412,-0.0385,-0.1061,0.0298,47,60,13,-0.0993,negligible,0.171,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",107,no detected change
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.3665,0.3302,-0.0363,-0.0933,0.0212,39,49,32,-0.0779,negligible,0.201,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",88,no detected change
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.2714,0.32,0.0486,-0.0032,0.1038,47,61,12,0.1088,negligible,0.116,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",108,no detected change
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.0417,0.0333,-0.0083,-0.05,0.0333,3,4,113,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",7,no detected change
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0427,0.0466,0.0039,-0.0101,0.0178,23,17,80,-0.0256,negligible,0.528,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",40,equivalent
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1369,0.1153,-0.0216,-0.065,0.024,9,18,93,-0.0508,negligible,0.162,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",27,no detected change
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0461,0.0464,0.0003,-0.014,0.0144,22,18,80,-0.0311,negligible,0.783,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",40,equivalent
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,flesch_reading_ease,reading ease,response,higher,120,56.7426,56.235,-0.5076,-5.1479,4.0306,58,61,1,-0.001,negligible,0.653,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",119,no detected change
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,flesch_kincaid_grade,grade level,response,lower,120,7.4587,7.777,0.3183,-0.425,1.0531,52,67,1,0.026,negligible,0.268,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",119,no detected change
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,word_count,words,response,descriptive,120,17.425,13.0167,-4.4083,-6.0835,-2.7748,0,0,120,-0.4156,medium,2.88e-06,,False,,,"Wilcoxon signed-rank, normal approximation",112,descriptive
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,sentence_count,sentences,response,descriptive,120,2.075,1.4333,-0.6417,-0.775,-0.5083,0,0,120,-0.5482,large,2.74e-12,,False,,,"Wilcoxon signed-rank, normal approximation",80,descriptive
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,opening_words,opening sentence length,response,descriptive,120,5.3667,9.5833,4.2167,3.3083,5.1502,0,0,120,0.705,large,1.93e-14,,False,,,"Wilcoxon signed-rank, normal approximation",114,descriptive
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,mean_words_per_sentence,words per sentence,response,descriptive,120,8.5083,9.5028,0.9944,0.1652,1.9042,0,0,120,0.2097,small,0.0255,,False,,,"Wilcoxon signed-rank, normal approximation",112,descriptive
23 qwen2.5:32b-q4_K_M t0,15 qwen2.5:7b-q4_K_M t0,estimated_tokens,estimated tokens,response,descriptive,120,23.3583,17.325,-6.0333,-8.2419,-3.8075,0,0,120,-0.4197,medium,1.92e-06,,False,,,"Wilcoxon signed-rank, normal approximation",112,descriptive
