baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
13 qwen2.5:3b-q4_K_M t0,31 qwen2.5:3b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.0417,0.0167,-0.025,-0.0667,0.0083,1,4,115,,n/a,0.375,1.0,False,,,"McNemar, exact binomial",5,no detected change
13 qwen2.5:3b-q4_K_M t0,31 qwen2.5:3b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.0417,0.0167,-0.025,-0.0667,0.0083,1,4,115,,n/a,0.375,1.0,False,,,"McNemar, exact binomial",5,no detected change
13 qwen2.5:3b-q4_K_M t0,31 qwen2.5:3b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9013,0.9008,-0.0005,-0.0054,0.0044,4,9,107,-0.054,negligible,0.571,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",13,equivalent
13 qwen2.5:3b-q4_K_M t0,31 qwen2.5:3b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9013,0.9008,-0.0005,-0.0054,0.0044,4,9,107,-0.054,negligible,0.571,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",13,equivalent
13 qwen2.5:3b-q4_K_M t0,31 qwen2.5:3b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.4961,0.5453,0.0492,-0.009,0.1069,60,38,22,0.0816,negligible,0.05,0.356,False,False,0.02,"Wilcoxon signed-rank, normal approximation",98,no detected change
13 qwen2.5:3b-q4_K_M t0,31 qwen2.5:3b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.4048,0.4798,0.075,0.0221,0.1276,56,28,36,0.1122,negligible,0.00291,0.0291,True,False,0.02,"Wilcoxon signed-rank, normal approximation",84,improved
13 qwen2.5:3b-q4_K_M t0,31 qwen2.5:3b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.3053,0.3783,0.073,0.0286,0.1177,37,58,25,0.1646,small,0.00917,0.0825,False,False,0.02,"Wilcoxon signed-rank, normal approximation",95,no detected change
13 qwen2.5:3b-q4_K_M t0,31 qwen2.5:3b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.0417,0.0667,0.025,-0.0083,0.0667,4,1,115,,n/a,0.375,1.0,False,,,"McNemar, exact binomial",5,no detected change
13 qwen2.5:3b-q4_K_M t0,31 qwen2.5:3b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
13 qwen2.5:3b-q4_K_M t0,31 qwen2.5:3b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0459,0.0542,0.0082,-0.0065,0.0239,18,15,87,0.0026,negligible,0.401,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",33,no detected change
