====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:58
Run label              : 22 gemma3:27b-q4_K_M t0.7/s42
Transcripts            : ..\results\text-only\22-gemma3_27b_it_q4_K_M-t0.7_s42-vosk_cpu\20260815_160413\transcripts.yaml
Run directory          : ..\results\text-only\22-gemma3_27b_it_q4_K_M-t0.7_s42-vosk_cpu\20260815_160413
System prompt          : ..\results\text-only\22-gemma3_27b_it_q4_K_M-t0.7_s42-vosk_cpu\20260815_160413\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : gemma3:27b-it-q4_K_M
  llm_temperature     : 0.7
  llm_seed            : 42
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_160413.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    80	    36	   61.4	  0.63	   0.78	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  PASS	   100	    60	   30.0	  0.34	   0.34	   11478	     -	     -	     -	     -	    yes
00012     	unspecified               	  0.50	  PASS	   100	    57	   56.9	  0.44	   0.50	   10627	     -	     -	     -	     -	    yes
00030     	unspecified               	  0.25	  PASS	   100	    35	   42.7	  0.18	   0.00	   10341	     -	     -	     -	     -	    yes
00032     	unspecified               	  0.00	  FAIL	    90	    32	   66.5	  0.75	   0.75	    8132	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  PASS	   100	    30	   50.0	  0.84	   0.69	    8912	     -	     -	     -	     -	    yes
00045     	unspecified               	  0.22	  PASS	   100	    31	   54.4	  0.59	   0.58	    9294	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  FAIL	    90	    32	   58.5	  0.56	   0.56	    9493	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  PASS	   100	    45	   45.0	  0.64	   0.74	   11598	     -	     -	     -	     -	    yes
00054     	unspecified               	  0.30	  PASS	   100	    57	   34.7	  0.33	   0.47	   11132	     -	     -	     -	     -	    yes
00057     	unspecified               	  1.44	  PASS	   100	    33	   29.0	  0.77	   0.00	   12633	     -	     -	     -	     -	    yes
00059     	unspecified               	  1.00	  PASS	   100	    41	   67.1	  0.41	   0.00	   12272	     -	     -	     -	     -	    yes
00063     	unspecified               	  0.00	  FAIL	    90	    33	   59.8	  0.75	   0.75	    8743	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  PASS	   100	    32	   42.7	  0.40	   0.40	    9279	     -	     -	     -	     -	    yes
00088     	unspecified               	  0.11	  PASS	   100	    41	   58.8	  0.74	   1.00	    9109	     -	     -	     -	     -	    yes
00089     	unspecified               	  0.10	  PASS	   100	    33	   23.9	  0.00	   0.14	    9450	     -	     -	     -	     -	    yes
00093     	unspecified               	  0.80	  FAIL	    90	    29	   83.2	  0.18	   0.30	    7602	     -	     -	     -	     -	     NO
00100     	unspecified               	  0.43	  FAIL	    90	    36	   65.4	  0.24	   0.48	    8641	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.08	  PASS	   100	    37	   38.8	  0.33	   0.33	    9916	     -	     -	     -	     -	    yes
00118     	unspecified               	  0.27	  PASS	   100	    42	   35.5	  0.68	   0.40	   10435	     -	     -	     -	     -	    yes
00124     	unspecified               	  0.11	  PASS	   100	    35	   42.7	  0.45	   0.63	    8694	     -	     -	     -	     -	    yes
00130     	unspecified               	  3.60	  PASS	   100	    43	   58.5	  0.60	   0.00	   12209	     -	     -	     -	     -	    yes
00149     	unspecified               	  0.35	  PASS	   100	    38	   62.6	  0.49	   0.41	   10375	     -	     -	     -	     -	    yes
00170     	unspecified               	  0.33	  FAIL	    90	    36	   37.2	  1.00	   0.66	    9584	     -	     -	     -	     -	     NO
00178     	unspecified               	  0.11	  PASS	   100	    39	   59.1	  0.69	   0.85	   10652	     -	     -	     -	     -	    yes
00181     	unspecified               	  0.07	  PASS	   100	    46	   44.1	  0.86	   0.66	   13388	     -	     -	     -	     -	    yes
00197     	unspecified               	  0.17	  PASS	   100	    33	   39.3	  0.00	   0.00	   12458	     -	     -	     -	     -	    yes
00201     	unspecified               	  0.42	  PASS	   100	    42	   39.5	  0.00	   0.00	   10391	     -	     -	     -	     -	    yes
00206     	unspecified               	  0.20	  PASS	   100	    48	   49.6	  1.00	   0.66	    8331	     -	     -	     -	     -	    yes
00208     	unspecified               	  0.33	  PASS	   100	    35	   54.8	  0.39	   0.34	    9555	     -	     -	     -	     -	    yes
00211     	unspecified               	  0.08	  PASS	   100	    34	   33.6	  0.47	   0.47	   12765	     -	     -	     -	     -	    yes
00233     	unspecified               	  0.12	  PASS	   100	    52	   57.5	  0.72	   0.72	    9335	     -	     -	     -	     -	    yes
00236     	unspecified               	  0.14	  FAIL	    90	    45	   54.4	  0.15	   0.15	   11011	     -	     -	     -	     -	     NO
00244     	unspecified               	  0.00	  PASS	   100	    41	   50.6	  0.58	   0.58	   10820	     -	     -	     -	     -	    yes
00245     	unspecified               	  0.22	  PASS	   100	    34	   53.5	  0.00	   0.00	    9269	     -	     -	     -	     -	    yes
00259     	unspecified               	  0.00	  PASS	   100	    49	   74.6	  0.42	   0.42	    9995	     -	     -	     -	     -	    yes
00261     	unspecified               	  0.15	  PASS	   100	    49	   66.0	  0.82	   0.82	   10266	     -	     -	     -	     -	    yes
00266     	unspecified               	  0.29	  FAIL	    90	    32	   69.0	  0.89	   0.31	   13184	     -	     -	     -	     -	     NO
00267     	unspecified               	  0.29	  FAIL	    90	    42	   69.8	  1.00	   0.46	    9213	     -	     -	     -	     -	     NO
00271     	unspecified               	  0.33	  PASS	   100	    33	   59.8	  0.20	   0.17	   10156	     -	     -	     -	     -	    yes
00290     	unspecified               	  0.33	  PASS	   100	    30	   44.4	  0.64	   0.63	    7846	     -	     -	     -	     -	    yes
00298     	unspecified               	  0.00	  FAIL	    90	    38	   20.3	  1.00	   1.00	    8581	     -	     -	     -	     -	     NO
00305     	unspecified               	  0.92	  PASS	   100	    34	   51.0	  0.76	   0.11	   10182	     -	     -	     -	     -	    yes
00311     	unspecified               	  0.69	  FAIL	    90	    67	   56.6	  0.41	   0.28	   13481	     -	     -	     -	     -	     NO
00325     	unspecified               	  0.10	  PASS	   100	    32	   82.3	  0.47	   0.20	   10485	     -	     -	     -	     -	    yes
00326     	unspecified               	  0.42	  PASS	   100	    53	   58.0	  0.38	   0.18	   12012	     -	     -	     -	     -	    yes
00327     	unspecified               	  0.25	  PASS	   100	    46	   68.0	  1.00	   0.64	   10016	     -	     -	     -	     -	    yes
00335     	unspecified               	  1.17	  PASS	   100	    36	   32.5	  0.50	   0.00	    9106	     -	     -	     -	     -	    yes
00352     	unspecified               	  1.00	  FAIL	    90	    41	   50.6	  0.63	   0.09	   11969	     -	     -	     -	     -	     NO
00357     	unspecified               	  0.43	  PASS	   100	    35	   45.1	  0.76	   1.00	    8833	     -	     -	     -	     -	    yes
00366     	unspecified               	  0.55	  PASS	   100	    56	   47.4	  0.28	   0.47	   13669	     -	     -	     -	     -	    yes
00369     	unspecified               	  0.42	  PASS	   100	    40	   57.9	  0.32	   0.32	   10473	     -	     -	     -	     -	    yes
00382     	unspecified               	  0.38	  PASS	   100	    35	   47.5	  1.00	   0.64	    9354	     -	     -	     -	     -	    yes
00389     	unspecified               	  1.20	  PASS	   100	    50	   66.4	  0.64	   0.00	   10942	     -	     -	     -	     -	    yes
00394     	unspecified               	  0.20	  PASS	   100	    38	   58.2	  1.00	   0.87	    8919	     -	     -	     -	     -	    yes
00406     	unspecified               	  0.08	  PASS	   100	    42	   47.6	  0.41	   0.34	   10609	     -	     -	     -	     -	    yes
00417     	unspecified               	  0.20	  PASS	   100	    37	   68.6	  0.54	   0.36	   12334	     -	     -	     -	     -	    yes
00422     	unspecified               	  0.05	  PASS	   100	    41	   34.1	  0.20	   0.20	   13723	     -	     -	     -	     -	    yes
00425     	unspecified               	  0.00	  PASS	   100	    28	   64.4	  0.00	   0.00	    9087	     -	     -	     -	     -	    yes
00432     	unspecified               	  0.17	  PASS	   100	    45	   52.5	  0.85	   0.63	   11905	     -	     -	     -	     -	    yes
00433     	unspecified               	  0.90	  PASS	   100	    36	   67.8	  0.47	   0.00	    9000	     -	     -	     -	     -	    yes
00441     	unspecified               	  0.17	  PASS	   100	    32	   63.7	  0.69	   0.69	    8100	     -	     -	     -	     -	    yes
00443     	unspecified               	  0.57	  FAIL	    90	    25	   38.5	  0.20	   0.20	    8695	     -	     -	     -	     -	     NO
00444     	unspecified               	  0.00	  PASS	   100	    25	   42.7	  1.00	   1.00	    7518	     -	     -	     -	     -	    yes
00452     	unspecified               	  0.69	  FAIL	    90	    42	   63.7	  0.37	   0.25	   13937	     -	     -	     -	     -	     NO
00455     	unspecified               	  1.22	  PASS	   100	    40	   51.6	  0.59	   0.00	   11405	     -	     -	     -	     -	    yes
00457     	unspecified               	  0.83	  PASS	   100	    39	   72.2	  0.25	   0.00	    9533	     -	     -	     -	     -	    yes
00460     	unspecified               	  0.30	  PASS	   100	    41	   75.3	  0.79	   0.24	    8719	     -	     -	     -	     -	    yes
00474     	unspecified               	  0.50	  PASS	   100	    25	   49.5	  0.55	   0.51	    8911	     -	     -	     -	     -	    yes
00475     	unspecified               	  0.44	  FAIL	    90	    40	   38.9	  0.67	   1.00	   10334	     -	     -	     -	     -	     NO
00476     	unspecified               	  0.00	  PASS	   100	    44	   55.4	  0.49	   0.49	    9032	     -	     -	     -	     -	    yes
00481     	unspecified               	  0.14	  PASS	   100	    31	   98.1	  0.74	   0.51	    9338	     -	     -	     -	     -	    yes
00484     	unspecified               	  0.30	  FAIL	    90	    43	   40.8	  0.10	   0.11	   10547	     -	     -	     -	     -	     NO
00496     	unspecified               	  0.33	  PASS	   100	    39	   57.0	  0.32	   0.32	    8926	     -	     -	     -	     -	    yes
00497     	unspecified               	  0.14	  PASS	   100	    45	   54.4	  0.64	   0.64	    9571	     -	     -	     -	     -	    yes
00498     	unspecified               	  0.33	  FAIL	    90	    33	   64.9	  0.50	   0.50	    9989	     -	     -	     -	     -	     NO
00500     	unspecified               	  0.00	  PASS	   100	    41	   63.0	  0.63	   0.63	   12266	     -	     -	     -	     -	    yes
00501     	unspecified               	  0.33	  PASS	   100	    41	   48.5	  0.47	   0.40	   11943	     -	     -	     -	     -	    yes
00503     	unspecified               	  0.42	  FAIL	    90	    32	   77.0	  0.13	   0.12	    9861	     -	     -	     -	     -	     NO
00507     	unspecified               	  0.17	  PASS	   100	    35	   37.9	  0.00	   0.00	    9224	     -	     -	     -	     -	    yes
00521     	unspecified               	  0.30	  PASS	   100	    32	   74.4	  0.65	   0.30	    8986	     -	     -	     -	     -	    yes
00524     	unspecified               	  0.15	  FAIL	    90	    34	   53.5	  0.29	   0.28	   10868	     -	     -	     -	     -	     NO
00531     	unspecified               	  0.20	  PASS	   100	    41	   32.0	  0.00	   0.00	   10515	     -	     -	     -	     -	    yes
00532     	unspecified               	  0.27	  PASS	   100	    52	   34.7	  0.39	   0.38	   11532	     -	     -	     -	     -	    yes
00533     	unspecified               	  0.22	  PASS	   100	    30	   13.4	  1.00	   0.83	   10205	     -	     -	     -	     -	    yes
00546     	unspecified               	  0.33	  PASS	   100	    43	   58.5	  0.50	   0.29	    9495	     -	     -	     -	     -	    yes
00554     	unspecified               	  0.30	  PASS	   100	    43	   54.6	  0.83	   0.60	    9663	     -	     -	     -	     -	    yes
00571     	unspecified               	  0.06	  PASS	   100	    28	   40.2	  0.00	   0.00	   11804	     -	     -	     -	     -	    yes
00573     	unspecified               	  0.54	  PASS	   100	    20	   57.1	  0.00	   0.00	   12049	     -	     -	     -	     -	    yes
00582     	unspecified               	  0.33	  FAIL	    90	    39	   59.1	  1.00	   0.72	    9233	     -	     -	     -	     -	     NO
00594     	unspecified               	  0.33	  FAIL	    90	    34	   65.9	  1.00	   0.67	    9439	     -	     -	     -	     -	     NO
00612     	unspecified               	  1.20	  FAIL	    70	    45	   39.4	  0.39	   0.21	   12809	     -	     -	     -	     -	     NO
00616     	unspecified               	  0.00	  PASS	   100	    36	   72.5	  0.00	   0.00	    9575	     -	     -	     -	     -	    yes
00626     	unspecified               	  0.33	  PASS	   100	    39	   48.3	  0.00	   0.00	    8311	     -	     -	     -	     -	    yes
00628     	unspecified               	  0.27	  FAIL	    90	    32	   77.0	  0.41	   0.41	   11482	     -	     -	     -	     -	     NO
00639     	unspecified               	  0.43	  FAIL	    90	    37	   80.0	  0.40	   0.25	   10082	     -	     -	     -	     -	     NO
00640     	unspecified               	  0.08	  FAIL	    90	    43	   48.7	  0.46	   0.62	    9810	     -	     -	     -	     -	     NO
00643     	unspecified               	  1.50	  PASS	   100	    42	   73.8	  1.00	   0.00	   10966	     -	     -	     -	     -	    yes
00653     	unspecified               	  0.18	  PASS	   100	    41	   38.2	  0.56	   0.65	   10722	     -	     -	     -	     -	    yes
00656     	unspecified               	  0.00	  PASS	   100	    34	   61.0	  0.20	   0.20	   11917	     -	     -	     -	     -	    yes
00657     	unspecified               	  0.91	  PASS	   100	    34	   26.1	  0.70	   0.00	   11553	     -	     -	     -	     -	    yes
00669     	unspecified               	  0.08	  FAIL	    90	    44	   72.7	  0.91	   0.91	   11488	     -	     -	     -	     -	     NO
