====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:48
Run label              : 09 llama3.1:8b-fp16 t0
Transcripts            : ..\results\text-only\09-llama3_1_8b_instruct_fp16-t0_0-vosk_cpu\20260815_132601\transcripts.yaml
Run directory          : ..\results\text-only\09-llama3_1_8b_instruct_fp16-t0_0-vosk_cpu\20260815_132601
System prompt          : ..\results\text-only\09-llama3_1_8b_instruct_fp16-t0_0-vosk_cpu\20260815_132601\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : llama3.1:8b-instruct-fp16
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_132601.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    90	    20	   61.3	  0.63	   0.78	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  FAIL	    90	    50	   56.2	  0.51	   0.51	    8982	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    90	    18	   94.3	  0.00	   0.00	    7299	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  PASS	   100	    25	   85.9	  0.18	   0.00	    8503	     -	     -	     -	     -	    yes
00032     	unspecified               	  0.00	  FAIL	    90	    25	   72.3	  0.74	   0.74	    7281	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  FAIL	    90	    35	   35.5	  0.48	   0.50	    7335	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  PASS	   100	    28	   52.3	  0.62	   0.59	    7405	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  FAIL	    90	    34	   32.8	  0.55	   0.55	    8029	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    90	    29	   49.2	  0.52	   0.49	    9394	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    90	    52	   49.3	  0.00	   0.09	    8724	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    42	   41.5	  0.36	   0.00	   10826	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    24	   74.8	  0.58	   0.00	    9608	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    90	    31	   65.6	  0.74	   0.74	    7201	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	    43	   58.5	  0.37	   0.37	    7655	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.11	  FAIL	    90	    18	   66.1	  0.24	   0.33	    6461	     -	     -	     -	     -	     NO
