baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.2167,0.0917,-0.125,-0.2083,-0.0417,7,22,91,,n/a,0.00933,0.121,False,,,"McNemar, chi-square with continuity correction",29,no detected change
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.2167,0.0917,-0.125,-0.2083,-0.0417,7,22,91,,n/a,0.00933,0.121,False,,,"McNemar, chi-square with continuity correction",29,no detected change
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9208,0.8908,-0.03,-0.0416,-0.0193,7,48,65,-0.3257,small,9.15e-07,1.55e-05,True,False,0.02,"Wilcoxon signed-rank, normal approximation",55,degraded
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9208,0.8908,-0.03,-0.0416,-0.0193,7,48,65,-0.3257,small,9.15e-07,1.55e-05,True,False,0.02,"Wilcoxon signed-rank, normal approximation",55,degraded
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.4708,0.4523,-0.0184,-0.0812,0.0467,50,63,7,-0.0307,negligible,0.701,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",113,no detected change
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.3931,0.3326,-0.0605,-0.1165,-0.0016,36,59,25,-0.1412,negligible,0.0468,0.375,False,False,0.02,"Wilcoxon signed-rank, normal approximation",95,no detected change
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.168,0.2744,0.1064,0.0657,0.1449,31,84,5,0.2788,small,3.71e-06,3.71e-05,True,False,0.02,"Wilcoxon signed-rank, normal approximation",115,degraded
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,answer_presence,reference answer present,response,higher,120,0.05,0.025,-0.025,-0.0583,0.0083,1,4,115,,n/a,0.375,1.0,False,,,"McNemar, exact binomial",5,no detected change
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0083,0.0083,0.0,0.025,1,0,119,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0289,0.043,0.0141,-0.0039,0.0358,18,27,75,-0.0887,negligible,0.773,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",45,no detected change
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1437,0.0931,-0.0505,-0.0965,-0.0035,9,27,84,-0.1165,negligible,0.0177,0.159,False,False,0.02,"Wilcoxon signed-rank, normal approximation",36,no detected change
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.031,0.0456,0.0146,-0.0045,0.0374,17,28,75,-0.0927,negligible,0.664,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",45,no detected change
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,flesch_reading_ease,reading ease,response,higher,120,50.5579,54.9718,4.4138,-0.672,9.5889,64,56,0,0.1326,negligible,0.149,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",120,no detected change
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,flesch_kincaid_grade,grade level,response,lower,120,9.8446,9.1931,-0.6515,-1.6929,0.3021,60,59,1,-0.099,negligible,0.368,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",119,no detected change
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,word_count,words,response,descriptive,120,31.85,18.2917,-13.5583,-16.4256,-10.8248,0,0,120,-0.6551,large,8.39e-14,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,sentence_count,sentences,response,descriptive,120,2.3333,1.2583,-1.075,-1.2083,-0.9333,0,0,120,-0.7515,large,8.49e-18,,False,,,"Wilcoxon signed-rank, normal approximation",103,descriptive
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,opening_words,opening sentence length,response,descriptive,120,11.6917,14.125,2.4333,0.075,4.7004,0,0,120,0.2629,small,0.00213,,False,,,"Wilcoxon signed-rank, normal approximation",113,descriptive
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,mean_words_per_sentence,words per sentence,response,descriptive,120,14.6403,14.4931,-0.1472,-2.1616,1.7474,0,0,120,-0.0593,negligible,0.95,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,estimated_tokens,estimated tokens,response,descriptive,120,42.475,24.4,-18.075,-21.8919,-14.5079,0,0,120,-0.6552,large,7.67e-14,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,12.74,7.3167,-5.4233,-6.5703,-4.3299,0,0,120,-0.6551,large,8.61e-14,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
06 llama3.1:8b-q4_K_M t0.7/s42,04 llama3.2:3b-q4_K_M t0.7/s42,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,37.7311,27.2353,-10.4958,-11.1261,-9.8151,119,0,0,-0.9853,large,2.5e-21,2.25e-20,True,False,5.0,"Wilcoxon signed-rank, normal approximation",119,improved
