item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,"That's on my university's website. You can find it by visiting our institution's homepage and clicking on the student life section, then looking for the tab about media outlets or student activities.",WYBC Yale Radio,True,True,True,1.0,1.0,,,32,2,199,16.0,5,43,12.8,45.19,10.93,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,"The Bureau used to be responsible for air traffic control and safety regulations were under its purview, ensuring safe travels of aircraft in the United States prior to 2003 when responsibilities were transferred to the Federal Aviation Administration. It was a part of the US Department of Commerce until then.","maps, blackboards, and mental calculations",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,50,2,311,25.0,38,66,20.0,35.95,14.46,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.8296,0.1786,0.8296,0.0,0.04,0.0,0.0,5.0,0.2,0.0467,"{'years': ['2003'], 'quantities': [], 'name_spans': ['Federal Aviation Administration', 'United States'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,7142.0,8785.0,1377.0,601.0,47.0,1486.0,885.0,7191.0,1145.0,2976.0,341.0,732.0,3.0,57.0,308.0,41.4,1.0,1862.0,17623.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,It sounds like you're asking about a quote from a story. Can you clarify which one?,salon,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,16,2,83,8.0,11,21,6.4,87.68,3.02,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6840.0,7163.0,464.0,299.0,48.0,1167.0,868.0,6927.0,1088.0,2414.0,155.0,223.0,2.0,20.0,309.0,43.1,1.0,2168.0,4435.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,"Developing antibiotics is one area where China lags behind. Most antibiotic discoveries and major advances have come from Western countries, particularly the United States and Europe. China has not been a significant contributor to this field historically.",theology,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,37,3,256,12.333333333333334,9,49,14.8,27.4,12.5,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.4665,0.1739,0.3371,-0.1293,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['United States'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,7430.0,8572.0,1079.0,288.0,42.0,1144.0,856.0,7499.0,-619.0,753.0,224.0,723.0,3.0,45.0,305.0,41.7,1.0,390.0,14373.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,"The Great Famine occurred primarily between 1315 and 1322, although some historians argue that it may have lasted until 1327 in certain areas, particularly Ireland. It is also known as the Great European Famine or the Great Famine of 1315-1317.",1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,41,2,244,20.5,25,55,16.4,62.22,9.67,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.744,0.24,0.744,0.0,0.1,1.0,0.0,2.0,1.0,0.1194,"{'years': ['1315', '1317', '1322', '1327'], 'quantities': [], 'name_spans': ['Great European Famine', 'Great Famine', 'The Great Famine'], 'atom_count': 7}",,,False,constraint violation: opener_at_most_five_words,7212.0,7280.0,1414.0,748.0,43.0,1659.0,911.0,7264.0,1021.0,3179.0,496.0,812.0,3.0,59.0,303.0,41.7,1.0,3916.0,20526.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"Tampering with brass or bronze can weaken it. When combined, certain materials like tin and lead are added to copper to make brass or bronze stronger, but adding other elements without proper control can damage the metal's structure. This could potentially cause it to crack or break more easily.",hardness,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,49,3,296,16.333333333333332,8,65,19.6,64.22,8.36,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.6582,0.2143,0.6427,-0.0155,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7119.0,7533.0,1370.0,256.0,47.0,1086.0,830.0,7180.0,771.0,2041.0,180.0,748.0,4.0,57.0,307.0,41.6,1.0,2671.0,15719.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,"Plants have many common names worldwide. Different cultures and languages use unique terms, often describing characteristics or uses of a plant. This leads to multiple names for the same species. This variation makes botanical classification crucial for accurate identification.",single world-wide name,False,False,False,0.7,0.7,opener_at_most_five_words;at_most_two_detail_sentences;total_sentences_at_most_three,opener_at_most_five_words;at_most_two_detail_sentences;total_sentences_at_most_three,39,4,278,9.75,6,52,15.6,34.25,10.9,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.6275,0.1852,0.5857,-0.0418,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_at_most_five_words, at_most_two_detail_sentences, total_sentences_at_most_three",6620.0,7735.0,1145.0,206.0,46.0,1088.0,882.0,6708.0,-2770.0,-1546.0,131.0,768.0,4.0,46.0,305.0,40.1,1.0,-1668.0,16184.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,Houston typically gets one to two tornadoes annually.,49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,8,1,53,8.0,8,11,3.2,29.52,11.13,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.4112,0.2857,0.4112,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6422.0,7003.0,257.0,235.0,43.0,1088.0,853.0,6491.0,886.0,2162.0,184.0,184.0,1.0,11.0,307.0,42.7,1.0,1590.0,3157.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,"Barack Obama's inauguration occurred in 2009. He was sworn in as the 44th President of the United States on January twentieth, nineteen hundred and ninety-nine.",America the Beautiful,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,27,2,160,13.5,6,36,10.8,58.4,8.47,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.2855,0.1176,0.4787,0.1932,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': [], 'name_spans': ['Barack Obama', 'United States'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,9209.0,9301.0,833.0,262.0,40.0,1067.0,805.0,9282.0,1151.0,2474.0,251.0,557.0,2.0,36.0,307.0,43.2,1.0,3129.0,9543.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,"Brexit took shape during that time period. It was a process initiated by then-Prime Minister David Cameron's government, and it continued under his successor, Theresa May, after he resigned in 2016. The UK officially left the European Union on January twenty-first, two thousand and twenty-one.",doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,48,3,294,16.0,7,64,19.2,49.59,10.32,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.4431,0.1212,0.6008,0.1576,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': ['2016'], 'quantities': [], 'name_spans': ['European Union', 'Prime Minister David Cameron', 'Theresa May'], 'atom_count': 4}",,,False,constraint violation: opener_at_most_five_words,6910.0,8715.0,1477.0,227.0,43.0,1029.0,802.0,6982.0,946.0,2150.0,170.0,864.0,4.0,62.0,307.0,42.0,1.0,1630.0,17867.0
