====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:58:04
Run label              : 30 qwen2.5:1.5b-q4_K_M t0
Transcripts            : ..\results\text-only\30-qwen2_5_1_5b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_180511\transcripts.yaml
Run directory          : ..\results\text-only\30-qwen2_5_1_5b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_180511
System prompt          : ..\results\text-only\30-qwen2_5_1_5b_instruct_q4_K_M-t0_0-whisper-gpu\20260815_180511\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:1.5b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : whisper
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.205 (245/1198 words); strata: clean 65, mild 39, severe 16
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_180511.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.00	  PASS	   100	     3	   91.0	  0.00	   0.00	       -	     -	     -	     -	     -	    yes
00005     	unspecified               	  0.00	  FAIL	    90	    12	   74.8	  0.82	   0.82	    8543	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.20	  FAIL	    90	     9	   94.3	  0.26	   0.46	    8211	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.00	  PASS	   100	     5	   15.6	  0.40	   0.40	    8699	     -	     -	     -	     -	    yes
00032     	unspecified               	  0.00	  FAIL	    90	    14	   71.8	  0.74	   0.74	    8871	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.00	  PASS	   100	     3	  119.2	  0.17	   0.17	    8299	     -	     -	     -	     -	    yes
00045     	unspecified               	  0.00	  FAIL	    89	     7	   30.5	  0.38	   0.38	    7941	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  FAIL	    90	     9	   28.5	  0.41	   0.41	    7880	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.22	  FAIL	    90	     9	    9.7	  0.00	   0.00	   10548	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.00	  FAIL	    90	    12	   53.7	  1.00	   1.00	    8312	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    16	   42.5	  0.86	   0.00	   11639	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    16	   84.8	  0.64	   0.00	   10415	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    89	     7	   54.7	  1.00	   1.00	    7538	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	    10	   44.4	  0.37	   0.37	    7693	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.00	  FAIL	    90	    10	   27.5	  1.00	   1.00	    7465	     -	     -	     -	     -	     NO
00089     	unspecified               	  0.00	  FAIL	    90	     9	   56.7	  0.81	   0.81	    8127	     -	     -	     -	     -	     NO
00093     	unspecified               	  0.00	  FAIL	    89	     7	   78.9	  1.00	   1.00	    5696	     -	     -	     -	     -	     NO
00100     	unspecified               	  0.00	  FAIL	    90	     8	  103.5	  1.00	   1.00	    7494	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.17	  FAIL	    90	    11	   64.9	  0.82	   0.82	    8618	     -	     -	     -	     -	     NO
00118     	unspecified               	  0.18	  FAIL	    90	    13	   76.5	  0.73	   0.55	    9048	     -	     -	     -	     -	     NO
00124     	unspecified               	  0.11	  FAIL	    90	     9	   28.5	  0.81	   0.81	    7538	     -	     -	     -	     -	     NO
00130     	unspecified               	  3.60	  FAIL	    90	     9	   75.5	  0.39	   0.00	   10661	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.00	  FAIL	    90	    14	   41.5	  0.71	   0.71	    8730	     -	     -	     -	     -	     NO
00170     	unspecified               	  0.33	  FAIL	    89	     6	    3.3	  0.49	   1.00	    8039	     -	     -	     -	     -	     NO
00178     	unspecified               	  0.00	  FAIL	    90	    13	   76.5	  0.14	   0.14	    9159	     -	     -	     -	     -	     NO
00181     	unspecified               	  0.00	  FAIL	    90	    12	   39.6	  0.72	   0.72	   11747	     -	     -	     -	     -	     NO
00197     	unspecified               	  0.00	  FAIL	    90	    14	   41.5	  0.49	   0.49	   11439	     -	     -	     -	     -	     NO
00201     	unspecified               	  0.17	  FAIL	    89	     7	   66.8	  0.00	   0.00	    8788	     -	     -	     -	     -	     NO
00206     	unspecified               	  0.20	  FAIL	    90	    18	   42.9	  1.00	   0.64	    6790	     -	     -	     -	     -	     NO
00208     	unspecified               	  0.25	  FAIL	    90	    11	   72.6	  1.00	   0.65	    7484	     -	     -	     -	     -	     NO
00211     	unspecified               	  0.00	  FAIL	    90	    13	   30.9	  0.09	   0.09	   11129	     -	     -	     -	     -	     NO
00233     	unspecified               	  0.12	  FAIL	    90	    23	   62.8	  1.00	   1.00	    7367	     -	     -	     -	     -	     NO
00236     	unspecified               	  0.00	  FAIL	    90	    12	   53.7	  0.17	   0.17	    9617	     -	     -	     -	     -	     NO
00244     	unspecified               	  0.00	  FAIL	    90	    16	   63.7	  0.86	   0.86	    9286	     -	     -	     -	     -	     NO
00245     	unspecified               	  0.00	  FAIL	    90	     8	   50.7	  0.58	   0.58	    7741	     -	     -	     -	     -	     NO
00259     	unspecified               	  0.00	  FAIL	    90	    28	   33.4	  0.79	   0.79	    8040	     -	     -	     -	     -	     NO
00261     	unspecified               	  0.00	  FAIL	    90	    21	   52.6	  0.84	   0.84	    8501	     -	     -	     -	     -	     NO
00266     	unspecified               	  0.00	  FAIL	    90	    10	   36.0	  0.30	   0.30	   12556	     -	     -	     -	     -	     NO
00267     	unspecified               	  0.00	  FAIL	    90	    15	   73.2	  1.00	   1.00	    7661	     -	     -	     -	     -	     NO
00271     	unspecified               	  0.00	  FAIL	    90	    29	   43.2	  0.17	   0.17	   10011	     -	     -	     -	     -	     NO
00290     	unspecified               	  0.00	  FAIL	    90	    17	   20.4	  1.00	   1.00	    6750	     -	     -	     -	     -	     NO
00298     	unspecified               	  0.00	  FAIL	    90	     9	   28.5	  1.00	   1.00	    7126	     -	     -	     -	     -	     NO
00305     	unspecified               	  0.92	  FAIL	    89	     7	   66.8	  0.58	   0.00	    8230	     -	     -	     -	     -	     NO
00311     	unspecified               	  0.08	  FAIL	    80	    13	   44.0	  0.70	   0.78	   10935	     -	     -	     -	     -	     NO
00325     	unspecified               	  0.10	  FAIL	    90	     9	  122.5	  0.25	   0.25	    9366	     -	     -	     -	     -	     NO
00326     	unspecified               	  0.08	  FAIL	    90	    12	   46.6	  0.40	   0.40	   10530	     -	     -	     -	     -	     NO
00327     	unspecified               	  0.00	  FAIL	    90	    10	  103.6	  1.00	   1.00	    7403	     -	     -	     -	     -	     NO
00335     	unspecified               	  1.00	  FAIL	    90	     9	   47.3	  0.74	   0.00	    8838	     -	     -	     -	     -	     NO
00352     	unspecified               	  1.00	  FAIL	    90	     8	   61.2	  0.81	   0.00	    9936	     -	     -	     -	     -	     NO
00357     	unspecified               	  0.00	  PASS	   100	     5	   66.4	  0.00	   0.00	    7403	     -	     -	     -	     -	    yes
00366     	unspecified               	  0.05	  FAIL	    89	     7	   78.9	  0.16	   0.16	   11433	     -	     -	     -	     -	     NO
00369     	unspecified               	  0.00	  FAIL	    90	    16	   21.4	  0.50	   0.50	    8816	     -	     -	     -	     -	     NO
00382     	unspecified               	  0.12	  FAIL	    90	    11	   80.3	  0.31	   0.66	    7916	     -	     -	     -	     -	     NO
00389     	unspecified               	  1.10	  FAIL	    90	    12	   60.7	  1.00	   0.00	    8707	     -	     -	     -	     -	     NO
00394     	unspecified               	  0.00	  FAIL	    90	     9	   66.1	  0.87	   0.87	    7165	     -	     -	     -	     -	     NO
00406     	unspecified               	  0.08	  FAIL	    90	     9	   56.7	  0.41	   0.34	    7978	     -	     -	     -	     -	     NO
00417     	unspecified               	  0.22	  FAIL	    90	    17	   75.1	  0.80	   0.54	   10462	     -	     -	     -	     -	     NO
00422     	unspecified               	  0.00	  FAIL	    90	    20	   47.0	  0.59	   0.59	   12318	     -	     -	     -	     -	     NO
00425     	unspecified               	  0.00	  FAIL	    90	     9	   47.3	  0.00	   0.00	    8701	     -	     -	     -	     -	     NO
00432     	unspecified               	  0.00	  FAIL	    78	     2	   35.6	  0.00	   0.00	    9671	     -	     -	     -	     -	     NO
00433     	unspecified               	  1.00	  PASS	   100	     4	   75.9	  0.00	   0.00	    7025	     -	     -	     -	     -	    yes
00441     	unspecified               	  0.00	  FAIL	    89	     6	   17.4	  0.68	   0.68	    6451	     -	     -	     -	     -	     NO
00443     	unspecified               	  0.00	  PASS	   100	     5	   66.4	  0.59	   0.59	    7764	     -	     -	     -	     -	    yes
00444     	unspecified               	  0.00	  FAIL	    90	     8	  -12.8	  1.00	   1.00	    6222	     -	     -	     -	     -	     NO
00452     	unspecified               	  0.31	  FAIL	    90	    16	   26.7	  0.58	   0.48	   12364	     -	     -	     -	     -	     NO
00455     	unspecified               	  0.89	  FAIL	    67	     6	   73.8	  0.00	   0.00	    9748	     -	     -	     -	     -	     NO
00457     	unspecified               	  0.00	  FAIL	    78	     3	  119.2	  0.32	   0.32	    7442	     -	     -	     -	     -	     NO
00460     	unspecified               	  0.20	  FAIL	    90	     8	   40.1	  0.76	   0.49	    6781	     -	     -	     -	     -	     NO
00474     	unspecified               	  0.00	  FAIL	    90	     9	   66.1	  0.76	   0.76	    8433	     -	     -	     -	     -	     NO
00475     	unspecified               	  0.22	  FAIL	    90	     8	  -65.7	  0.39	   0.61	    8491	     -	     -	     -	     -	     NO
00476     	unspecified               	  0.17	  FAIL	    90	    11	   18.8	  0.48	   0.48	    7090	     -	     -	     -	     -	     NO
00481     	unspecified               	  0.00	  PASS	   100	     5	  117.2	  0.72	   0.72	    7909	     -	     -	     -	     -	    yes
00484     	unspecified               	  0.00	  FAIL	    90	     9	   56.7	  0.65	   0.65	    9095	     -	     -	     -	     -	     NO
00496     	unspecified               	  0.33	  FAIL	    90	    17	   63.8	  0.65	   0.30	    8432	     -	     -	     -	     -	     NO
00497     	unspecified               	  0.00	  FAIL	    89	     7	   91.0	  0.64	   0.64	    7124	     -	     -	     -	     -	     NO
00498     	unspecified               	  0.00	  FAIL	    90	     8	   18.9	  0.71	   0.71	    8828	     -	     -	     -	     -	     NO
00500     	unspecified               	  0.00	  FAIL	    90	    19	   71.8	  0.64	   0.64	   11241	     -	     -	     -	     -	     NO
00501     	unspecified               	  0.25	  FAIL	    90	    15	   56.2	  0.85	   0.52	   12124	     -	     -	     -	     -	     NO
00503     	unspecified               	  0.08	  FAIL	    90	    12	   53.7	  0.84	   0.68	    8798	     -	     -	     -	     -	     NO
