item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,What is the name of the campus TV station?,The campus TV station is called KUTV.,WYBC Yale Radio,True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,7,1,37,7.0,7,9,2.8,90.96,2.31,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7744,0.6,0.7744,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,What did the Bureau used to ensure the safe travels of aircraft?,The Federal Aviation Administration was established.,"maps, blackboards, and mental calculations",True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,52,6.0,6,9,2.4,-24.85,18.22,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The Federal Aviation Administration'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,7142.0,8621.0,105.0,96.0,28.0,986.0,890.0,7454.0,2174.0,3327.0,163.0,163.0,1.0,8.0,323.0,76.0,1.0,1862.0,2798.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,What did Beyonce's mother own when Beyonce was a child?,Beyoncé's mother owned a hair salon.,salon,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,36,6.0,6,8,2.4,73.85,4.45,0.2,0.0377,10.0,2.0,2.0,0.0,0.0,False,0.75,mild,0.2527,0.2,0.459,0.2063,0.3333,1.0,0.0,1.0,1.0,0.3789,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6840.0,8228.0,139.0,130.0,28.0,970.0,840.0,7125.0,2452.0,3544.0,117.0,117.0,1.0,11.0,324.0,78.6,1.0,2168.0,1973.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,What was one subject that Avicenna never developed?,Avicenna did not develop algebra.,theology,True,True,True,1.0,1.0,,,5,1,33,5.0,5,7,2.0,-1.28,14.68,0.0,0.0,8.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.3959,0.6667,0.3959,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7430.0,8760.0,127.0,116.0,29.0,939.0,823.0,7690.0,649.0,1707.0,114.0,114.0,1.0,9.0,321.0,70.8,1.0,390.0,2194.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,In what years was the great famine?,The Irish Potato Famine occurred from eighteen thirty-seven to eighteen forty-two.,1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,13,1,82,13.0,13,17,5.2,43.96,10.36,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.3646,0.1,0.3646,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The Irish Potato Famine'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,7212.0,8623.0,182.0,174.0,28.0,929.0,755.0,7454.0,4158.0,5318.0,225.0,225.0,1.0,16.0,318.0,87.6,1.0,3916.0,4307.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,What property does Combining Copper with Brass or Bronze create?,Combining copper with brass creates bronze.,hardness,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,43,6.0,6,8,2.4,73.85,4.45,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.6411,0.8,0.6411,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7119.0,8470.0,114.0,104.0,28.0,896.0,792.0,7400.0,2951.0,4009.0,157.0,157.0,1.0,9.0,322.0,78.4,1.0,2671.0,2600.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,Do different countries refer to plants by different names?,"Yes, some countries use different names for plants.",single world-wide name,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,8,1,51,8.0,8,11,3.2,82.39,3.76,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.777,0.8,0.777,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6620.0,8059.0,134.0,127.0,28.0,961.0,834.0,6879.0,-1408.0,-237.0,205.0,205.0,1.0,11.0,320.0,81.8,1.0,-1668.0,3111.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,How many tornadoes does Houston usually get per year?,Houston typically experiences around three to four tornadoes per year.,49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,10,1,70,10.0,10,13,4.0,35.95,10.73,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7869,0.4444,0.7869,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6422.0,7854.0,153.0,146.0,28.0,892.0,746.0,6707.0,1874.0,3007.0,237.0,237.0,1.0,13.0,321.0,84.7,1.0,1590.0,3947.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,What is she seeing at the 2009 presidential inauguration?,"At the 2009 presidential inauguration, Barack Obama was sworn in as the first African American President of the United States.",America the Beautiful,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,20,1,126,20.0,20,27,8.0,30.03,14.04,0.2222,0.0727,9.0,2.0,2.0,0.0,0.0,False,0.75,mild,0.7221,0.25,0.7355,0.0134,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': [], 'name_spans': ['African American President', 'Barack Obama', 'United States'], 'atom_count': 4}",,,False,constraint violation: opener_at_most_five_words,9209.0,10865.0,255.0,247.0,25.0,1048.0,801.0,9467.0,3386.0,4771.0,332.0,332.0,1.0,25.0,322.0,98.0,1.0,3129.0,7256.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,What concept took shape during Walpole's tenure as prime minister?,The Whig Party took shape.,doctrine of cabinet solidarity,False,True,True,1.0,1.0,,,5,1,26,5.0,5,7,2.0,100.24,0.52,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.2525,0.5,0.2525,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The Whig Party'], 'atom_count': 1}",,,True,,6910.0,8146.0,89.0,81.0,27.0,852.0,771.0,7168.0,1888.0,2847.0,102.0,102.0,1.0,8.0,323.0,89.7,1.0,1630.0,1497.0
