baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
27 llama3.1:8b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.3667,0.1083,-0.2583,-0.3583,-0.1665,5,36,79,,n/a,2.8e-06,4.2e-05,True,,,"McNemar, chi-square with continuity correction",41,degraded
27 llama3.1:8b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.3667,0.1083,-0.2583,-0.3583,-0.1665,5,36,79,,n/a,2.8e-06,4.2e-05,True,,,"McNemar, chi-square with continuity correction",41,degraded
27 llama3.1:8b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9367,0.9054,-0.0313,-0.0417,-0.0211,5,52,63,-0.4008,medium,2.9e-08,4.93e-07,True,False,0.02,"Wilcoxon signed-rank, normal approximation",57,degraded
27 llama3.1:8b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9367,0.9054,-0.0313,-0.0417,-0.0211,5,52,63,-0.4008,medium,2.9e-08,4.93e-07,True,False,0.02,"Wilcoxon signed-rank, normal approximation",57,degraded
27 llama3.1:8b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.5035,0.5699,0.0664,0.0077,0.13,63,40,17,0.1303,negligible,0.0196,0.157,False,False,0.02,"Wilcoxon signed-rank, normal approximation",103,no detected change
27 llama3.1:8b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.4176,0.4602,0.0426,-0.0121,0.1005,54,33,33,0.0694,negligible,0.056,0.392,False,False,0.02,"Wilcoxon signed-rank, normal approximation",87,no detected change
27 llama3.1:8b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.1806,0.3974,0.2168,0.1765,0.2577,15,98,7,0.5626,large,2.7e-15,2.7e-14,True,False,0.02,"Wilcoxon signed-rank, normal approximation",113,degraded
27 llama3.1:8b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.0833,0.0667,-0.0167,-0.075,0.0417,5,7,108,,n/a,0.774,1.0,False,,,"McNemar, exact binomial",12,no detected change
27 llama3.1:8b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
27 llama3.1:8b-q4_K_M t0,26 llama3.2:3b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.043,0.064,0.021,-0.0011,0.0452,21,27,72,-0.0764,negligible,0.502,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",48,no detected change
