====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:54
Run label              : 15 qwen2.5:7b-q4_K_M t0
Transcripts            : ..\results\text-only\15-qwen2_5_7b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_150321\transcripts.yaml
Run directory          : ..\results\text-only\15-qwen2_5_7b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_150321
System prompt          : ..\results\text-only\15-qwen2_5_7b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_150321\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : qwen2.5:7b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_150321.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    80	    13	   63.5	  0.62	   0.78	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  FAIL	    90	    10	   27.5	  0.68	   0.68	    7647	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    90	    15	   80.8	  0.00	   0.00	    6980	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  PASS	   100	    24	   18.4	  0.50	   0.39	    8021	     -	     -	     -	     -	    yes
00032     	unspecified               	  0.00	  FAIL	    90	    10	   95.2	  0.74	   0.74	    7283	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  FAIL	    89	     7	   54.7	  0.16	   0.17	    7191	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  FAIL	    90	    19	   23.5	  0.83	   1.00	    6917	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  FAIL	    90	     9	    9.7	  0.40	   0.40	    6877	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    80	    10	   69.8	  0.00	   0.00	    9298	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    90	    17	   91.6	  0.10	   0.10	    7512	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    19	   45.8	  0.62	   0.00	   10098	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    17	   81.7	  0.26	   0.00	    9186	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    89	     7	   54.7	  1.00	   1.00	    6284	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  PASS	   100	    18	   19.1	  0.61	   0.61	    6863	     -	     -	     -	     -	    yes
00088     	unspecified               	  0.11	  FAIL	    80	    15	   33.7	  0.48	   0.64	    6224	     -	     -	     -	     -	     NO
