baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
13 qwen2.5:3b-q4_K_M t0,14 qwen2.5:3b-q4_K_M t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.0417,0.0167,-0.025,-0.0583,0.0083,1,4,115,,n/a,0.375,1.0,False,,,"McNemar, exact binomial",5,no detected change
13 qwen2.5:3b-q4_K_M t0,14 qwen2.5:3b-q4_K_M t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.0417,0.0167,-0.025,-0.0583,0.0083,1,4,115,,n/a,0.375,1.0,False,,,"McNemar, exact binomial",5,no detected change
13 qwen2.5:3b-q4_K_M t0,14 qwen2.5:3b-q4_K_M t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9013,0.8981,-0.0032,-0.0093,0.0022,4,7,109,-0.0318,negligible,0.365,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",11,equivalent
13 qwen2.5:3b-q4_K_M t0,14 qwen2.5:3b-q4_K_M t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9013,0.8981,-0.0032,-0.0093,0.0022,4,7,109,-0.0318,negligible,0.365,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",11,equivalent
13 qwen2.5:3b-q4_K_M t0,14 qwen2.5:3b-q4_K_M t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.4961,0.4821,-0.014,-0.0624,0.0322,47,40,33,-0.0235,negligible,0.946,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",87,no detected change
13 qwen2.5:3b-q4_K_M t0,14 qwen2.5:3b-q4_K_M t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.4048,0.3906,-0.0141,-0.0584,0.0288,38,36,46,-0.021,negligible,0.692,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",74,no detected change
13 qwen2.5:3b-q4_K_M t0,14 qwen2.5:3b-q4_K_M t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.3053,0.3147,0.0094,-0.0208,0.0391,44,43,33,0.0302,negligible,0.71,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",87,no detected change
13 qwen2.5:3b-q4_K_M t0,14 qwen2.5:3b-q4_K_M t0.7/s42,answer_presence,reference answer present,response,higher,120,0.0417,0.0417,0.0,-0.025,0.025,1,1,118,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",2,no detected change
13 qwen2.5:3b-q4_K_M t0,14 qwen2.5:3b-q4_K_M t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
13 qwen2.5:3b-q4_K_M t0,14 qwen2.5:3b-q4_K_M t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0459,0.043,-0.0029,-0.0126,0.0063,15,16,89,-0.004,negligible,0.761,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",31,equivalent
