item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,The name of the campus TV station is KTV.,WYBC Yale Radio,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,9,1,41,9.0,9,12,3.6,94.3,2.34,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.8006,0.8,1.0,0.1994,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,Because it's responsible for maintaining air travel safety.,"maps, blackboards, and mental calculations",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,8,1,59,8.0,8,11,3.2,18.94,12.61,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.166,0.1667,0.166,0.0,0.0,0.0,0.0,5.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7142.0,7535.0,138.0,129.0,26.0,926.0,797.0,7201.0,1145.0,2247.0,172.0,172.0,1.0,11.0,327.0,79.7,1.0,1862.0,3006.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,"A child borrowed something from his mother when he was beyond saying ""twelve.""",salon,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,13,1,78,13.0,13,17,5.2,69.99,6.73,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.7705,0.5,0.5027,-0.2678,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6840.0,6971.0,193.0,186.0,28.0,947.0,761.0,6926.0,1091.0,2289.0,247.0,247.0,1.0,17.0,328.0,87.8,1.0,2168.0,3924.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,science,theology,True,False,False,0.7778,0.7778,opener_ends_with_full_stop;response_is_complete,opener_ends_with_full_stop;response_is_complete,1,1,7,1.0,1,1,0.4,121.22,-3.4,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_ends_with_full_stop, response_is_complete",7430.0,7514.0,21.0,29.0,25.0,807.0,778.0,7498.0,-625.0,271.0,85.0,85.0,1.0,2.0,324.0,91.7,1.0,390.0,650.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,It occurred during the 1950s and early 1960s.,1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,10,1,45,10.0,10,13,4.0,103.62,1.29,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7212.0,7277.0,214.0,205.0,24.0,985.0,780.0,7262.0,1022.0,2220.0,208.0,208.0,1.0,20.0,322.0,93.4,1.0,3916.0,4063.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"You're asking about creating a property by combining tampering with brass and bronze. It's important to clarify what you mean by that, as these materials aren't typically combined for practical purposes in construction or art. Could you provide more context?",hardness,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,40,3,258,13.333333333333334,13,53,16.0,51.6,9.38,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.8276,0.2857,0.6816,-0.146,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7119.0,7210.0,565.0,179.0,26.0,905.0,726.0,7193.0,782.0,1921.0,230.0,631.0,3.0,49.0,326.0,86.6,1.0,2671.0,13908.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,Different countries have different plant names.,single world-wide name,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,47,6.0,6,8,2.4,45.65,8.38,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.7822,1.0,0.7999,0.0177,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6620.0,6702.0,88.0,80.0,20.0,853.0,773.0,6686.0,-2770.0,-1775.0,137.0,137.0,1.0,8.0,324.0,90.0,1.0,-1668.0,2530.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,Houston typically experiences around 3 to 4 tornadoes annually.,49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,9,1,63,9.0,9,12,3.6,28.5,11.52,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.406,0.3333,0.406,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': ['3', '4'], 'name_spans': [], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,6422.0,6830.0,163.0,155.0,27.0,896.0,741.0,6490.0,890.0,1986.0,196.0,196.0,1.0,14.0,326.0,85.7,1.0,1590.0,3912.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,"Presidential inauguration in 2009, correct?",America the Beautiful,False,False,False,0.8889,0.8889,opener_ends_with_full_stop,opener_ends_with_full_stop,5,1,43,5.0,5,7,2.0,-1.28,14.68,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.2883,0.5,0.7271,0.4388,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': [], 'name_spans': [], 'atom_count': 1}",,,False,constraint violation: opener_ends_with_full_stop,9209.0,9299.0,151.0,143.0,26.0,940.0,797.0,9277.0,1151.0,2261.0,165.0,165.0,1.0,13.0,326.0,85.8,1.0,3129.0,3157.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,Government policy and decision-making process,doctrine of cabinet solidarity,False,False,False,0.6667,0.6667,opener_at_most_five_words;opener_ends_with_full_stop;response_is_complete,opener_at_most_five_words;opener_ends_with_full_stop;response_is_complete,6,1,45,6.0,6,8,2.4,3.34,14.28,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_at_most_five_words, opener_ends_with_full_stop, response_is_complete",6910.0,7260.0,79.0,87.0,26.0,879.0,792.0,6980.0,947.0,1971.0,140.0,140.0,1.0,7.0,326.0,88.2,1.0,1630.0,2658.0
00057,unspecified,False,00057.wav,Which political party was James Callaghan a member of?,what body has stated that physicians can also dispense drugs under specific conditions,The Food and Drug Administration (FDA) has stated that physicians can dispense drugs under specific conditions.,Labour,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,16,1,111,16.0,16,21,6.4,42.55,11.3,1.4444,1.2453,9.0,13.0,9.0,0.0,4.0,False,0.0,severe,0.8664,0.7273,0.0,-0.8664,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Drug Administration'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,9998.0,10094.0,233.0,224.0,26.0,980.0,756.0,10074.0,911.0,2192.0,298.0,298.0,1.0,21.0,329.0,90.0,1.0,2286.0,5828.0
00059,unspecified,False,00059.wav,What two architectural movements have come under criticism for their focus on individuality? ,since when was the rhine part of the aerial of hall shot culture,"The Rhine has been part of the Aerial Hall Shot culture since at least the 15th century, during which time it became an important trade and cultural center.",Modernism and Postmodernism,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,29,1,156,29.0,29,39,11.6,63.63,11.59,1.0,0.7582,13.0,13.0,13.0,0.0,0.0,False,0.0,severe,1.0,0.3889,0.0,-1.0,0.0714,0.0,0.0,3.0,0.3333,0.0832,"{'years': [], 'quantities': [], 'name_spans': ['Aerial Hall Shot'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,8930.0,9455.0,365.0,337.0,26.0,1077.0,740.0,9023.0,1062.0,2509.0,365.0,420.0,2.0,36.0,329.0,98.6,1.0,2050.0,8196.0
00063,unspecified,False,00063.wav,When was Yale Divinity School established?,when was yale divinity school established,Yale Divinity School was established in 1836.,1822,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,7,1,45,7.0,7,9,2.8,54.7,7.37,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,1.0,clean,1.0,0.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': ['1836'], 'quantities': [], 'name_spans': ['Yale Divinity School'], 'atom_count': 2}",,,False,constraint violation: opener_at_most_five_words,6193.0,6276.0,172.0,181.0,24.0,983.0,802.0,6258.0,1305.0,2509.0,217.0,217.0,1.0,15.0,323.0,86.9,1.0,2481.0,3970.0
00072,unspecified,False,00072.wav,Did the insurgency lead to any economic changes in Burma ?,did the insurgency lead to any economic changes in burma,"Yes, the Burmese War of Independence led to significant economic changes after Burma gained its independence from Britain on January 4, 1948.",an increase in economic sanctions against the Burmese Government.,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,22,1,141,22.0,22,29,8.8,38.38,13.37,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.5854,0.2143,0.5854,0.0,0.1429,0.0,0.0,7.0,0.2857,0.0785,"{'years': ['1948'], 'quantities': ['4'], 'name_spans': ['Burmese War'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,6283.0,7074.0,334.0,327.0,26.0,1103.0,776.0,6369.0,1010.0,2467.0,350.0,429.0,2.0,33.0,326.0,98.7,1.0,1771.0,9438.0
00088,unspecified,False,00088.wav, How many students does the University of Texas have?,how many students doesn't the university of texas have,"The University of Texas has over 50,000 students.","40,000",True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,8,1,49,8.0,8,11,3.2,50.67,8.18,0.1111,0.0392,9.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.7435,0.6,1.0,0.2565,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': ['50,000'], 'name_spans': [], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6144.0,6200.0,181.0,173.0,27.0,982.0,809.0,6181.0,666.0,1826.0,174.0,174.0,1.0,16.0,325.0,88.1,1.0,1984.0,3134.0
00089,unspecified,False,00089.wav,What company stated that Dell was preventing itself from innovating?,what company stated that del was preventing itself from innovating,Nokia claimed Del was hindering innovation.,CNET,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,43,6.0,6,8,2.4,31.55,10.35,0.1,0.0149,10.0,1.0,1.0,0.0,0.0,False,0.8333,mild,0.1465,0.2,0.0,-0.1465,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6863.0,6966.0,131.0,123.0,34.0,884.0,761.0,6952.0,977.0,2008.0,142.0,142.0,1.0,10.0,326.0,76.3,1.0,2319.0,2449.0
00093,unspecified,False,00093.wav,What decoy city was hit ,white de quoi city with hit,"It seems like there might be a typo in your request. Could you please rephrase it? I'm trying to help, but I need more information!","The Chew Magna decoy town was hit by half-a-dozen bombs on 2 December 1940, and over a thousand incendiaries on 3 January 1941",False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,25,3,131,8.333333333333334,11,33,10.0,93.47,2.29,0.8,0.3913,5.0,4.0,3.0,0.0,1.0,False,0.6667,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,4518.0,5119.0,367.0,146.0,24.0,920.0,774.0,4595.0,1195.0,2300.0,181.0,358.0,3.0,32.0,321.0,87.0,1.0,1894.0,6861.0
