====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:44
Run label              : 05 llama3.1:8b-q4_K_M t0
Transcripts            : ..\results\text-only\05-llama3_1_8b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_114924\transcripts.yaml
Run directory          : ..\results\text-only\05-llama3_1_8b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_114924
System prompt          : ..\results\text-only\05-llama3_1_8b_instruct_q4_K_M-t0_0-vosk_cpu\20260815_114924\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : llama3.1:8b-instruct-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_114924.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    90	    20	   61.3	  0.63	   0.78	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  FAIL	    90	    45	   12.9	  0.52	   0.52	    8520	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    80	    20	   80.8	  0.00	   0.00	    7229	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  FAIL	    90	    38	   51.5	  0.35	   0.20	    8203	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    90	    25	   76.6	  0.74	   0.74	    7273	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  FAIL	    90	    29	   49.2	  0.48	   0.50	    7202	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  PASS	   100	    29	   48.2	  0.62	   0.59	    7007	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  FAIL	    90	    25	   31.7	  0.57	   0.57	    7348	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    90	    26	   57.0	  0.14	   0.49	    9272	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    90	    40	   38.5	  0.54	   0.71	    8252	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    27	   17.7	  0.27	   0.00	   10304	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    21	   91.4	  0.56	   0.00	    9319	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    90	    31	   65.6	  0.75	   0.75	    6795	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	    35	   25.8	  1.00	   1.00	    7400	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.11	  FAIL	    90	    29	   46.3	  0.73	   1.00	    6374	     -	     -	     -	     -	     NO
