baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.0833,0.1417,0.0583,-0.0167,0.1333,14,7,99,,n/a,0.189,1.0,False,,,"McNemar, exact binomial",21,no detected change
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.0833,0.1417,0.0583,-0.0167,0.1333,14,7,99,,n/a,0.189,1.0,False,,,"McNemar, exact binomial",21,no detected change
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9033,0.9033,-0.0,-0.0108,0.0108,16,13,91,0.0236,negligible,0.944,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",29,equivalent
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9033,0.905,0.0017,-0.0083,0.0125,16,12,92,0.0317,negligible,0.662,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",28,equivalent
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.4972,0.4854,-0.0118,-0.0621,0.0339,61,54,5,-0.0188,negligible,0.732,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",115,no detected change
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.3916,0.3928,0.0012,-0.044,0.041,46,46,28,-0.0058,negligible,0.736,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",92,no detected change
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.1946,0.1769,-0.0178,-0.0414,0.0038,60,55,5,-0.0951,negligible,0.4,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",115,no detected change
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,answer_presence,reference answer present,response,higher,120,0.075,0.0917,0.0167,-0.025,0.0667,5,3,112,,n/a,0.727,1.0,False,,,"McNemar, exact binomial",8,no detected change
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0276,0.0317,0.0041,-0.0041,0.0133,26,21,73,0.0079,negligible,0.4,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",47,equivalent
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.152,0.1748,0.0228,-0.0259,0.0747,17,14,89,0.0105,negligible,0.398,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",31,no detected change
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0297,0.0338,0.0041,-0.0035,0.0122,27,20,73,0.0108,negligible,0.391,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",47,equivalent
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,flesch_reading_ease,reading ease,response,higher,120,54.0382,53.4716,-0.5667,-3.4708,2.5796,57,63,0,-0.0128,negligible,0.419,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",120,no detected change
09 llama3.1:8b-fp16 t0,10 llama3.1:8b-fp16 t0.7/s42,flesch_kincaid_grade,grade level,response,lower,120,9.3979,9.3976,-0.0003,-0.622,0.5704,56,63,1,-0.0116,negligible,0.558,1.0,False,False,0.5,"Wilcoxon signed-rank, normal approximation",119,no detected change
