baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.7083,0.6417,-0.0667,-0.1583,0.025,12,20,88,,n/a,0.216,1.0,False,,,"McNemar, chi-square with continuity correction",32,no detected change
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.7083,0.6417,-0.0667,-0.1583,0.025,12,20,88,,n/a,0.216,1.0,False,,,"McNemar, chi-square with continuity correction",32,no detected change
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9692,0.9625,-0.0067,-0.0175,0.0042,13,20,87,-0.0633,negligible,0.264,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",33,equivalent
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9692,0.9625,-0.0067,-0.0175,0.0042,13,20,87,-0.0633,negligible,0.264,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",33,equivalent
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.526,0.4639,-0.062,-0.1096,-0.0145,42,70,8,-0.1279,negligible,0.00766,0.0536,False,False,0.02,"Wilcoxon signed-rank, normal approximation",112,no detected change
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.4052,0.3664,-0.0387,-0.0848,0.0093,39,56,25,-0.0735,negligible,0.0715,0.358,False,False,0.02,"Wilcoxon signed-rank, normal approximation",95,no detected change
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.1578,0.1321,-0.0257,-0.0414,-0.0103,68,41,11,-0.1367,negligible,0.00428,0.0342,True,False,0.02,"Wilcoxon signed-rank, normal approximation",109,improved
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.05,0.0917,0.0417,-0.0002,0.0833,7,2,111,,n/a,0.18,0.719,False,,,"McNemar, exact binomial",9,no detected change
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.027,0.0364,0.0094,0.0037,0.0154,34,16,70,0.1012,negligible,0.00251,0.0226,True,True,0.02,"Wilcoxon signed-rank, normal approximation",50,improved
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1592,0.2174,0.0582,0.0089,0.1089,21,9,90,0.0864,negligible,0.0354,0.213,False,False,0.02,"Wilcoxon signed-rank, normal approximation",30,no detected change
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0279,0.039,0.011,0.0047,0.0178,33,17,70,0.1041,negligible,0.00201,0.0201,True,True,0.02,"Wilcoxon signed-rank, normal approximation",50,improved
21 gemma3:27b-q4_K_M t0,35 gemma3:27b-q4_K_M t0,flesch_reading_ease,reading ease,response,higher,120,53.1917,51.7503,-1.4413,-4.3924,1.3659,57,59,4,-0.0218,negligible,0.681,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",116,no detected change
