====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:58:07
Run label              : 35 gemma3:27b-q4_K_M t0
Transcripts            : ..\results\text-only\35-gemma3_27b_it_q4_K_M-t0_0-whisper-gpu\20260815_190001\transcripts.yaml
Run directory          : ..\results\text-only\35-gemma3_27b_it_q4_K_M-t0_0-whisper-gpu\20260815_190001
System prompt          : ..\results\text-only\35-gemma3_27b_it_q4_K_M-t0_0-whisper-gpu\20260815_190001\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : gemma3:27b-it-q4_K_M
  llm_temperature     : 0
  llm_seed            : None
  llm_max_tokens      : 150
  stt_engine          : whisper
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.205 (245/1198 words); strata: clean 65, mild 39, severe 16
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_190001.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.00	  PASS	   100	    26	   64.6	  0.00	   0.00	       -	     -	     -	     -	     -	    yes
00005     	unspecified               	  0.00	  PASS	   100	    28	   52.3	  0.00	   0.00	   10986	     -	     -	     -	     -	    yes
00012     	unspecified               	  0.20	  FAIL	    90	    37	   57.1	  0.00	   0.00	   11410	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.00	  FAIL	    90	    40	   34.7	  0.21	   0.21	   11894	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    90	    32	   61.2	  0.75	   0.75	   11299	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.00	  PASS	   100	    29	   33.7	  0.00	   0.00	   10953	     -	     -	     -	     -	    yes
00045     	unspecified               	  0.00	  PASS	   100	    33	   70.0	  0.58	   0.58	   10548	     -	     -	     -	     -	    yes
00046     	unspecified               	  0.00	  FAIL	    90	    29	   65.8	  0.57	   0.57	   10337	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.22	  PASS	   100	    48	   53.1	  0.73	   0.73	   14356	     -	     -	     -	     -	    yes
00054     	unspecified               	  0.00	  FAIL	    90	    44	   30.4	  0.39	   0.39	   11391	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  PASS	   100	    36	   32.5	  0.36	   0.00	   14268	     -	     -	     -	     -	    yes
00059     	unspecified               	  1.00	  PASS	   100	    47	   55.9	  0.65	   0.00	   13819	     -	     -	     -	     -	    yes
00063     	unspecified               	  0.00	  FAIL	    90	    41	   52.6	  0.74	   0.74	   10501	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  PASS	   100	    38	   38.1	  0.19	   0.19	   10809	     -	     -	     -	     -	    yes
00088     	unspecified               	  0.00	  FAIL	    90	    31	   49.0	  0.34	   0.34	   10239	     -	     -	     -	     -	     NO
00089     	unspecified               	  0.00	  PASS	   100	    45	   45.0	  0.13	   0.13	   11479	     -	     -	     -	     -	    yes
00093     	unspecified               	  0.00	  PASS	   100	    53	   64.4	  0.64	   0.64	    9668	     -	     -	     -	     -	    yes
00100     	unspecified               	  0.00	  FAIL	    90	    37	   66.3	  0.46	   0.46	   10495	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.17	  PASS	   100	    29	   27.8	  0.00	   0.17	   11039	     -	     -	     -	     -	    yes
00118     	unspecified               	  0.18	  PASS	   100	    32	   45.3	  0.37	   0.29	   11532	     -	     -	     -	     -	    yes
00124     	unspecified               	  0.11	  PASS	   100	    31	   35.3	  0.80	   0.80	   10214	     -	     -	     -	     -	    yes
00130     	unspecified               	  3.60	  FAIL	    90	    31	   92.6	  0.91	   0.00	   13547	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.00	  PASS	   100	    32	   45.3	  0.12	   0.12	   11422	     -	     -	     -	     -	    yes
00170     	unspecified               	  0.33	  PASS	   100	    21	   27.0	  0.51	   0.31	   10459	     -	     -	     -	     -	    yes
00178     	unspecified               	  0.00	  FAIL	    90	    39	   59.1	  0.56	   0.56	   12018	     -	     -	     -	     -	     NO
00181     	unspecified               	  0.00	  PASS	   100	    39	   52.5	  0.55	   0.55	   14348	     -	     -	     -	     -	    yes
00197     	unspecified               	  0.00	  PASS	   100	    38	   27.0	  0.38	   0.38	   14680	     -	     -	     -	     -	    yes
00201     	unspecified               	  0.17	  PASS	   100	    31	   57.2	  0.00	   0.00	   11779	     -	     -	     -	     -	    yes
00206     	unspecified               	  0.20	  PASS	   100	    30	   50.0	  0.32	   0.32	    9206	     -	     -	     -	     -	    yes
00208     	unspecified               	  0.25	  PASS	   100	    38	   62.6	  0.40	   0.33	   10535	     -	     -	     -	     -	    yes
00211     	unspecified               	  0.00	  PASS	   100	    39	   41.8	  0.48	   0.48	   14265	     -	     -	     -	     -	    yes
00233     	unspecified               	  0.12	  PASS	   100	    41	   73.3	  0.74	   0.74	   10432	     -	     -	     -	     -	    yes
00236     	unspecified               	  0.00	  FAIL	    90	    43	   56.5	  0.15	   0.15	   12750	     -	     -	     -	     -	     NO
00244     	unspecified               	  0.00	  PASS	   100	    36	   56.0	  0.72	   0.72	   12226	     -	     -	     -	     -	    yes
00245     	unspecified               	  0.00	  PASS	   100	    31	   59.9	  0.57	   0.57	   10510	     -	     -	     -	     -	    yes
