baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.0833,0.1,0.0167,0.0,0.0417,2,0,118,,n/a,0.5,1.0,False,,,"McNemar, exact binomial",2,no detected change
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.0833,0.1,0.0167,0.0,0.0417,2,0,118,,n/a,0.5,1.0,False,,,"McNemar, exact binomial",2,no detected change
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9033,0.9033,0.0,-0.0033,0.0033,2,2,116,0.0006,negligible,0.841,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",4,equivalent
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9033,0.9033,0.0,-0.0033,0.0033,2,2,116,0.0006,negligible,0.841,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",4,equivalent
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,request_coverage,coverage of recognized request,response,higher,120,0.4972,0.502,0.0047,-0.016,0.0237,58,33,29,0.0047,negligible,0.0648,0.648,False,False,0.02,"Wilcoxon signed-rank, normal approximation",91,no detected change
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,intent_coverage,coverage of intended question,response,higher,120,0.3916,0.3931,0.0015,-0.014,0.0166,42,25,53,0.0023,negligible,0.189,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",67,equivalent
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,echo_ratio,echo of the question,response,lower,120,0.1946,0.2007,0.006,-0.0013,0.0138,21,29,70,0.0067,negligible,0.184,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",50,equivalent
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,answer_presence,reference answer present,response,higher,120,0.075,0.0583,-0.0167,-0.0417,0.0,0,2,118,,n/a,0.5,1.0,False,,,"McNemar, exact binomial",2,no detected change
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0276,0.0263,-0.0013,-0.0046,0.002,7,14,99,-0.018,negligible,0.266,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",21,equivalent
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.152,0.1344,-0.0175,-0.0405,0.0001,2,6,112,-0.0227,negligible,0.0921,0.829,False,False,0.02,"Wilcoxon signed-rank, normal approximation",8,no detected change
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0297,0.0276,-0.0021,-0.0051,0.0004,7,14,99,-0.0189,negligible,0.154,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",21,equivalent
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,flesch_reading_ease,reading ease,response,higher,120,54.0382,53.8362,-0.2021,-1.6207,1.3134,30,27,63,-0.0108,negligible,0.994,1.0,False,True,2.0,"Wilcoxon signed-rank, normal approximation",57,equivalent
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,flesch_kincaid_grade,grade level,response,lower,120,9.3979,9.475,0.0771,-0.2476,0.4231,30,27,63,0.0008,negligible,0.99,1.0,False,True,0.5,"Wilcoxon signed-rank, normal approximation",57,equivalent
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,word_count,words,response,descriptive,120,31.6167,31.725,0.1083,-0.9585,1.2085,0,0,120,0.0179,negligible,0.92,,False,,,"Wilcoxon signed-rank, normal approximation",52,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,sentence_count,sentences,response,descriptive,120,2.1833,2.1917,0.0083,-0.0667,0.0833,0,0,120,0.0091,negligible,0.846,,False,,,"Wilcoxon signed-rank, normal approximation",18,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,opening_words,opening sentence length,response,descriptive,120,14.0,13.9167,-0.0833,-0.9502,0.7333,0,0,120,-0.0232,negligible,0.974,,False,,,"Wilcoxon signed-rank, normal approximation",22,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,mean_words_per_sentence,words per sentence,response,descriptive,120,14.7958,14.9931,0.1972,-0.4486,0.9751,0,0,120,-0.0064,negligible,0.374,,False,,,"Wilcoxon signed-rank, normal approximation",52,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,estimated_tokens,estimated tokens,response,descriptive,120,42.1417,42.2667,0.125,-1.2835,1.6002,0,0,120,0.0169,negligible,0.946,,False,,,"Wilcoxon signed-rank, normal approximation",52,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,12.6467,12.69,0.0433,-0.3834,0.4834,0,0,120,0.0179,negligible,0.924,,False,,,"Wilcoxon signed-rank, normal approximation",52,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,46.5546,42.0168,-4.5378,-6.8576,-2.5882,90,23,6,-0.413,medium,3.41e-09,1.37e-08,True,False,5.0,"Wilcoxon signed-rank, normal approximation",113,improved
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,lat_llm_ttft,time to first token (ms),runtime,lower,119,875.2521,874.0252,-1.2269,-13.7317,11.917,54,63,2,-0.0001,negligible,0.835,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,lat_llm_ttfc,time to first speakable chunk (ms),runtime,lower,119,1278.3613,1166.2269,-112.1345,-132.1185,-91.5139,104,15,0,-0.3582,medium,7.1e-17,4.26e-16,True,False,50.0,"Wilcoxon signed-rank, normal approximation",119,improved
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,lat_llm_eval,generation time (ms),runtime,lower,119,953.4454,699.1261,-254.3193,-287.321,-224.1649,114,5,0,-0.4675,medium,1.13e-19,9.02e-19,True,False,50.0,"Wilcoxon signed-rank, normal approximation",119,improved
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,lat_tts_first_chunk,first speech chunk synthesis (ms),runtime,lower,119,243.0,238.395,-4.605,-14.0592,4.488,60,58,1,-0.0158,negligible,0.86,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,lat_ttfa,time to first audio (ms),runtime,lower,119,1901.3782,1784.8739,-116.5042,-142.6508,-90.5105,107,12,0,-0.1561,small,1.55e-15,7.76e-15,True,False,100.0,"Wilcoxon signed-rank, normal approximation",119,improved
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,lat_tts_total,total synthesis (ms),runtime,lower,119,544.8824,541.1849,-3.6975,-19.8786,12.4569,69,50,0,-0.0094,negligible,0.305,0.914,False,True,50.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,lat_e2e_response_ready,"end to end, response ready (ms)",runtime,lower,119,8268.8824,8066.6891,-202.1933,-236.3954,-169.9899,108,11,0,-0.087,negligible,2.02e-18,1.41e-17,True,False,100.0,"Wilcoxon signed-rank, normal approximation",119,improved
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,llm_tokens_per_sec,generation throughput (tok/s),runtime,higher,119,41.6168,56.984,15.3672,15.0369,15.6731,119,0,0,1.0,large,2.91e-21,2.62e-20,True,False,5.0,"Wilcoxon signed-rank, normal approximation",119,improved
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,lat_stt,"recognition, control (ms)",runtime,descriptive,119,7472.2857,7473.4538,1.1681,-1.1347,3.4706,0,0,119,0.0011,negligible,0.577,,False,,,"Wilcoxon signed-rank, normal approximation",116,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,lat_stt_endpoint_delay,"endpoint delay, control (ms)",runtime,descriptive,119,375.6387,375.7899,0.1513,-0.8655,1.496,0,0,119,-0.0018,negligible,0.344,,False,,,"Wilcoxon signed-rank, normal approximation",81,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,lat_llm_first_chunk_fill,first chunk fill wait (ms),runtime,descriptive,119,403.1092,292.2017,-110.9076,-127.9355,-94.6805,0,0,119,-0.3659,medium,5.82e-20,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,llm_prompt_tokens,prompt tokens,runtime,descriptive,119,307.5042,307.5042,0.0,0.0,0.0,0,0,119,0.0,negligible,1.0,,False,,,Wilcoxon signed-rank (all differences zero),0,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,llm_eval_tokens,generated tokens,runtime,descriptive,119,39.7479,39.9832,0.2353,-1.042,1.5128,0,0,119,0.0217,negligible,0.675,,False,,,"Wilcoxon signed-rank, normal approximation",55,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,tts_audio_ms,synthesized audio (ms),runtime,descriptive,119,11345.605,11353.9412,8.3361,-360.1483,385.1328,0,0,119,0.0077,negligible,0.313,,False,,,"Wilcoxon signed-rank, normal approximation",116,descriptive
09 llama3.1:8b-fp16 t0,07 llama3.1:8b-q8_0 t0,check::answers_in_english,check: answers_in_english,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
