item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,University TV,WYBC Yale Radio,True,False,False,0.7778,0.7778,opener_ends_with_full_stop;response_is_complete,opener_ends_with_full_stop;response_is_complete,2,1,13,2.0,2,3,0.8,-48.99,20.59,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.2029,0.5,0.2498,0.0469,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_ends_with_full_stop, response_is_complete",,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,"""The Bureau ensured air travel safety.""","maps, blackboards, and mental calculations",True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,39,6.0,6,8,2.4,31.55,10.35,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.3348,0.4,0.3348,0.0,0.0,0.0,0.0,5.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7142.0,7518.0,92.0,79.0,18.0,949.0,870.0,7204.0,1144.0,2229.0,132.0,132.0,1.0,8.0,323.0,86.7,1.0,1862.0,2345.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,What he had to do with his mother when she was young is uncertain.,salon,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,14,1,66,14.0,14,19,5.6,89.9,4.2,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.374,0.5,0.2513,-0.1226,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6840.0,6957.0,158.0,152.0,19.0,1010.0,858.0,6924.0,1089.0,2274.0,171.0,171.0,1.0,16.0,324.0,101.0,1.0,2168.0,3018.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,The Silk Road,theology,True,False,False,0.7778,0.7778,opener_ends_with_full_stop;response_is_complete,opener_ends_with_full_stop;response_is_complete,3,1,13,3.0,3,4,1.2,119.19,-2.62,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The Silk Road'], 'atom_count': 1}",,,False,"constraint violation: opener_ends_with_full_stop, response_is_complete",7430.0,7509.0,43.0,49.0,19.0,923.0,874.0,7495.0,-619.0,395.0,87.0,87.0,1.0,4.0,320.0,91.5,1.0,390.0,847.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,1991-1945.,1315–1317,False,True,True,1.0,1.0,,,2,1,10,2.0,2,3,0.8,204.81,-14.81,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['1945', '1991'], 'quantities': [], 'name_spans': [], 'atom_count': 2}",,,True,,7212.0,7281.0,76.0,83.0,19.0,976.0,893.0,7266.0,1021.0,2160.0,159.0,159.0,1.0,7.0,318.0,91.1,1.0,3916.0,3192.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"""The resulting material is copper.""",hardness,False,True,True,1.0,1.0,,,5,1,35,5.0,5,7,2.0,32.56,9.96,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.0,0.0,0.132,0.132,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7119.0,7204.0,70.0,60.0,19.0,925.0,865.0,7189.0,783.0,1823.0,111.0,111.0,1.0,7.0,322.0,98.7,1.0,2671.0,1776.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,Yes,single world-wide name,False,False,False,0.7778,0.7778,opener_ends_with_full_stop;response_is_complete,opener_ends_with_full_stop;response_is_complete,1,1,3,1.0,1,1,0.4,121.22,-3.4,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_ends_with_full_stop, response_is_complete",6620.0,6721.0,11.0,18.0,19.0,879.0,861.0,6710.0,-2769.0,-1821.0,63.0,63.0,1.0,2.0,320.0,167.0,1.0,-1668.0,661.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,Two hundred forty-seven.,49.,True,True,True,1.0,1.0,,,4,1,24,4.0,4,5,1.6,75.88,3.67,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6422.0,6796.0,70.0,61.0,19.0,909.0,848.0,6500.0,888.0,1950.0,149.0,149.0,1.0,6.0,322.0,84.5,1.0,1590.0,1532.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,2009 Presidential Inauguration,America the Beautiful,False,False,False,0.7778,0.7778,opener_ends_with_full_stop;response_is_complete,opener_ends_with_full_stop;response_is_complete,3,1,30,3.0,3,5,1.2,-50.01,20.98,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.2894,0.6667,0.7271,0.4377,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': [], 'name_spans': ['Presidential Inauguration'], 'atom_count': 2}",,,False,"constraint violation: opener_ends_with_full_stop, response_is_complete",9209.0,9301.0,90.0,96.0,23.0,965.0,869.0,9278.0,1150.0,2259.0,140.0,140.0,1.0,7.0,322.0,77.3,1.0,3129.0,2589.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,"""What was the concept that took shape during your time as Prime Minister"" Stop.",doctrine of cabinet solidarity,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,14,1,79,14.0,14,19,5.6,83.85,5.04,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.5431,0.625,0.7242,0.1811,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Prime Minister'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,6910.0,7496.0,124.0,119.0,16.0,1039.0,920.0,6975.0,943.0,2204.0,218.0,218.0,1.0,17.0,322.0,136.5,1.0,1630.0,4063.0
