baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.0667,0.0833,0.0167,-0.0333,0.0667,6,4,110,,n/a,0.754,1.0,False,,,"McNemar, exact binomial",10,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.0667,0.0833,0.0167,-0.0333,0.0667,6,4,110,,n/a,0.754,1.0,False,,,"McNemar, exact binomial",10,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.8914,0.8924,0.001,-0.0106,0.0114,21,17,82,0.0311,negligible,0.988,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",38,equivalent
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.8914,0.8924,0.001,-0.0106,0.0114,21,17,82,0.0311,negligible,0.988,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",38,equivalent
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.4965,0.509,0.0124,-0.0465,0.0703,49,45,26,0.0219,negligible,0.731,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",94,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.3936,0.4225,0.0289,-0.0206,0.0793,43,31,46,0.0487,negligible,0.281,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",74,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.3948,0.3731,-0.0217,-0.0708,0.0303,52,39,29,-0.0208,negligible,0.293,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",91,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,answer_presence,reference answer present,response,higher,120,0.0333,0.0333,0.0,-0.025,0.025,1,1,118,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",2,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0083,0.0083,0.0,0.025,1,0,119,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.0454,0.0576,0.0122,-0.0039,0.0309,22,13,85,0.0454,negligible,0.161,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",35,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1116,0.1158,0.0042,-0.0248,0.0312,14,7,99,0.0412,negligible,0.496,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",21,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0459,0.0586,0.0128,-0.0037,0.0314,21,14,85,0.0444,negligible,0.0783,0.626,False,False,0.02,"Wilcoxon signed-rank, normal approximation",35,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,flesch_reading_ease,reading ease,response,higher,120,54.0216,53.0986,-0.923,-9.5431,9.3957,45,65,10,-0.0726,negligible,0.036,0.324,False,False,2.0,"Wilcoxon signed-rank, normal approximation",110,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,flesch_kincaid_grade,grade level,response,lower,120,8.4334,8.8061,0.3727,-1.1029,1.6535,48,62,10,0.1075,negligible,0.0198,0.198,False,False,0.5,"Wilcoxon signed-rank, normal approximation",110,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,word_count,words,response,descriptive,120,12.6667,13.3583,0.6917,-1.2419,2.4835,0,0,120,0.0744,negligible,0.0681,,False,,,"Wilcoxon signed-rank, normal approximation",97,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,sentence_count,sentences,response,descriptive,120,1.1333,1.1417,0.0083,-0.075,0.0919,0,0,120,-0.0135,negligible,0.852,,False,,,"Wilcoxon signed-rank, normal approximation",18,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,opening_words,opening sentence length,response,descriptive,120,11.15,11.9917,0.8417,-0.2417,1.925,0,0,120,0.0572,negligible,0.122,,False,,,"Wilcoxon signed-rank, normal approximation",95,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,mean_words_per_sentence,words per sentence,response,descriptive,120,10.9028,11.8861,0.9833,-0.1042,2.0278,0,0,120,0.0839,negligible,0.0702,,False,,,"Wilcoxon signed-rank, normal approximation",98,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,estimated_tokens,estimated tokens,response,descriptive,120,16.8917,17.8417,0.95,-1.6167,3.325,0,0,120,0.0755,negligible,0.061,,False,,,"Wilcoxon signed-rank, normal approximation",99,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,5.0667,5.3433,0.2767,-0.4968,0.9934,0,0,120,0.0744,negligible,0.0608,,False,,,"Wilcoxon signed-rank, normal approximation",97,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,26.2017,26.395,0.1933,-0.4958,0.8742,37,51,31,0.0898,negligible,0.346,1.0,False,True,5.0,"Wilcoxon signed-rank, normal approximation",88,equivalent
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,lat_llm_ttft,time to first token (ms),runtime,lower,119,765.6387,763.6723,-1.9664,-10.345,6.7069,57,61,1,0.0088,negligible,0.89,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,lat_llm_ttfc,time to first speakable chunk (ms),runtime,lower,119,934.8235,933.9664,-0.8571,-17.9681,16.342,64,55,0,0.0116,negligible,0.969,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,lat_llm_eval,generation time (ms),runtime,lower,119,199.9496,205.1933,5.2437,-18.513,28.1601,53,65,1,0.043,negligible,0.238,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,lat_tts_first_chunk,first speech chunk synthesis (ms),runtime,lower,119,215.0672,223.8992,8.8319,-7.7485,24.5548,50,69,0,0.0574,negligible,0.202,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,lat_ttfa,time to first audio (ms),runtime,lower,119,1529.6303,1538.7815,9.1513,-22.1534,40.1937,54,63,2,0.0097,negligible,0.502,1.0,False,True,100.0,"Wilcoxon signed-rank, normal approximation",117,equivalent
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,lat_tts_total,total synthesis (ms),runtime,lower,119,246.7143,261.2605,14.5462,-14.8908,42.3933,46,73,0,0.0953,negligible,0.0433,0.346,False,True,50.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,lat_e2e_response_ready,"end to end, response ready (ms)",runtime,lower,119,7622.6723,7636.2101,13.5378,-14.1714,42.6565,46,70,3,0.0098,negligible,0.0113,0.102,False,True,100.0,"Wilcoxon signed-rank, normal approximation",116,equivalent
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,llm_tokens_per_sec,generation throughput (tok/s),runtime,higher,119,88.1655,89.0202,0.8546,-1.1933,3.0741,60,58,1,0.0276,negligible,0.591,1.0,False,True,5.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,lat_stt,"recognition, control (ms)",runtime,descriptive,119,7470.1429,7473.5294,3.3866,1.3025,5.6221,0,0,119,0.0022,negligible,0.000661,,False,,,"Wilcoxon signed-rank, normal approximation",108,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,lat_stt_endpoint_delay,"endpoint delay, control (ms)",runtime,descriptive,119,375.479,376.563,1.084,0.2689,2.0508,0,0,119,0.0033,negligible,0.0264,,False,,,"Wilcoxon signed-rank, normal approximation",82,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,lat_llm_first_chunk_fill,first chunk fill wait (ms),runtime,descriptive,119,169.1849,170.2941,1.1092,-12.1933,14.0863,0,0,119,0.0085,negligible,0.705,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,llm_prompt_tokens,prompt tokens,runtime,descriptive,119,326.5042,326.5042,0.0,0.0,0.0,0,0,119,0.0,negligible,1.0,,False,,,Wilcoxon signed-rank (all differences zero),0,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,llm_eval_tokens,generated tokens,runtime,descriptive,119,18.0924,18.7227,0.6303,-1.6809,2.8155,0,0,119,0.053,negligible,0.136,,False,,,"Wilcoxon signed-rank, normal approximation",101,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,tts_audio_ms,synthesized audio (ms),runtime,descriptive,119,4822.7983,5005.042,182.2437,-560.3912,885.213,0,0,119,0.0749,negligible,0.0771,,False,,,"Wilcoxon signed-rank, normal approximation",119,descriptive
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,check::answers_in_english,check: answers_in_english,adherence,higher,87,0.9885,1.0,0.0115,0.0,0.0345,1,0,86,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",1,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,check::at_most_two_detail_sentences,check: at_most_two_detail_sentences,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,check::brief_enough_for_speech,check: brief_enough_for_speech,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,check::no_follow_up_question,check: no_follow_up_question,adherence,higher,120,0.9,0.9167,0.0167,-0.0417,0.0669,7,5,108,,n/a,0.774,1.0,False,,,"McNemar, exact binomial",12,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,check::no_markup_in_spoken_text,check: no_markup_in_spoken_text,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,check::no_simulated_dialogue,check: no_simulated_dialogue,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,check::non_empty,check: non_empty,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,check::not_truncated_at_token_cap,check: not_truncated_at_token_cap,adherence,higher,120,1.0,1.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
11 qwen2.5:1.5b-q4_K_M t0,12 qwen2.5:1.5b-q4_K_M t0.7/s42,check::opener_at_most_five_words,check: opener_at_most_five_words,adherence,higher,120,0.125,0.175,0.05,-0.0167,0.1167,11,5,104,,n/a,0.21,1.0,False,,,"McNemar, exact binomial",16,no detected change
