baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
23 qwen2.5:32b-q4_K_M t0,21 gemma3:27b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.65,0.7083,0.0583,-0.05,0.1667,26,19,75,,n/a,0.371,1.0,False,,,"McNemar, chi-square with continuity correction",45,no detected change
23 qwen2.5:32b-q4_K_M t0,21 gemma3:27b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.65,0.7083,0.0583,-0.05,0.1667,26,19,75,,n/a,0.371,1.0,False,,,"McNemar, chi-square with continuity correction",45,no detected change
23 qwen2.5:32b-q4_K_M t0,21 gemma3:27b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9612,0.9692,0.008,-0.0046,0.0203,31,19,70,0.0737,negligible,0.171,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",50,equivalent
23 qwen2.5:32b-q4_K_M t0,21 gemma3:27b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9612,0.9692,0.008,-0.0046,0.0203,31,19,70,0.0737,negligible,0.171,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",50,equivalent
23 qwen2.5:32b-q4_K_M t0,21 gemma3:27b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.4505,0.526,0.0755,0.0146,0.1359,70,45,5,0.1486,small,0.00972,0.0778,False,False,0.02,"Wilcoxon signed-rank, normal approximation",115,no detected change
23 qwen2.5:32b-q4_K_M t0,21 gemma3:27b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.3665,0.4052,0.0387,-0.0061,0.085,57,40,23,0.0837,negligible,0.0861,0.344,False,False,0.02,"Wilcoxon signed-rank, normal approximation",97,no detected change
23 qwen2.5:32b-q4_K_M t0,21 gemma3:27b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.2714,0.1578,-0.1136,-0.1489,-0.079,88,29,3,-0.3999,medium,1.47e-09,1.47e-08,True,False,0.02,"Wilcoxon signed-rank, normal approximation",117,improved
23 qwen2.5:32b-q4_K_M t0,21 gemma3:27b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.0417,0.05,0.0083,-0.0333,0.05,4,3,113,,n/a,1.0,1.0,False,,,"McNemar, exact binomial",7,no detected change
23 qwen2.5:32b-q4_K_M t0,21 gemma3:27b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
23 qwen2.5:32b-q4_K_M t0,21 gemma3:27b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0427,0.027,-0.0157,-0.0282,-0.0042,20,32,68,0.0047,negligible,0.0254,0.152,False,False,0.02,"Wilcoxon signed-rank, normal approximation",52,no detected change
