item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,It's called CampusTV.,WYBC Yale Radio,True,True,True,1.0,1.0,,,3,1,21,3.0,3,4,1.2,90.99,1.31,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,Because it ensures air travel safety.,"maps, blackboards, and mental calculations",True,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,6,1,37,6.0,6,8,2.4,45.65,8.38,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.165,0.2,0.165,0.0,0.0,0.0,0.0,5.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7142.0,7389.0,103.0,93.0,26.0,816.0,723.0,7202.0,1145.0,2101.0,137.0,137.0,1.0,8.0,327.0,77.5,1.0,1862.0,2182.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,He bought candy from a convenience store.,salon,False,False,False,0.8889,0.8889,opener_at_most_five_words,opener_at_most_five_words,7,1,41,7.0,7,9,2.8,78.87,4.0,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6840.0,6936.0,105.0,96.0,25.0,824.0,728.0,6922.0,1083.0,2056.0,145.0,145.0,1.0,9.0,328.0,85.4,1.0,2168.0,2275.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,industrialization,theology,True,False,False,0.7778,0.7778,opener_ends_with_full_stop;response_is_complete,opener_ends_with_full_stop;response_is_complete,1,1,17,1.0,1,3,0.4,-301.78,55.6,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_ends_with_full_stop, response_is_complete",7430.0,7513.0,54.0,63.0,33.0,871.0,808.0,7500.0,-619.0,375.0,118.0,118.0,1.0,4.0,324.0,73.1,1.0,390.0,1300.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,"The Great Famine occurred during the 19th century, specifically from 1845 to 1852.",1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,14,1,82,14.0,14,19,5.6,71.77,6.73,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7285,0.2,0.7285,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['1845', '1852'], 'quantities': [], 'name_spans': ['The Great Famine'], 'atom_count': 3}",,,False,constraint violation: opener_at_most_five_words,7212.0,7280.0,289.0,298.0,25.0,998.0,700.0,7263.0,1027.0,2424.0,394.0,394.0,1.0,28.0,322.0,96.6,1.0,3916.0,7767.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,A property that combines tampering with brass or bronze creates. .. an alloy!,hardness,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,12,3,77,4.0,10,16,4.8,75.88,3.67,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.8276,0.7143,0.6835,-0.1442,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,7119.0,7208.0,179.0,144.0,25.0,908.0,764.0,7188.0,783.0,1900.0,205.0,250.0,2.0,16.0,326.0,89.2,1.0,2671.0,4516.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,That's correct; plants were often called differently across various cultures.,single world-wide name,False,False,False,0.8,0.8,opener_at_most_five_words;answers_in_english,opener_at_most_five_words;answers_in_english,10,1,77,10.0,10,13,4.0,35.95,10.73,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.3933,0.25,0.389,-0.0043,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,"constraint violation: opener_at_most_five_words, answers_in_english",6620.0,6721.0,162.0,55.0,26.0,801.0,746.0,6706.0,-2769.0,-1872.0,92.0,240.0,2.0,14.0,324.0,86.4,1.0,-1668.0,4167.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,Houston typically experiences around 10-20 tornadoes annually.,49.,True,False,False,0.8,0.8,opener_at_most_five_words;answers_in_english,opener_at_most_five_words;answers_in_english,8,1,62,8.0,8,11,3.2,18.94,12.61,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.408,0.25,0.408,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': ['10', '20'], 'name_spans': [], 'atom_count': 2}",,,False,"constraint violation: opener_at_most_five_words, answers_in_english",6422.0,6906.0,169.0,162.0,26.0,945.0,783.0,6490.0,885.0,2060.0,226.0,226.0,1.0,15.0,326.0,88.5,1.0,1590.0,4504.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,"It seems you're asking about the year 2009's presidential inauguration. The correct phrase is ""two thousand and nine.""",America the Beautiful,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,19,2,118,9.5,11,25,7.6,68.07,6.13,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.6728,0.4167,0.7271,0.0543,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': ['2009'], 'quantities': [], 'name_spans': [], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,9209.0,9302.0,313.0,194.0,25.0,959.0,765.0,9285.0,1151.0,2351.0,237.0,337.0,2.0,28.0,326.0,89.3,1.0,3129.0,6559.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,Prime Minister's tenure concept,doctrine of cabinet solidarity,False,False,False,0.7778,0.7778,opener_ends_with_full_stop;response_is_complete,opener_ends_with_full_stop;response_is_complete,4,1,31,4.0,4,5,1.6,33.58,9.57,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.4328,1.0,0.4941,0.0613,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Prime Minister'], 'atom_count': 1}",,,False,"constraint violation: opener_ends_with_full_stop, response_is_complete",6910.0,7263.0,77.0,86.0,31.0,883.0,797.0,6979.0,943.0,1969.0,138.0,138.0,1.0,6.0,326.0,77.0,1.0,1630.0,1985.0
