====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:45
Run label              : 06 llama3.1:8b-q4_K_M t0.7/s42
Transcripts            : ..\results\text-only\06-llama3_1_8b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_120554\transcripts.yaml
Run directory          : ..\results\text-only\06-llama3_1_8b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_120554
System prompt          : ..\results\text-only\06-llama3_1_8b_instruct_q4_K_M-t0.7_s42-vosk_cpu\20260815_120554\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : llama3.1:8b-instruct-q4_K_M
  llm_temperature     : 0.7
  llm_seed            : 42
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_120554.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  FAIL	    90	    29	   57.9	  0.63	   0.78	       -	     -	     -	     -	     -	     NO
00005     	unspecified               	  0.08	  FAIL	    90	    35	   51.3	  0.34	   0.34	    8260	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    90	    27	   83.5	  0.00	   0.00	    7299	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  FAIL	    90	    39	   24.4	  0.34	   0.20	    8359	     -	     -	     -	     -	     NO
00032     	unspecified               	  0.00	  FAIL	    90	    33	   47.7	  0.74	   0.74	    7276	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  FAIL	    90	    26	   27.7	  0.48	   0.51	    7180	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  FAIL	    90	    26	   17.9	  0.41	   0.38	    7154	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  FAIL	    90	    22	   22.6	  0.42	   0.42	    7255	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    90	    29	   52.1	  0.14	   0.49	    9295	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    90	    29	   43.2	  0.56	   0.59	    8100	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  FAIL	    90	    29	   25.8	  0.37	   0.00	   10368	     -	     -	     -	     -	     NO
00059     	unspecified               	  1.00	  FAIL	    90	    15	   92.1	  0.43	   0.00	    9359	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    90	    29	   46.3	  0.73	   0.73	    6822	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  FAIL	    90	    33	   28.6	  0.42	   0.42	    7240	     -	     -	     -	     -	     NO
00088     	unspecified               	  0.11	  FAIL	    90	    21	   67.3	  1.00	   1.00	    6267	     -	     -	     -	     -	     NO
00089     	unspecified               	  0.10	  FAIL	    90	    21	   62.8	  0.15	   0.14	    6976	     -	     -	     -	     -	     NO
00093     	unspecified               	  0.80	  FAIL	    90	    44	   68.9	  0.36	   0.30	    5763	     -	     -	     -	     -	     NO
00100     	unspecified               	  0.43	  FAIL	    90	    29	   94.9	  0.74	   1.00	    6452	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.08	  FAIL	    90	    25	   72.3	  0.32	   0.32	    7920	     -	     -	     -	     -	     NO
00118     	unspecified               	  0.27	  PASS	   100	    44	   74.7	  0.68	   0.53	    8116	     -	     -	     -	     -	    yes
00124     	unspecified               	  0.11	  PASS	   100	    33	   36.3	  0.18	   0.19	    6590	     -	     -	     -	     -	    yes
00130     	unspecified               	  3.60	  FAIL	    90	    35	   54.8	  0.39	   0.00	    9706	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.35	  FAIL	    80	    27	   38.4	  0.35	   0.41	    7757	     -	     -	     -	     -	     NO
00170     	unspecified               	  0.33	  FAIL	    90	    26	    6.1	  0.77	   1.00	    7171	     -	     -	     -	     -	     NO
00178     	unspecified               	  0.11	  FAIL	    90	    50	   46.1	  0.84	   1.00	    8885	     -	     -	     -	     -	     NO
00181     	unspecified               	  0.07	  FAIL	    90	    42	   55.6	  0.45	   0.72	   10993	     -	     -	     -	     -	     NO
00197     	unspecified               	  0.17	  FAIL	    90	    59	   44.9	  0.41	   0.50	   10650	     -	     -	     -	     -	     NO
00201     	unspecified               	  0.42	  PASS	   100	    27	   55.3	  0.16	   0.00	    7874	     -	     -	     -	     -	    yes
00206     	unspecified               	  0.20	  FAIL	    90	    43	   37.5	  0.64	   0.64	    5855	     -	     -	     -	     -	     NO
00208     	unspecified               	  0.33	  FAIL	    90	    23	   48.0	  0.58	   0.50	    6986	     -	     -	     -	     -	     NO
00211     	unspecified               	  0.08	  FAIL	    90	    32	   53.2	  0.38	   0.38	   10623	     -	     -	     -	     -	     NO
00233     	unspecified               	  0.12	  PASS	   100	    22	   91.7	  0.73	   0.73	    6029	     -	     -	     -	     -	    yes
00236     	unspecified               	  0.14	  PASS	   100	    40	   57.5	  0.32	   0.32	    8850	     -	     -	     -	     -	    yes
00244     	unspecified               	  0.00	  FAIL	    90	    28	   44.6	  0.58	   0.58	    8094	     -	     -	     -	     -	     NO
00245     	unspecified               	  0.22	  FAIL	    90	    19	   85.9	  0.59	   0.36	    6822	     -	     -	     -	     -	     NO
00259     	unspecified               	  0.00	  PASS	   100	    30	   64.7	  0.39	   0.39	    7335	     -	     -	     -	     -	    yes
00261     	unspecified               	  0.15	  FAIL	    90	    48	   29.4	  0.58	   0.58	    7715	     -	     -	     -	     -	     NO
00266     	unspecified               	  0.29	  FAIL	    90	    26	   21.0	  0.13	   0.00	   11212	     -	     -	     -	     -	     NO
00267     	unspecified               	  0.29	  FAIL	    90	    30	   89.5	  0.64	   0.46	    6495	     -	     -	     -	     -	     NO
00271     	unspecified               	  0.33	  PASS	   100	    38	   42.6	  0.35	   0.29	    8314	     -	     -	     -	     -	    yes
00290     	unspecified               	  0.33	  FAIL	    90	    31	   65.6	  0.30	   0.29	    5876	     -	     -	     -	     -	     NO
00298     	unspecified               	  0.00	  FAIL	    90	    30	   15.7	  1.00	   1.00	    6050	     -	     -	     -	     -	     NO
00305     	unspecified               	  0.92	  FAIL	    90	    33	   72.6	  0.37	   0.00	    7913	     -	     -	     -	     -	     NO
