====================================================================================================
                        LLM RESPONSE EVALUATION REPORT
====================================================================================================
Generated on           : 2026-08-15 23:57:47
Run label              : 08 llama3.1:8b-q8_0 t0.7/s42
Transcripts            : ..\results\text-only\08-llama3_1_8b_instruct_q8_0-t0.7_s42-vosk_cpu\20260815_130924\transcripts.yaml
Run directory          : ..\results\text-only\08-llama3_1_8b_instruct_q8_0-t0.7_s42-vosk_cpu\20260815_130924
System prompt          : ..\results\text-only\08-llama3_1_8b_instruct_q8_0-t0.7_s42-vosk_cpu\20260815_130924\system_prompt.txt
Constraint spec        : short_opener_en (C:\Workspace\etap\etap-speech-assistant-main\evaluation\rubrics\constraints_short_opener.yaml)
Rubric                 : (judge tier not run)
Items evaluated        : 120

Generating configuration (from config_used.yaml):
  ollama_model        : llama3.1:8b-instruct-q8_0
  llm_temperature     : 0.7
  llm_seed            : 42
  llm_max_tokens      : 150
  stt_engine          : vosk
  tts_engine          : piper
  mode                : cpu

Tiers executed:
  tier 0 constraints and readability: 15 checks from short_opener_en, token cap 150
  input fidelity (recognizer)       : reference text for 120/120 item(s), corpus WER 0.350 (425/1215 words); strata: mild 66, severe 37, clean 17
  tier 1 relevance                  : IDF over 120 items, reference measures for 120 item(s) from metadata.csv (32 marked unanswerable in the source, scored against a plausible answer)
  runtime cost                      : 119/120 item(s) timed from latency_log_20260815_130924.csv, 1 warm-up item(s) excluded (00004)
  tier 2 audit atoms                : deterministic extraction (always on)
  tier 2 self-consistency           : off (selfcheck_samples = 0)
  tier 2 atomic factual precision   : off (fact_precision not set)
  tier 3 rubric grading             : off (no judge model)
  tier 4 reliability and calibration: off (no human annotations)

Acceptance policy (predeclare this before measurement):
  min_quality_composite       : 3.5
  min_safety_score            : 4.0
  require_constraint_pass     : True
  strict_constraints          : True
====================================================================================================

1. PER-ITEM SCORES
====================================================================================================
Item      	Category                  	   WER	 Adher	  Chk%	 Words	    FRE	 Cover	 CovOri	  E2E ms	 Incon	  Fact	  Qual	  Safe	 Accept
----------------------------------------------------------------------------------------------------
00004     	unspecified               	  0.22	  PASS	   100	    32	   45.2	  0.00	   0.00	       -	     -	     -	     -	     -	    yes
00005     	unspecified               	  0.08	  FAIL	    90	    35	   29.5	  0.47	   0.47	    8278	     -	     -	     -	     -	     NO
00012     	unspecified               	  0.50	  FAIL	    80	    12	   67.8	  0.00	   0.00	    7075	     -	     -	     -	     -	     NO
00030     	unspecified               	  0.25	  PASS	   100	    26	   60.2	  0.48	   0.35	    8173	     -	     -	     -	     -	    yes
00032     	unspecified               	  0.00	  FAIL	    90	    36	   49.9	  0.74	   0.74	    7276	     -	     -	     -	     -	     NO
00035     	unspecified               	  0.20	  FAIL	    90	    32	   63.8	  0.66	   0.50	    7179	     -	     -	     -	     -	     NO
00045     	unspecified               	  0.22	  FAIL	    90	    26	   50.5	  0.63	   0.60	    7263	     -	     -	     -	     -	     NO
00046     	unspecified               	  0.00	  FAIL	    90	    58	   25.3	  0.56	   0.56	    8118	     -	     -	     -	     -	     NO
00047     	unspecified               	  0.33	  FAIL	    90	    32	   69.0	  0.15	   0.48	    9299	     -	     -	     -	     -	     NO
00054     	unspecified               	  0.30	  FAIL	    90	    35	   29.5	  0.33	   0.47	    8202	     -	     -	     -	     -	     NO
00057     	unspecified               	  1.44	  PASS	   100	    24	   25.5	  0.38	   0.00	   10419	     -	     -	     -	     -	    yes
00059     	unspecified               	  1.00	  FAIL	    90	    25	   72.3	  0.59	   0.00	    9616	     -	     -	     -	     -	     NO
00063     	unspecified               	  0.00	  FAIL	    90	    38	   49.3	  1.00	   1.00	    7069	     -	     -	     -	     -	     NO
00072     	unspecified               	  0.00	  PASS	   100	    32	   37.3	  0.59	   0.59	    7329	     -	     -	     -	     -	    yes
00088     	unspecified               	  0.11	  FAIL	    90	    42	   47.6	  0.72	   1.00	    6850	     -	     -	     -	     -	     NO
00089     	unspecified               	  0.10	  PASS	   100	    39	   39.6	  0.16	   0.30	    7670	     -	     -	     -	     -	    yes
00093     	unspecified               	  0.80	  FAIL	    90	    17	   58.9	  0.36	   0.30	    5330	     -	     -	     -	     -	     NO
00100     	unspecified               	  0.43	  FAIL	    90	    35	   61.0	  0.47	   0.73	    6751	     -	     -	     -	     -	     NO
00113     	unspecified               	  0.08	  FAIL	    90	    17	   85.1	  0.32	   0.32	    7914	     -	     -	     -	     -	     NO
00118     	unspecified               	  0.27	  FAIL	    90	    51	   78.4	  0.84	   0.54	    8636	     -	     -	     -	     -	     NO
00124     	unspecified               	  0.11	  FAIL	    90	    36	   34.9	  0.61	   0.62	    6796	     -	     -	     -	     -	     NO
00130     	unspecified               	  3.60	  FAIL	    90	    30	   53.4	  0.36	   0.00	    9726	     -	     -	     -	     -	     NO
00149     	unspecified               	  0.35	  FAIL	    90	    47	   39.7	  0.65	   0.42	    8429	     -	     -	     -	     -	     NO
00170     	unspecified               	  0.33	  FAIL	    90	    30	   16.8	  0.76	   1.00	    7387	     -	     -	     -	     -	     NO
00178     	unspecified               	  0.11	  FAIL	    90	    56	   48.9	  0.84	   1.00	    8976	     -	     -	     -	     -	     NO
00181     	unspecified               	  0.07	  FAIL	    90	    41	   60.9	  0.45	   0.72	   11156	     -	     -	     -	     -	     NO
00197     	unspecified               	  0.17	  FAIL	    90	    38	   18.4	  0.41	   0.20	   10662	     -	     -	     -	     -	     NO
00201     	unspecified               	  0.42	  FAIL	    90	    42	   46.5	  0.30	   0.14	    8223	     -	     -	     -	     -	     NO
00206     	unspecified               	  0.20	  FAIL	    90	    44	   38.1	  0.31	   0.32	    6185	     -	     -	     -	     -	     NO
00208     	unspecified               	  0.33	  FAIL	    90	    44	   67.0	  0.80	   0.50	    7603	     -	     -	     -	     -	     NO
00211     	unspecified               	  0.08	  FAIL	    90	    63	   40.5	  0.47	   0.47	   11288	     -	     -	     -	     -	     NO
00233     	unspecified               	  0.12	  FAIL	    90	    64	   54.1	  0.72	   0.72	    7197	     -	     -	     -	     -	     NO
00236     	unspecified               	  0.14	  FAIL	    90	    34	   57.9	  0.50	   0.50	    8724	     -	     -	     -	     -	     NO
00244     	unspecified               	  0.00	  FAIL	    90	    36	   40.5	  0.58	   0.58	    8428	     -	     -	     -	     -	     NO
00245     	unspecified               	  0.22	  FAIL	    80	    25	   56.2	  0.38	   0.15	    7283	     -	     -	     -	     -	     NO
00259     	unspecified               	  0.00	  FAIL	    90	    44	   84.3	  0.61	   0.61	    7571	     -	     -	     -	     -	     NO
00261     	unspecified               	  0.15	  FAIL	    90	    44	   35.3	  0.58	   0.58	    7702	     -	     -	     -	     -	     NO
00266     	unspecified               	  0.29	  FAIL	    80	    26	   66.7	  0.00	   0.00	   11241	     -	     -	     -	     -	     NO
00267     	unspecified               	  0.29	  FAIL	    90	    41	   69.2	  0.63	   0.45	    6917	     -	     -	     -	     -	     NO
00271     	unspecified               	  0.33	  FAIL	    90	    53	   34.1	  0.79	   0.64	    8644	     -	     -	     -	     -	     NO
00290     	unspecified               	  0.33	  FAIL	    90	    55	   52.9	  0.59	   0.61	    6227	     -	     -	     -	     -	     NO
00298     	unspecified               	  0.00	  FAIL	    90	    52	   29.8	  1.00	   1.00	    6557	     -	     -	     -	     -	     NO
00305     	unspecified               	  0.92	  PASS	   100	    37	   48.0	  0.37	   0.00	    8233	     -	     -	     -	     -	    yes
00311     	unspecified               	  0.69	  FAIL	    90	    29	   63.8	  0.42	   0.29	    9867	     -	     -	     -	     -	     NO
00325     	unspecified               	  0.10	  PASS	   100	    21	   55.2	  0.52	   0.25	    8240	     -	     -	     -	     -	    yes
00326     	unspecified               	  0.42	  FAIL	    80	    20	   72.3	  0.00	   0.00	    9267	     -	     -	     -	     -	     NO
00327     	unspecified               	  0.25	  FAIL	    90	    29	   43.3	  0.66	   0.33	    7490	     -	     -	     -	     -	     NO
00335     	unspecified               	  1.17	  FAIL	    90	    29	   37.5	  0.50	   0.00	    7605	     -	     -	     -	     -	     NO
00352     	unspecified               	  1.00	  FAIL	    90	    21	   79.3	  0.53	   0.00	    9684	     -	     -	     -	     -	     NO
00357     	unspecified               	  0.43	  FAIL	    90	    35	   71.7	  0.51	   0.47	    6818	     -	     -	     -	     -	     NO
00366     	unspecified               	  0.55	  FAIL	    90	    27	   83.5	  0.45	   0.35	   10239	     -	     -	     -	     -	     NO
00369     	unspecified               	  0.42	  PASS	   100	    38	   53.7	  0.15	   0.33	    7898	     -	     -	     -	     -	    yes
00382     	unspecified               	  0.38	  FAIL	    90	    35	   57.2	  0.53	   0.31	    7265	     -	     -	     -	     -	     NO
00389     	unspecified               	  1.20	  FAIL	    90	    23	   55.4	  0.32	   0.00	    8146	     -	     -	     -	     -	     NO
00394     	unspecified               	  0.20	  PASS	   100	    24	   74.8	  0.72	   0.53	    6633	     -	     -	     -	     -	    yes
00406     	unspecified               	  0.08	  FAIL	    90	    26	   34.0	  0.60	   0.49	    8098	     -	     -	     -	     -	     NO
00417     	unspecified               	  0.20	  FAIL	    90	    60	   76.6	  0.23	   0.38	   10476	     -	     -	     -	     -	     NO
00422     	unspecified               	  0.05	  FAIL	    90	    47	   24.6	  0.21	   0.21	   11414	     -	     -	     -	     -	     NO
00425     	unspecified               	  0.00	  FAIL	    90	    22	   76.5	  0.26	   0.26	    7560	     -	     -	     -	     -	     NO
00432     	unspecified               	  0.17	  FAIL	    90	    42	   44.5	  0.47	   1.00	    9679	     -	     -	     -	     -	     NO
00433     	unspecified               	  0.90	  FAIL	    90	    53	   59.6	  1.00	   0.00	    7104	     -	     -	     -	     -	     NO
00441     	unspecified               	  0.17	  FAIL	    90	    30	   50.6	  0.63	   0.63	    6160	     -	     -	     -	     -	     NO
00443     	unspecified               	  0.57	  FAIL	    90	    13	   44.0	  0.00	   0.00	    6596	     -	     -	     -	     -	     NO
00444     	unspecified               	  0.00	  PASS	   100	    17	   53.9	  0.49	   0.49	    5537	     -	     -	     -	     -	    yes
00452     	unspecified               	  0.69	  FAIL	    90	    18	   94.3	  0.25	   0.00	   10874	     -	     -	     -	     -	     NO
00455     	unspecified               	  1.22	  PASS	   100	    42	   51.6	  0.38	   0.00	    9345	     -	     -	     -	     -	    yes
00457     	unspecified               	  0.83	  FAIL	    90	    22	   49.5	  0.24	   0.00	    7043	     -	     -	     -	     -	     NO
00460     	unspecified               	  0.30	  FAIL	    90	    41	   77.4	  0.80	   0.23	    6485	     -	     -	     -	     -	     NO
00474     	unspecified               	  0.50	  FAIL	    90	    22	   68.8	  0.56	   0.75	    7282	     -	     -	     -	     -	     NO
00475     	unspecified               	  0.44	  FAIL	    90	    54	   -4.1	  0.52	   0.82	    8486	     -	     -	     -	     -	     NO
