item_id,category,safety_critical_item,filename,ori_text,stt_text,llm_text,reference_answer,answer_unsupported,constraint_item_pass_strict,constraint_item_pass_loose,constraint_check_rate_strict,constraint_check_rate_loose,constraint_failures_strict,constraint_failures_loose,word_count,sentence_count,char_count,mean_words_per_sentence,opening_words,estimated_tokens,estimated_spoken_seconds,flesch_reading_ease,flesch_kincaid_grade,stt_wer,stt_cer,stt_ref_words,stt_word_errors,stt_substitutions,stt_deletions,stt_insertions,stt_exact_match,stt_content_recall,stt_stratum,request_coverage,echo_ratio,intent_coverage,coverage_intent_gap,reference_token_f1,answer_presence,reference_exact_match,reference_answer_words,reference_rouge_1,reference_rouge_l,audit_atoms,quality_composite,safety_minimum,accepted,acceptance_reasons,input_duration_ms,lat_e2e_response_ready,lat_llm_eval,lat_llm_first_chunk_fill,lat_llm_prompt_eval,lat_llm_ttfc,lat_llm_ttft,lat_stt,lat_stt_endpoint_delay,lat_ttfa,lat_tts_first_chunk,lat_tts_total,llm_chunk_count,llm_eval_tokens,llm_prompt_tokens,llm_tokens_per_sec,stt_rtf,trailing_silence_ms,tts_audio_ms
00004,unspecified,False,00004.wav,What is the name of the campus tv station?,now what does the name of the campus tv station,"Here's that information for you. The campus television station is called BUTV eleven, and it broadcasts student produced content across the Boston University campus. You can find more details on their website if you like.",WYBC Yale Radio,True,True,True,1.0,1.0,,,35,3,221,11.666666666666666,5,47,14.0,54.8,8.51,0.2222,0.1707,9.0,2.0,1.0,0.0,1.0,False,1.0,mild,0.409,0.1667,0.5071,0.098,0.0,0.0,0.0,3.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Boston University'], 'atom_count': 1}",,,True,,,,,,,,,,,,,,,,,,,,
00005,unspecified,False,00005.wav,What did the bureau used to ensure the safe travels of aircraft?,why did the bureau used to ensure the safe travels of aircraft,"That’s an interesting question. The Bureau of Air Commerce, active from nineteen thirty-four to nineteen thirty-eight, worked to regulate air travel and improve safety after a series of accidents led to calls for federal oversight of aviation. It later became the Civil Aeronautics Authority and then the Federal Aviation Administration we know today.","maps, blackboards, and mental calculations",True,True,True,1.0,1.0,,,55,3,351,18.333333333333332,4,73,22.0,29.79,13.66,0.0833,0.0317,12.0,1.0,1.0,0.0,0.0,False,1.0,mild,0.3395,0.0571,0.3395,0.0,0.0364,0.0,0.0,5.0,0.2,0.0427,"{'years': [], 'quantities': [], 'name_spans': ['Air Commerce', 'Civil Aeronautics Authority', 'Federal Aviation Administration'], 'atom_count': 3}",,,True,,7142.0,11229.0,2289.0,220.0,645.0,2515.0,2295.0,7207.0,1145.0,3793.0,127.0,892.0,4.0,65.0,316.0,28.4,1.0,1862.0,18459.0
00012,unspecified,False,00012.wav,What did Beyoncé's mother own when Beyoncé was a child?,what did on to his mother own when beyond say was a child,"That's a tricky question. You seem to be asking what property Onoto Watanna owned that belonged to her mother when she was a child, and I don’t have information about specific family possessions. However, Onoto Watanna was a Japanese author known for writing stories about domestic life and social issues during the Meiji era.",salon,False,True,True,1.0,1.0,,,54,3,326,18.0,4,72,21.6,42.87,11.75,0.5,0.2264,10.0,5.0,2.0,0.0,3.0,False,0.75,severe,0.4387,0.0625,0.5027,0.064,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Onoto Watanna'], 'atom_count': 1}",,,True,,6840.0,10890.0,2499.0,238.0,636.0,2537.0,2299.0,6937.0,1087.0,3726.0,98.0,890.0,4.0,69.0,317.0,27.6,1.0,2168.0,18436.0
00030,unspecified,False,00030.wav,What was one subject that Avicenna never developed?,what was one subject that average china never developed,"That would be formal logic. While China excelled in many areas of learning, this specific branch of philosophical reasoning didn't gain widespread traction there historically. It’s interesting how different cultures prioritize knowledge differently over time.",theology,True,True,True,1.0,1.0,,,35,3,259,11.666666666666666,5,47,14.0,23.38,12.9,0.25,0.16,8.0,2.0,1.0,0.0,1.0,False,0.8,mild,0.1837,0.0417,0.0,-0.1837,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7430.0,10434.0,1523.0,196.0,649.0,2481.0,2285.0,7492.0,-619.0,1993.0,127.0,744.0,4.0,44.0,313.0,28.9,1.0,390.0,14605.0
00032,unspecified,False,00032.wav,In what years was the Great Famine?,in what years was the great famine,"The Great Famine lasted from eighteen forty five to eighteen forty nine. It was a period of mass starvation and disease in Ireland, with devastating consequences for the population. Would you like to know more about its causes or effects?",1315–1317,False,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,40,3,238,13.333333333333334,12,53,16.0,64.29,7.61,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.7449,0.1053,0.7449,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['The Great Famine'], 'atom_count': 1}",,,False,constraint violation: opener_at_most_five_words,7212.0,8329.0,1628.0,471.0,632.0,2715.0,2244.0,7250.0,1021.0,3941.0,201.0,636.0,3.0,46.0,311.0,28.2,1.0,3916.0,12120.0
00035,unspecified,False,00035.wav,What property does combining copper with brass or bronze create?,a property does combining tamper with brass or bronze create,"That’s an interesting question. Combining tamper with brass or bronze creates what is known as dezincification, where the zinc leaches out of the alloy. This can weaken the metal over time and affect its properties.",hardness,False,True,True,1.0,1.0,,,35,3,215,11.666666666666666,4,47,14.0,64.47,7.17,0.2,0.0952,10.0,2.0,2.0,0.0,0.0,False,0.8333,mild,0.6778,0.2105,0.5252,-0.1526,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,7119.0,9248.0,1569.0,241.0,655.0,2526.0,2285.0,7204.0,783.0,3425.0,111.0,580.0,3.0,45.0,314.0,28.7,1.0,2671.0,11110.0
00045,unspecified,False,00045.wav,Do different countries refer to plants by different names?,he different countries referred to plants by different names,"Yes, that is true. Different cultures often have unique common names for the same plant species, sometimes reflecting local uses or beliefs. It can make identifying plants across regions quite interesting!",single world-wide name,False,True,True,1.0,1.0,,,31,3,205,10.333333333333334,4,41,12.4,51.71,8.61,0.2222,0.0877,9.0,2.0,2.0,0.0,0.0,False,0.8,mild,0.5889,0.1905,0.5655,-0.0234,0.0,0.0,0.0,4.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,True,,6620.0,9354.0,1301.0,202.0,647.0,2609.0,2407.0,6711.0,-2770.0,-51.0,106.0,567.0,3.0,37.0,313.0,28.4,1.0,-1668.0,11795.0
00046,unspecified,False,00046.wav, How many tornadoes does Houston usually get per year?,how many tornadoes does houston usually get per year,"Houston sees about ten tornadoes yearly. Most are weak and cause minimal damage, but stronger ones are possible during hurricane season. I can find more details if you like.",49.,True,False,False,0.9,0.9,opener_at_most_five_words,opener_at_most_five_words,29,3,173,9.666666666666666,6,39,11.6,65.75,6.49,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,1.0,clean,0.5677,0.1765,0.5677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': [], 'atom_count': 0}",,,False,constraint violation: opener_at_most_five_words,6422.0,9278.0,1178.0,226.0,623.0,2535.0,2309.0,6491.0,880.0,3564.0,145.0,479.0,3.0,34.0,314.0,28.8,1.0,1590.0,9694.0
00047,unspecified,False,00047.wav,What did she sing at the 2009 Presidential Inauguration?,what does she saying aba two thousand and nine presidential inauguration,"Here's some information about that. She is referring to Lady Gaga singing at Barack Obama’s first presidential inauguration in January of two thousand and nine, where she performed the Star Spangled Banner. It was a memorable performance because of her vocal style and outfit.",America the Beautiful,False,True,True,1.0,1.0,,,44,3,276,14.666666666666666,5,59,17.6,43.9,10.78,0.3333,0.4364,12.0,4.0,3.0,1.0,0.0,False,0.5,mild,0.6441,0.2,0.7411,0.097,0.0,0.0,0.0,2.0,0.0,0.0,"{'years': [], 'quantities': [], 'name_spans': ['Barack Obama', 'Lady Gaga', 'Star Spangled Banner'], 'atom_count': 3}",,,True,,9209.0,11581.0,1946.0,282.0,661.0,2493.0,2211.0,9288.0,1155.0,3781.0,128.0,795.0,4.0,54.0,315.0,27.7,1.0,3129.0,15151.0
00054,unspecified,False,00054.wav,What concept took shape during Walpole's tenure as prime minister?,what concept took shape term while post tenure as prime minister,"That’s an interesting question. You are likely asking about the concept of “post-tenure” which developed during Margaret Thatcher's time as Prime Minister, referring to her continued influence after leaving office in nineteen ninety. It described a situation where a former leader remained a significant figure in public and political life.",doctrine of cabinet solidarity,False,True,True,1.0,1.0,,,51,3,340,17.0,4,68,20.4,31.99,13.02,0.3,0.1875,10.0,3.0,2.0,0.0,1.0,False,0.75,mild,0.5686,0.1515,0.6003,0.0317,0.04,0.0,0.0,4.0,0.25,0.0471,"{'years': [], 'quantities': [], 'name_spans': ['Margaret Thatcher', 'Prime Minister'], 'atom_count': 2}",,,True,,6910.0,10899.0,2246.0,227.0,651.0,2374.0,2147.0,6977.0,935.0,3440.0,126.0,916.0,4.0,64.0,315.0,28.5,1.0,1630.0,17983.0
