baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.1667,0.1583,-0.0083,-0.0917,0.075,13,14,93,,n/a,1.0,1.0,False,,,"McNemar, chi-square with continuity correction",27,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.1667,0.1583,-0.0083,-0.0917,0.075,13,14,93,,n/a,1.0,1.0,False,,,"McNemar, chi-square with continuity correction",27,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9133,0.8987,-0.0146,-0.0272,-0.001,13,40,67,-0.2067,small,0.00447,0.067,False,False,0.02,"Wilcoxon signed-rank, normal approximation",53,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9133,0.8987,-0.0146,-0.0272,-0.001,13,40,67,-0.2067,small,0.00447,0.067,False,False,0.02,"Wilcoxon signed-rank, normal approximation",53,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,request_coverage,coverage of recognized request,response,higher,120,0.479,0.4896,0.0106,-0.0518,0.0782,56,57,7,0.0196,negligible,0.816,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",113,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,intent_coverage,coverage of intended question,response,higher,120,0.3895,0.3679,-0.0216,-0.0794,0.0371,45,45,30,-0.0523,negligible,0.711,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",90,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,echo_ratio,echo of the question,response,lower,120,0.1858,0.3136,0.1278,0.086,0.1712,36,80,4,0.3379,medium,1.36e-07,1.36e-06,True,False,0.02,"Wilcoxon signed-rank, normal approximation",116,degraded
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,answer_presence,reference answer present,response,higher,120,0.0583,0.025,-0.0333,-0.075,0.0083,1,5,114,,n/a,0.219,1.0,False,,,"McNemar, exact binomial",6,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,reference_token_f1,token F1 vs reference,response,higher,120,0.0317,0.0384,0.0067,-0.0091,0.0238,17,23,80,-0.111,negligible,0.957,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",40,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1492,0.0877,-0.0615,-0.1027,-0.019,4,23,93,-0.1302,negligible,0.0033,0.0297,True,False,0.02,"Wilcoxon signed-rank, normal approximation",27,degraded
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0331,0.0399,0.0068,-0.0097,0.0247,17,23,80,-0.1086,negligible,0.893,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",40,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,flesch_reading_ease,reading ease,response,higher,120,53.6103,55.9592,2.3488,-2.1487,6.9579,62,57,1,0.089,negligible,0.382,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",119,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,flesch_kincaid_grade,grade level,response,lower,120,9.5123,8.6127,-0.8997,-1.6982,-0.1021,68,51,1,-0.1447,negligible,0.0503,0.403,False,False,0.5,"Wilcoxon signed-rank, normal approximation",119,no detected change
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,word_count,words,response,descriptive,120,30.3833,15.8667,-14.5167,-16.6421,-12.2,0,0,120,-0.7524,large,2.63e-17,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,sentence_count,sentences,response,descriptive,120,2.1583,1.2667,-0.8917,-1.025,-0.7581,0,0,120,-0.6878,large,2.97e-16,,False,,,"Wilcoxon signed-rank, normal approximation",91,descriptive
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,opening_words,opening sentence length,response,descriptive,120,11.8917,12.75,0.8583,-0.9252,2.6754,0,0,120,0.1222,negligible,0.0888,,False,,,"Wilcoxon signed-rank, normal approximation",112,descriptive
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,mean_words_per_sentence,words per sentence,response,descriptive,120,15.0174,12.7125,-2.3049,-3.6542,-0.9728,0,0,120,-0.2969,small,0.00303,,False,,,"Wilcoxon signed-rank, normal approximation",114,descriptive
05 llama3.1:8b-q4_K_M t0,03 llama3.2:3b-q4_K_M t0,estimated_tokens,estimated tokens,response,descriptive,120,40.525,21.2417,-19.2833,-22.1167,-16.1917,0,0,120,-0.7519,large,2.85e-17,,False,,,"Wilcoxon signed-rank, normal approximation",118,descriptive
