baseline,contrast,metric,label,family,direction,n_pairs,baseline_mean,contrast_mean,mean_difference,ci_low,ci_high,improved_items,degraded_items,unchanged_items,effect_size,effect_label,p_value,p_adjusted,significant,equivalent_within_margin,equivalence_margin,test_method,n_effective,verdict
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,constraint_item_pass_strict,prompt adherence (item),adherence,higher,120,0.7083,0.7333,0.025,-0.05,0.1,11,8,101,,n/a,0.648,1.0,False,,,"McNemar, exact binomial",19,no detected change
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,constraint_item_pass_loose,"prompt adherence, loose",adherence,higher,120,0.7083,0.7333,0.025,-0.05,0.1,11,8,101,,n/a,0.648,1.0,False,,,"McNemar, exact binomial",19,no detected change
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,constraint_check_rate_strict,share of checks passed,adherence,higher,120,0.9692,0.9708,0.0017,-0.0092,0.0117,11,8,101,0.0244,negligible,0.653,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",19,equivalent
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,constraint_check_rate_loose,"share of checks passed, loose",adherence,higher,120,0.9692,0.9708,0.0017,-0.0092,0.0117,11,8,101,0.0244,negligible,0.653,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",19,equivalent
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,request_coverage,coverage of recognized request,response,higher,120,0.526,0.5174,-0.0086,-0.0421,0.0263,48,51,21,-0.014,negligible,0.583,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",99,no detected change
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,intent_coverage,coverage of intended question,response,higher,120,0.4052,0.3975,-0.0076,-0.0351,0.0223,44,35,41,-0.0135,negligible,0.855,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",79,no detected change
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,echo_ratio,echo of the question,response,lower,120,0.1578,0.1472,-0.0105,-0.0214,0.0002,59,47,14,-0.064,negligible,0.21,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",106,equivalent
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,answer_presence,reference answer present,response,higher,120,0.05,0.0667,0.0167,-0.025,0.0583,4,2,114,,n/a,0.688,1.0,False,,,"McNemar, exact binomial",6,no detected change
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,reference_exact_match,exact match vs reference,response,higher,120,0.0,0.0,0.0,0.0,0.0,0,0,120,,n/a,1.0,1.0,False,,,McNemar (no verdict changed),0,no detected change
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,reference_token_f1,token F1 vs reference,response,higher,120,0.027,0.0279,0.0009,-0.0035,0.0053,26,22,72,0.006,negligible,0.955,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",48,equivalent
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,reference_rouge_1,ROUGE-1 vs reference,response,higher,120,0.1592,0.1666,0.0074,-0.0344,0.0477,11,11,98,0.0069,negligible,0.757,1.0,False,False,0.02,"Wilcoxon signed-rank, normal approximation",22,no detected change
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,reference_rouge_l,ROUGE-L vs reference,response,higher,120,0.0279,0.0298,0.0018,-0.0032,0.0066,28,20,72,0.0121,negligible,0.604,1.0,False,True,0.02,"Wilcoxon signed-rank, normal approximation",48,equivalent
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,flesch_reading_ease,reading ease,response,higher,120,53.1917,53.6363,0.4447,-1.6055,2.4961,64,53,3,0.0309,negligible,0.428,1.0,False,False,2.0,"Wilcoxon signed-rank, normal approximation",117,no detected change
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,flesch_kincaid_grade,grade level,response,lower,120,9.0794,9.0098,-0.0697,-0.3623,0.226,67,50,3,-0.0213,negligible,0.382,1.0,False,True,0.5,"Wilcoxon signed-rank, normal approximation",117,equivalent
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,word_count,words,response,descriptive,120,38.55,38.7417,0.1917,-0.9502,1.2333,0,0,120,-0.0237,negligible,0.965,,False,,,"Wilcoxon signed-rank, normal approximation",107,descriptive
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,sentence_count,sentences,response,descriptive,120,2.9583,2.9833,0.025,-0.0083,0.0667,0,0,120,0.0243,negligible,0.233,,False,,,"Wilcoxon signed-rank, normal approximation",5,descriptive
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,opening_words,opening sentence length,response,descriptive,120,5.5833,5.35,-0.2333,-0.825,0.3167,0,0,120,-0.0128,negligible,0.489,,False,,,"Wilcoxon signed-rank, normal approximation",39,descriptive
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,mean_words_per_sentence,words per sentence,response,descriptive,120,13.0389,13.009,-0.0299,-0.4327,0.3194,0,0,120,-0.0469,negligible,0.844,,False,,,"Wilcoxon signed-rank, normal approximation",108,descriptive
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,estimated_tokens,estimated tokens,response,descriptive,120,51.3667,51.6333,0.2667,-1.2333,1.6417,0,0,120,-0.0237,negligible,0.978,,False,,,"Wilcoxon signed-rank, normal approximation",107,descriptive
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,estimated_spoken_seconds,estimated speech seconds,response,descriptive,120,15.42,15.4967,0.0767,-0.3801,0.4933,0,0,120,-0.0237,negligible,0.999,,False,,,"Wilcoxon signed-rank, normal approximation",107,descriptive
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,lat_llm_prompt_eval,prompt evaluation (ms),runtime,lower,119,649.4286,651.8319,2.4034,-0.1179,5.0,50,66,3,0.1051,negligible,0.136,0.816,False,True,5.0,"Wilcoxon signed-rank, normal approximation",116,equivalent
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,lat_llm_ttft,time to first token (ms),runtime,lower,119,2285.9412,2270.521,-15.4202,-32.7733,1.8954,72,47,0,-0.109,negligible,0.0479,0.335,False,True,50.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,lat_llm_ttfc,time to first speakable chunk (ms),runtime,lower,119,2547.7731,2521.4874,-26.2857,-56.3658,3.5595,73,46,0,-0.1465,negligible,0.00852,0.0767,False,False,50.0,"Wilcoxon signed-rank, normal approximation",119,no detected change
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,lat_llm_eval,generation time (ms),runtime,lower,119,1677.1008,1685.1849,8.084,-41.4286,58.6639,60,59,0,-0.0078,negligible,0.857,1.0,False,False,50.0,"Wilcoxon signed-rank, normal approximation",119,no detected change
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,lat_tts_first_chunk,first speech chunk synthesis (ms),runtime,lower,119,135.6639,132.5966,-3.0672,-12.6223,6.1176,64,54,1,-0.0946,negligible,0.34,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",118,equivalent
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,lat_ttfa,time to first audio (ms),runtime,lower,119,3064.7815,3042.0924,-22.6891,-62.4435,16.909,73,46,0,-0.0624,negligible,0.0178,0.142,False,True,100.0,"Wilcoxon signed-rank, normal approximation",119,equivalent
21 gemma3:27b-q4_K_M t0,22 gemma3:27b-q4_K_M t0.7/s42,lat_tts_total,total synthesis (ms),runtime,lower,119,662.5462,663.9748,1.4286,-17.7254,20.9628,57,59,3,0.0186,negligible,0.84,1.0,False,True,50.0,"Wilcoxon signed-rank, normal approximation",116,equivalent
